	A1	A2	A3	A4	A5	A6	A7	A8	A9
T420	800	810	510	690	590	440	990	770	320
T421	490	510	900	180	170	720	770	230	650
T422	220	840	600	280	240	470	850	750	900
T423	840	570	890	380	750	750	610	610	650
T424	470	660	260	730	950	810	240	500	470
T425	280	190	350	330	290	360	370	410	710
T426	470	300	760	780	530	290	660	310	940
T427	300	950	910	960	200	300	740	690	840
T428	650	870	870	610	150	640	260	660	180
T429	830	760	770	480	690	320	720	470	430
T430	460	250	680	700	380	680	300	530	310
T431	620	440	590	320	250	860	930	530	660
T432	460	830	120	370	670	620	370	770	610
T433	470	940	130	850	980	750	180	170	290
T434	560	500	690	730	400	890	750	790	130
T435	910	930	490	170	440	870	660	240	700
T436	600	590	130	270	830	190	990	980	950
T437	150	600	630	170	650	660	580	920	860
T438	860	740	990	450	150	720	510	110	780
T439	230	190	250	590	770	800	350	310	390
T440	930	230	750	300	250	820	970	650	140
T441	740	990	360	290	750	730	730	300	810
T442	590	330	100	760	220	250	490	280	890
T443	150	290	200	630	960	720	380	420	160
T444	180	590	980	700	860	700	800	580	210
T445	300	990	940	550	200	130	830	320	210
T446	480	320	160	890	380	550	550	180	420
T447	120	440	560	950	370	510	220	480	620
T448	610	120	310	530	390	980	590	840	720
T449	680	110	900	580	680	510	410	140	230
T450	410	740	240	210	470	950	360	940	430
T451	300	520	430	590	600	380	320	380	610
T452	430	910	430	310	190	690	690	950	490
T453	200	890	190	250	260	810	860	820	180
T454	490	790	770	680	240	940	630	290	290
T455	610	800	630	880	490	670	840	990	180
T456	620	570	840	330	340	610	770	240	920
T457	970	530	470	170	940	740	880	140	360
T458	700	330	860	110	110	450	940	360	610
T459	760	640	900	930	880	720	660	840	830
T460	200	690	100	260	650	850	310	650	660
T461	350	640	330	300	800	460	100	720	550
T462	390	400	950	820	970	750	560	970	140
T463	700	260	800	120	730	930	340	710	600
T464	340	240	490	590	700	600	750	710	730
T465	760	840	160	840	720	310	890	840	280
T466	510	300	200	520	890	260	490	510	950
T467	580	720	480	470	690	830	880	340	950
T468	350	560	210	420	710	380	670	870	970
T469	730	320	350	560	460	200	370	640	640
T470	960	880	900	420	920	610	650	590	740
T471	840	440	620	920	710	360	290	270	610
T472	640	510	560	360	120	570	520	460	280
T473	340	260	990	270	560	620	600	700	870
T474	250	750	550	680	890	870	470	630	530
T475	530	150	610	150	620	310	740	500	360
T476	250	950	480	810	650	300	790	800	140
T477	630	890	220	860	140	350	630	340	580
T478	860	110	400	380	330	410	950	370	330
T479	480	920	530	620	820	570	410	360	310
T480	720	570	510	690	670	290	980	510	590
T481	130	300	270	850	770	130	330	630	850
T482	130	280	360	890	470	890	780	450	850
T483	370	850	560	920	490	100	520	360	150
T484	540	110	430	770	160	660	420	350	390
T485	480	360	270	760	590	890	490	540	130
T486	780	750	480	780	980	130	220	410	840
T487	830	840	360	260	390	370	570	900	170
T488	910	610	380	830	200	790	500	220	630
T489	110	110	860	380	500	790	740	510	580
T490	730	700	770	210	780	980	890	230	700
T491	780	200	100	270	830	340	150	420	550
T492	170	250	380	870	630	760	660	340	110
T493	170	470	710	610	690	410	870	450	400
T494	130	900	410	880	550	700	360	190	240
T495	980	180	990	800	430	920	970	220	290
T496	720	120	140	850	800	470	960	960	860
T497	930	580	190	470	890	560	560	840	930
T498	590	540	400	780	430	400	160	830	980
T499	120	490	360	640	460	680	330	270	710
T500	460	360	510	580	130	490	840	200	720
T501	990	750	890	730	580	920	750	830	890
T502	830	700	710	180	950	630	560	310	860
T503	270	930	280	440	760	380	140	970	800
T504	830	830	580	350	700	230	750	560	340
T505	500	300	420	300	420	740	870	120	940
T506	950	790	810	100	330	610	160	120	530
T507	260	680	320	340	340	650	160	670	880
T508	990	330	490	880	320	150	950	620	990
T509	790	210	920	600	790	580	310	910	530
T510	950	290	210	750	720	420	840	270	800
T511	930	910	290	500	490	890	320	510	700
T512	210	470	460	220	240	950	640	860	480
