	A1	A2	A3	A4	A5	A6	A7	A8	A9
T71	330	290	840	760	970	450	760	900	340
T72	640	670	990	610	860	630	350	490	260
T73	190	490	990	880	310	250	720	120	590
T74	880	160	320	920	970	960	680	640	540
T75	340	330	850	240	140	390	100	180	530
T76	200	860	700	130	700	230	680	960	550
T77	640	240	570	800	490	600	200	650	960
T78	980	510	750	110	920	520	940	610	840
T79	100	250	610	480	670	560	100	430	810
T80	380	280	560	400	700	110	980	240	920
T81	380	140	800	680	440	370	700	530	470
T82	330	800	580	310	960	290	840	460	880
T83	370	750	670	730	470	830	830	420	610
T84	220	910	420	990	130	550	820	810	240
T85	850	630	250	140	470	720	970	470	510
T86	670	980	440	180	450	110	420	640	780
T87	530	130	740	590	170	980	110	860	630
T88	890	600	480	100	760	440	730	160	610
T89	560	760	910	420	280	470	210	630	420
T90	310	970	270	480	150	480	120	650	460
T91	390	600	800	890	450	160	330	350	900
T92	740	100	870	290	450	920	900	510	310
T93	860	260	970	850	840	360	600	500	410
T94	610	310	260	460	170	540	400	780	190
T95	100	960	160	670	870	670	350	710	700
T96	210	490	270	290	980	240	970	870	980
T97	110	960	730	780	630	960	630	200	250
T98	770	110	300	720	400	580	250	510	570
T99	380	200	760	590	290	530	600	110	750
T100	520	920	630	900	340	660	700	260	600
T101	540	890	860	290	470	150	700	490	560
T102	800	620	480	700	930	390	620	100	100
T103	970	480	680	490	500	940	920	780	200
T104	750	400	220	730	180	590	900	620	140
T105	930	370	630	380	250	760	460	420	720
T106	830	640	390	200	980	880	250	370	720
T107	100	850	430	250	620	670	690	950	860
T108	700	700	520	220	850	510	110	640	690
T109	710	950	860	660	290	480	700	210	560
T110	430	400	180	600	750	230	720	120	980
T111	600	830	520	380	700	810	220	380	470
T112	700	840	970	420	950	860	880	380	760
T113	550	250	110	370	780	330	100	940	740
T114	290	840	270	540	290	120	590	340	660
T115	130	990	990	290	410	800	140	740	460
T116	550	770	960	380	770	510	170	990	230
T117	230	730	730	160	670	340	370	800	390
T118	380	440	340	280	890	570	400	950	130
T119	780	370	570	930	870	760	120	480	120
T120	740	940	840	310	540	750	310	530	160
T121	530	440	930	430	710	960	380	220	510
T122	440	510	100	710	270	860	980	560	880
T123	880	410	500	370	380	890	150	670	930
T124	300	890	500	680	370	890	310	250	450
T125	150	440	500	780	340	170	850	810	140
T126	220	650	970	150	890	180	670	560	230
T127	690	900	420	340	100	670	480	890	910
T128	200	880	850	830	730	380	940	840	500
T129	150	560	220	350	850	550	120	130	350
T130	430	470	330	580	580	510	830	630	600
T131	890	150	410	890	970	270	390	410	180
T132	690	310	300	350	620	440	770	580	590
T133	110	940	950	310	740	690	340	630	440
T134	890	960	340	810	520	650	780	650	200
T135	730	980	790	690	310	630	390	450	910
T136	520	300	740	660	630	450	900	930	970
T137	240	190	510	980	780	430	430	330	970
T138	690	140	160	940	270	210	160	280	470
T139	400	770	480	990	760	470	430	360	610
T140	820	530	100	470	530	980	310	350	100
T141	600	730	460	560	300	930	750	990	180
T142	950	810	650	140	140	850	740	170	840
T143	450	450	890	430	900	660	780	880	400
T144	180	200	330	800	950	360	200	800	400
T145	650	630	690	790	420	910	420	460	300
T146	550	100	740	680	170	840	880	360	260
T147	990	860	860	480	830	830	350	900	980
T148	330	710	140	610	210	130	980	880	770
T149	430	530	580	720	160	370	680	800	640
T150	300	230	990	260	210	210	980	860	270
T151	130	120	620	580	490	460	560	260	750
T152	260	550	800	140	970	720	460	240	880
T153	560	200	410	360	590	170	550	490	800
T154	620	360	910	400	130	320	830	470	470
T155	380	230	740	960	380	760	210	490	200
T156	620	510	610	220	810	870	280	750	490
T157	250	100	750	970	120	730	290	100	270
T158	880	780	190	380	650	300	390	150	460
T159	680	710	570	290	920	380	170	930	650
T160	760	320	170	730	330	510	460	490	210
T161	190	960	790	200	780	560	600	150	150
T162	740	400	360	840	650	540	830	800	810
T163	240	570	140	740	820	420	550	120	600
T164	410	350	370	580	500	320	560	900	140
T165	260	540	720	820	280	760	600	170	410
T166	550	850	550	140	190	440	230	950	230
T167	920	100	250	380	440	940	200	290	140
T168	440	740	150	820	420	820	950	870	650
T169	530	890	500	690	940	890	550	870	470
T170	540	210	830	480	740	930	770	700	220
T171	210	150	340	350	540	300	240	430	880
T172	520	530	670	960	400	880	390	260	750
T173	510	220	370	980	410	730	540	900	590
T174	580	470	650	790	190	180	260	340	950
T175	890	780	490	920	220	400	770	880	250
T176	740	460	200	740	480	180	760	290	840
T177	300	560	400	250	540	670	300	670	860
T178	940	150	660	570	950	380	480	900	150
T179	550	910	400	540	700	920	890	780	920
T180	260	530	760	260	100	160	310	290	960
T181	470	800	960	500	960	530	760	680	920
T182	690	210	990	840	570	710	580	360	940
T183	650	580	470	410	670	790	580	250	980
T184	570	970	970	550	610	190	360	610	400
T185	980	480	240	400	650	190	620	510	730
T186	680	940	360	870	590	550	190	800	230
T187	830	830	180	140	510	650	100	960	570
T188	220	880	570	980	340	360	280	930	980
T189	360	980	140	910	250	690	310	300	220
T190	550	480	520	640	760	410	380	510	480
T191	600	750	610	370	400	440	950	800	200
T192	860	130	630	340	460	540	320	560	920
T193	270	160	640	570	830	900	770	770	760
T194	400	680	280	990	390	120	110	340	840
T195	120	110	660	990	720	150	310	780	350
T196	780	390	720	520	630	880	200	320	430
T197	590	710	200	350	380	930	270	380	530
T198	350	350	540	420	400	600	360	320	390
T199	460	390	860	420	570	360	100	940	100
T200	610	720	710	360	120	690	770	380	530
T201	140	600	660	150	150	410	120	940	700
T202	490	200	340	850	550	480	260	680	140
T203	640	730	380	310	160	130	380	920	690
T204	220	530	670	260	920	410	740	300	410
T205	150	890	130	930	590	530	820	530	670
T206	610	480	200	440	590	460	190	800	970
T207	580	320	480	590	990	370	940	740	820
T208	680	100	100	690	890	290	180	450	310
T209	590	500	610	620	310	630	580	590	500
T210	790	550	100	720	900	600	990	930	670
T211	680	910	110	790	420	100	560	110	490
T212	870	430	230	170	330	330	460	380	910
T213	420	750	770	410	840	400	340	250	970
T214	630	530	370	210	530	820	790	190	370
T215	230	390	680	760	460	910	440	270	660
T216	750	790	640	430	470	170	340	130	880
T217	290	470	200	600	990	710	980	580	280
T218	990	540	230	950	580	740	390	940	980
T219	410	550	930	130	170	920	990	850	690
T220	950	100	260	150	300	230	430	970	610
T221	190	170	300	600	140	900	480	600	820
T222	180	330	220	570	290	760	630	930	130
T223	390	110	940	970	190	760	150	760	410
T224	810	620	160	930	320	750	340	740	510
T225	810	560	830	270	240	690	600	270	650
T226	670	320	370	860	750	190	790	610	520
T227	270	300	190	900	950	680	660	850	370
T228	520	560	230	220	570	340	520	200	830
T229	820	320	560	730	960	430	710	170	480
T230	340	230	770	980	190	510	430	570	130
T231	120	890	350	290	840	560	780	670	770
T232	210	330	240	270	740	850	360	520	950
T233	580	210	990	140	920	120	490	550	400
T234	770	240	740	560	190	600	310	210	370
T235	780	560	850	280	180	650	250	620	740
T236	830	350	700	380	850	150	980	610	270
T237	790	380	350	170	150	380	340	590	670
T238	330	130	860	120	280	770	720	270	490
T239	820	420	700	150	920	320	270	380	950
T240	280	670	210	930	900	660	470	220	300
T241	550	930	570	810	850	900	980	770	130
T242	840	450	150	390	880	920	730	990	990
T243	400	740	910	530	280	300	310	580	480
T244	500	890	500	580	390	510	790	500	510
T245	280	380	140	350	610	980	620	510	300
T246	530	440	890	490	950	980	730	930	200
T247	290	940	630	400	100	340	130	740	700
T248	840	410	600	760	350	620	440	600	680
T249	480	490	400	220	640	960	730	940	270
T250	660	840	200	370	280	200	800	650	610
T251	270	740	120	930	580	540	740	520	490
T252	570	710	780	370	870	710	670	270	720
T253	290	510	680	240	410	850	190	230	880
T254	450	210	850	380	980	570	810	710	280
T255	540	920	620	940	330	310	640	420	800
T256	730	750	820	320	250	600	230	850	500
T257	500	280	450	680	140	720	870	950	220
T258	580	560	840	790	490	750	750	500	700
T259	440	620	770	330	820	540	690	560	500
T260	630	510	880	440	920	210	240	470	560
T261	370	900	360	370	410	770	160	740	190
T262	940	340	770	980	840	610	490	230	440
T263	440	950	590	530	440	410	540	300	370
T264	890	540	620	830	830	380	410	590	260
T265	200	690	760	240	730	570	310	310	320
T266	930	310	480	700	910	450	390	980	260
T267	870	910	310	160	310	170	860	930	600
T268	920	570	530	650	950	620	590	610	310
T269	140	930	470	550	510	230	730	600	890
T270	730	560	490	930	500	540	590	110	960
T271	250	100	190	900	280	960	510	280	660
T272	310	140	330	680	100	890	940	440	900
T273	110	490	760	390	510	950	260	880	630
T274	540	410	640	430	970	810	740	780	440
T275	850	710	840	720	610	350	520	880	130
T276	220	930	840	800	350	640	110	540	100
T277	460	240	260	890	370	620	640	960	700
T278	170	290	390	350	620	260	120	320	120
T279	370	380	860	100	560	920	760	780	650
T280	840	920	850	190	610	560	660	440	660
T281	970	790	710	460	650	210	350	130	510
T282	530	310	440	850	360	450	320	520	790
T283	810	600	600	380	160	630	830	250	930
T284	510	950	300	360	950	880	390	380	940
T285	950	470	600	380	480	810	670	710	810
T286	400	610	140	100	320	370	230	470	300
T287	970	310	650	220	710	610	470	570	240
T288	970	820	750	750	170	650	460	450	130
T289	520	420	470	830	510	740	980	780	960
T290	390	930	490	440	610	460	360	650	150
T291	720	190	920	410	660	470	150	510	910
T292	670	730	890	420	980	420	730	960	580
T293	740	180	510	650	130	920	510	490	510
T294	870	390	340	720	270	390	480	140	250
T295	690	570	350	620	200	850	100	670	200
T296	630	610	750	170	850	820	760	580	410
T297	420	660	670	910	770	820	880	410	580
T298	750	530	250	260	430	310	480	160	150
T299	240	120	550	450	610	790	200	310	920
T300	640	780	100	270	660	300	500	980	400
T301	190	710	990	680	260	120	450	650	480
T302	950	820	390	690	120	300	780	530	390
T303	280	580	270	310	960	860	840	340	530
T304	830	750	130	750	100	160	480	800	790
T305	880	210	620	770	790	870	820	880	120
T306	770	780	200	210	580	740	720	390	480
T307	350	550	690	700	660	200	930	480	220
T308	770	960	970	190	430	130	910	420	830
T309	430	330	720	560	300	320	830	400	100
T310	910	960	890	720	710	210	520	190	800
T311	440	660	390	920	750	770	820	430	680
T312	570	810	210	610	920	940	730	750	580
T313	180	460	510	580	750	740	110	510	980
T314	580	240	700	730	370	460	920	100	160
T315	740	630	950	430	160	700	300	720	650
T316	800	590	370	100	760	100	520	990	970
T317	910	610	140	930	630	180	440	560	720
T318	440	310	280	430	180	550	570	680	440
T319	390	360	980	910	880	140	600	120	170
T320	200	610	320	480	860	330	970	620	170
T321	850	550	960	880	320	260	920	200	430
T322	900	480	350	580	670	740	870	950	270
T323	100	570	390	670	970	240	940	370	660
T324	600	180	400	780	180	560	110	630	220
T325	640	660	550	930	320	420	740	170	670
T326	180	100	480	380	660	260	230	540	740
T327	940	190	200	550	950	260	730	780	850
T328	370	180	940	350	100	520	270	950	880
T329	390	560	460	500	330	130	520	600	700
T330	590	720	770	490	900	160	670	250	190
T331	950	710	650	620	320	970	870	140	650
T332	670	320	100	570	370	370	730	900	510
T333	430	200	800	600	440	560	250	210	570
T334	290	600	740	480	960	800	230	560	270
T335	880	700	500	200	860	840	360	310	270
T336	950	100	300	390	970	950	610	350	240
T337	400	510	990	790	430	420	620	580	700
T338	320	570	510	670	150	940	660	930	750
T339	990	430	300	800	300	790	840	730	500
T340	690	740	920	600	220	390	160	830	340
T341	630	710	840	200	400	740	530	670	340
T342	720	380	770	400	920	930	930	190	410
T343	790	240	170	330	820	850	320	670	560
T344	100	990	570	810	580	340	440	810	490
T345	310	940	910	190	560	830	580	130	710
T346	140	560	860	390	260	210	200	400	960
T347	530	160	200	410	910	940	410	760	670
T348	420	550	460	620	730	730	350	790	720
T349	630	630	920	800	510	530	980	750	410
T350	560	760	240	140	870	340	220	700	220
T351	620	510	120	850	780	260	950	270	120
T352	630	460	590	900	720	940	990	210	130
T353	760	720	760	350	910	440	600	550	770
T354	420	320	980	570	390	390	550	570	360
T355	480	840	330	320	450	150	170	650	530
T356	600	950	920	120	720	160	730	190	970
T357	950	230	720	190	400	260	150	640	820
T358	610	260	650	670	820	400	190	230	190
T359	840	120	950	310	220	520	620	510	480
T360	220	650	720	660	670	220	670	980	410
T361	140	310	170	980	220	820	430	370	500
T362	440	820	100	420	450	300	310	970	320
T363	420	450	780	300	320	410	960	350	420
T364	360	320	120	910	900	460	620	110	410
T365	610	830	240	390	660	800	120	460	100
T366	330	220	310	460	480	310	450	110	900
T367	240	110	620	230	850	580	310	190	220
T368	590	850	870	880	650	210	940	490	120
T369	910	670	320	380	290	680	790	500	520
T370	470	350	570	710	840	220	410	390	870
T371	400	330	370	610	640	520	500	770	830
T372	290	160	150	380	110	460	310	570	190
T373	460	720	440	830	300	460	910	670	990
T374	630	320	950	920	320	620	610	380	320
T375	250	310	620	820	360	220	150	810	960
T376	430	480	110	770	770	180	590	800	540
T377	600	200	800	800	280	220	550	550	260
T378	370	130	580	320	800	140	710	400	960
T379	590	850	190	840	520	510	620	680	470
T380	130	480	260	310	460	310	250	390	390
T381	700	240	860	870	500	760	130	510	260
T382	380	180	350	170	200	160	880	590	820
T383	870	160	420	690	730	300	920	610	570
T384	880	570	660	140	710	310	580	490	170
T385	890	250	200	280	180	860	510	620	190
T386	110	380	990	170	110	460	930	600	920
T387	870	190	550	840	110	400	360	490	220
T388	430	980	230	850	360	980	670	480	300
T389	310	770	530	690	640	800	680	190	100
T390	530	720	780	600	400	400	530	560	310
T391	480	840	650	260	100	920	580	420	710
T392	140	850	690	540	810	980	950	260	900
T393	460	320	190	180	460	490	820	550	900
T394	790	300	290	860	380	300	430	620	390
T395	530	140	630	310	390	250	110	950	600
T396	960	950	260	680	640	660	400	500	460
T397	830	540	320	410	850	180	550	650	570
T398	920	850	300	120	430	190	300	880	870
T399	920	970	250	810	130	600	610	330	300
T400	650	510	930	930	870	390	900	430	510
T401	880	410	360	120	870	250	130	610	890
T402	480	750	120	510	740	390	480	510	840
T403	720	570	340	750	680	870	620	420	430
T404	990	830	850	930	350	590	970	230	150
T405	360	920	460	350	410	510	510	590	910
T406	720	860	610	700	970	590	890	350	250
T407	900	650	230	930	310	970	760	440	870
T408	860	230	980	390	260	650	190	880	380
T409	490	140	310	450	140	710	620	620	750
T410	810	880	200	290	620	680	650	660	450
T411	610	700	240	940	350	410	180	710	700
T412	310	990	410	350	840	200	180	770	780
T413	450	290	640	520	470	790	770	900	270
T414	500	730	860	630	350	830	130	830	220
T415	990	860	610	410	740	830	250	530	240
T416	600	420	900	250	760	910	960	630	980
T417	520	320	380	870	890	600	170	610	930
T418	330	890	590	640	700	830	870	830	710
T419	390	670	670	100	530	970	670	840	610
T420	830	990	640	550	240	910	430	420	950
T421	660	660	360	410	550	810	640	580	830
T422	200	100	430	790	610	740	760	570	830
T423	970	330	520	540	910	850	170	370	500
T424	310	810	960	130	180	360	160	880	990
T425	440	230	410	400	710	570	150	930	750
T426	160	110	620	380	360	150	110	150	220
T427	770	530	460	190	170	550	580	740	800
T428	510	220	280	600	350	480	870	410	370
T429	430	480	660	930	900	740	710	480	250
T430	250	270	640	310	640	540	480	970	690
T431	100	980	570	510	360	960	520	600	340
T432	860	270	790	260	570	560	590	940	220
T433	780	210	400	220	640	770	710	570	190
T434	330	500	690	130	220	130	650	960	300
T435	290	890	160	570	300	610	330	710	910
T436	680	620	110	170	770	630	490	390	850
T437	230	630	600	810	790	420	790	350	750
T438	690	150	790	420	660	240	860	750	400
T439	770	920	890	610	760	240	770	190	630
T440	260	800	230	560	490	170	310	250	790
T441	900	890	530	540	510	910	950	940	210
T442	440	390	780	500	340	470	960	760	750
T443	490	890	130	310	150	930	740	710	160
T444	650	740	140	570	790	530	320	400	420
T445	670	950	390	960	820	270	630	750	940
T446	900	940	720	460	480	580	910	850	120
T447	700	160	990	490	200	750	830	670	160
T448	430	130	840	970	620	820	320	850	390
T449	180	530	660	800	370	940	190	790	690
T450	360	590	650	300	160	340	700	610	530
T451	270	630	100	120	370	390	870	330	510
T452	750	610	350	200	630	200	330	760	240
T453	510	860	570	320	580	310	850	180	980
T454	490	140	520	590	950	750	810	490	870
T455	980	190	980	460	150	430	480	420	860
T456	490	890	990	970	760	620	330	220	910
T457	680	810	900	100	930	300	980	840	500
T458	350	660	780	560	570	570	130	320	410
T459	550	410	880	180	730	360	740	320	470
T460	550	200	280	630	560	660	260	100	740
T461	410	990	510	450	980	210	140	530	990
T462	430	690	420	960	820	320	990	160	340
T463	620	660	770	840	270	510	470	550	710
T464	320	440	120	570	190	150	950	610	250
T465	930	430	290	160	610	740	620	290	870
T466	420	540	400	960	520	580	110	130	180
T467	430	690	140	810	740	770	440	390	620
T468	580	310	150	750	750	980	870	530	440
T469	500	690	580	700	290	620	110	910	150
T470	550	550	860	980	170	460	890	320	280
T471	820	820	390	980	760	840	550	260	360
T472	870	910	830	960	330	470	330	810	480
T473	510	790	170	440	730	890	440	240	770
T474	540	120	540	550	680	120	490	590	460
T475	970	980	120	430	190	800	900	270	450
T476	590	750	980	270	470	120	930	200	750
T477	910	710	660	590	180	330	530	980	210
T478	180	640	550	710	390	530	430	920	250
T479	890	710	930	870	800	760	360	590	860
T480	100	210	500	470	760	270	580	870	870
T481	490	950	980	420	720	930	880	740	280
T482	630	170	620	140	320	810	240	540	740
T483	810	480	620	620	760	700	780	520	660
T484	860	730	800	320	480	850	120	290	600
T485	880	680	950	850	870	520	750	630	980
T486	900	400	490	560	190	100	160	180	750
T487	800	270	170	410	740	280	490	900	390
T488	970	950	980	860	260	780	390	700	590
T489	770	470	410	210	660	250	740	130	290
T490	190	810	840	960	890	600	680	740	320
T491	170	710	430	390	920	870	840	660	720
T492	410	380	210	330	500	280	720	570	410
T493	760	620	600	740	260	550	400	210	290
T494	840	710	430	180	330	930	480	570	380
T495	960	560	790	330	660	870	720	860	570
T496	910	320	450	210	530	990	340	650	160
T497	430	690	520	280	170	850	900	530	560
T498	770	620	110	890	420	700	680	540	170
T499	620	900	700	480	140	950	880	180	330
T500	890	720	990	410	880	980	960	720	420
T501	550	560	770	870	380	790	430	480	360
T502	820	720	710	740	690	710	730	570	520
T503	240	220	780	510	130	140	430	820	950
T504	530	330	160	350	600	540	270	590	640
T505	900	150	990	520	100	250	760	970	130
T506	900	620	720	610	550	230	550	150	330
T507	510	240	390	150	440	390	750	750	260
T508	690	770	780	210	920	560	990	630	530
T509	600	710	250	170	710	300	120	750	720
T510	250	580	260	940	360	440	700	970	100
T511	540	630	420	920	800	220	520	480	390
T512	700	600	840	180	240	330	190	530	730
