	A1	A2	A3	A4	A5
T76	890	350	820	760	330
T77	980	830	840	160	210
T78	140	360	530	310	450
T79	690	790	990	550	260
T80	120	750	990	720	210
T81	510	400	950	870	930
T82	200	570	360	660	170
T83	170	440	120	230	530
T84	830	500	790	930	300
T85	100	910	890	690	520
T86	100	820	150	680	510
T87	930	500	550	350	370
T88	980	380	760	960	680
T89	150	810	250	190	890
T90	440	670	260	560	190
T91	170	560	290	720	830
T92	320	560	780	830	150
T93	660	220	370	580	120
T94	270	670	780	220	120
T95	390	940	670	920	260
T96	500	630	530	230	650
T97	440	410	430	140	320
T98	870	850	160	720	460
T99	550	460	460	640	140
T100	550	720	310	720	870
T101	410	980	780	920	240
T102	910	280	890	500	290
T103	340	930	320	960	630
T104	110	370	940	310	450
T105	170	770	120	580	110
T106	860	830	970	360	100
T107	590	790	460	590	340
T108	940	850	430	770	310
T109	910	820	400	990	300
T110	200	950	530	730	450
T111	350	210	500	370	630
T112	510	740	710	750	730
T113	500	820	730	680	500
T114	900	300	490	240	510
T115	850	330	130	150	630
T116	300	670	470	580	490
T117	490	610	380	380	330
T118	490	100	260	410	110
T119	960	760	950	610	650
T120	770	510	110	870	450
T121	350	200	210	950	200
T122	410	940	100	320	470
T123	130	950	770	360	330
T124	700	290	710	750	200
T125	220	480	350	380	310
T126	240	470	780	130	590
T127	150	250	600	480	950
T128	510	610	930	920	220
T129	860	300	780	150	540
T130	910	690	270	220	350
T131	240	330	600	800	420
T132	960	260	370	890	530
T133	440	980	730	350	910
T134	550	820	650	900	230
T135	980	370	330	650	980
T136	910	990	540	850	620
T137	730	220	580	380	300
T138	140	660	400	300	610
T139	890	360	240	400	620
T140	560	450	130	730	450
T141	960	420	940	170	100
T142	190	930	440	420	160
T143	970	520	690	400	630
T144	640	460	960	470	790
T145	450	560	910	450	320
T146	650	110	770	630	490
T147	760	310	310	110	620
T148	830	100	920	980	410
T149	390	840	390	740	140
T150	860	700	310	920	350
T151	880	490	390	700	330
T152	370	680	150	380	550
T153	650	420	510	860	840
T154	650	240	380	500	870
T155	510	540	300	560	410
T156	640	900	140	430	370
T157	880	610	850	340	730
T158	470	290	660	760	580
T159	440	810	100	550	830
T160	160	980	980	640	220
T161	910	300	700	110	910
T162	240	300	100	740	920
T163	220	710	910	990	950
T164	220	990	430	700	180
T165	950	220	930	490	340
T166	610	710	240	220	300
T167	540	830	710	620	180
T168	840	430	140	630	860
T169	430	290	150	480	860
T170	110	770	450	270	330
T171	440	540	400	830	470
T172	510	670	650	810	590
T173	330	140	310	570	850
T174	160	170	990	650	210
T175	660	160	750	840	650
T176	110	340	670	730	100
T177	370	780	460	720	860
T178	780	510	370	900	470
T179	830	480	750	410	920
T180	450	850	700	860	240
T181	840	810	390	790	260
T182	890	370	290	580	490
T183	930	360	470	980	950
T184	960	510	340	270	600
T185	640	920	380	820	940
T186	100	240	520	430	430
T187	620	980	590	690	770
T188	100	460	700	620	220
T189	530	860	420	820	860
T190	800	960	920	180	730
T191	760	930	970	500	790
T192	830	120	800	980	750
T193	140	560	270	390	400
T194	630	600	300	560	540
T195	520	780	380	790	960
T196	440	390	820	150	960
T197	700	980	180	820	870
T198	900	240	870	390	370
T199	750	990	980	130	230
T200	650	120	810	300	420
T201	860	880	130	320	450
T202	620	950	670	510	110
T203	710	290	410	630	730
T204	450	640	730	180	990
T205	400	640	550	660	940
T206	820	800	640	620	370
T207	720	200	300	910	720
T208	340	680	640	780	370
T209	680	630	880	640	840
T210	330	480	310	290	360
T211	280	240	140	180	990
T212	170	340	840	130	230
T213	870	750	940	960	510
T214	640	360	350	570	870
T215	240	390	150	200	460
T216	800	740	160	330	930
T217	320	150	230	240	470
T218	210	670	680	430	860
T219	990	210	210	980	540
T220	780	370	570	510	340
T221	810	720	320	670	110
T222	830	350	380	480	130
T223	770	990	410	560	220
T224	940	270	740	800	660
T225	190	550	400	960	940
T226	340	880	570	350	420
T227	610	930	700	240	200
T228	150	700	190	990	420
T229	750	360	530	230	400
T230	780	750	850	990	420
T231	560	250	860	680	600
T232	590	360	710	880	870
T233	300	280	480	220	490
T234	560	670	290	350	170
T235	460	580	110	730	560
T236	680	580	430	440	240
T237	730	960	230	540	970
T238	360	200	380	960	560
T239	450	910	920	930	280
T240	660	490	260	540	400
T241	190	940	960	210	190
T242	720	460	900	630	550
T243	250	190	110	340	780
T244	710	480	870	500	760
T245	450	430	780	760	930
T246	450	290	140	780	920
T247	320	280	540	570	470
T248	920	690	480	860	140
T249	930	750	940	300	350
T250	420	460	150	490	920
T251	590	140	110	330	860
T252	890	980	920	170	460
T253	960	590	870	310	660
T254	800	230	290	110	130
T255	790	500	930	840	220
T256	540	400	310	180	800
T257	840	880	930	750	700
T258	980	580	940	410	450
T259	170	810	650	490	990
T260	310	320	470	200	380
T261	770	260	800	830	790
T262	490	760	400	840	780
T263	490	350	870	290	890
T264	560	730	760	370	130
T265	560	130	210	390	460
T266	550	970	670	980	160
T267	790	380	880	300	120
T268	300	970	630	740	340
T269	980	800	870	720	260
T270	200	560	520	860	730
T271	900	940	930	930	470
T272	580	100	130	930	420
T273	620	990	340	870	810
T274	620	310	520	320	220
T275	360	970	140	860	120
T276	860	890	790	440	370
T277	480	230	240	680	420
T278	120	610	970	380	960
T279	250	230	940	130	240
T280	700	200	860	720	660
T281	470	850	900	200	860
T282	470	940	110	120	990
T283	470	530	530	390	780
T284	440	650	480	620	230
T285	710	230	790	430	230
T286	250	980	500	180	440
T287	160	170	450	330	100
T288	150	910	910	390	560
T289	770	460	410	120	350
T290	810	690	860	900	510
T291	260	420	940	160	980
T292	180	920	860	290	570
T293	460	100	230	520	540
T294	230	160	470	160	140
T295	470	360	230	640	560
T296	530	950	500	620	590
T297	910	490	460	800	320
T298	510	300	660	110	990
T299	170	550	190	140	370
T300	590	630	530	200	490
T301	790	160	400	650	580
T302	720	940	480	390	720
T303	140	310	620	380	980
T304	120	750	670	880	450
T305	650	380	420	940	550
T306	260	910	510	710	710
T307	290	670	520	560	670
T308	570	640	420	530	540
T309	470	500	730	910	760
T310	210	920	940	730	490
T311	250	570	300	160	580
T312	650	650	490	180	400
T313	970	170	190	900	920
T314	680	240	470	570	630
T315	510	790	670	370	210
T316	160	490	990	820	460
T317	770	650	900	890	820
T318	160	120	230	180	970
T319	230	640	240	210	670
T320	530	650	650	780	540
T321	160	850	160	700	510
T322	960	480	900	660	830
T323	210	710	320	970	950
T324	200	260	390	230	970
T325	830	360	460	950	570
T326	180	800	920	210	520
T327	990	210	290	960	520
T328	620	210	880	610	240
T329	570	100	370	520	740
T330	810	840	650	320	360
T331	210	710	390	930	170
T332	520	500	720	930	170
T333	350	800	260	860	890
T334	650	740	340	420	780
T335	370	690	910	780	170
T336	910	430	820	520	100
T337	970	210	430	830	440
T338	380	940	590	630	830
T339	540	540	400	840	270
T340	270	560	130	720	310
T341	850	810	780	140	560
T342	810	900	340	130	610
T343	550	430	210	370	450
T344	770	980	160	650	190
T345	190	300	430	140	560
T346	200	440	630	340	140
T347	980	830	740	600	130
T348	780	610	970	740	170
T349	970	950	570	110	920
T350	700	230	960	970	600
T351	740	260	820	600	850
T352	930	610	630	250	350
T353	920	510	280	630	390
T354	290	710	160	420	730
T355	240	370	650	760	260
T356	420	320	290	520	600
T357	560	220	110	810	920
T358	590	710	690	870	660
T359	410	210	800	950	770
T360	280	320	220	480	880
T361	150	860	150	120	650
T362	690	540	540	760	910
T363	250	460	720	580	910
T364	380	600	700	430	820
T365	260	220	870	960	130
T366	710	800	240	130	980
T367	470	600	710	160	830
T368	220	850	740	200	740
T369	390	240	670	990	720
T370	250	840	310	680	230
T371	810	260	210	330	770
T372	380	760	400	280	300
T373	660	300	180	160	330
T374	640	360	120	130	220
T375	170	880	980	980	870
T376	280	470	240	540	570
T377	250	940	310	980	480
T378	870	350	790	330	120
T379	940	120	930	970	910
T380	520	120	640	120	390
T381	930	130	660	920	250
T382	650	800	330	570	550
T383	360	750	720	280	160
T384	640	300	260	490	330
T385	760	440	750	400	590
T386	530	190	720	600	690
T387	690	310	650	760	840
T388	840	890	640	880	280
T389	420	860	810	620	230
T390	900	420	580	750	450
T391	870	280	790	440	820
T392	920	750	400	500	540
T393	960	860	350	600	890
T394	700	240	850	970	830
T395	450	580	700	280	220
T396	250	910	970	770	790
T397	350	670	230	380	890
T398	740	760	770	800	570
T399	200	360	480	430	990
T400	280	950	110	340	970
T401	330	220	310	390	480
T402	390	610	950	330	130
T403	740	930	300	670	540
T404	990	290	680	190	440
T405	360	680	820	560	110
T406	730	520	720	770	340
T407	530	590	250	700	300
T408	450	930	190	900	740
T409	320	440	720	830	850
T410	140	740	850	380	570
T411	890	830	330	430	370
T412	210	370	840	590	850
T413	840	280	360	470	610
T414	790	450	630	120	550
T415	190	360	170	590	940
T416	800	700	260	400	310
T417	720	580	610	700	190
T418	730	810	370	930	680
T419	270	430	770	850	360
T420	950	560	420	180	410
T421	310	750	420	370	300
T422	840	770	950	820	770
T423	110	240	940	730	230
T424	710	410	190	530	420
T425	700	880	860	120	860
T426	790	790	650	820	350
T427	830	380	950	640	850
T428	910	370	620	400	720
T429	290	660	990	880	450
T430	640	590	600	110	820
T431	780	610	260	190	950
T432	450	540	720	510	350
T433	480	350	800	260	930
T434	450	910	850	290	980
T435	250	840	180	760	300
T436	820	830	620	740	840
T437	500	170	520	610	700
T438	150	510	270	690	490
T439	410	620	600	590	760
T440	630	370	560	730	800
T441	170	960	530	780	500
T442	870	630	300	470	890
T443	700	820	620	340	170
T444	330	490	710	300	110
T445	900	620	980	780	660
T446	400	480	870	880	910
T447	730	360	200	320	390
T448	310	390	290	180	960
T449	690	300	240	680	140
T450	470	430	770	560	910
T451	300	760	790	190	270
T452	840	610	860	420	620
T453	180	520	760	980	720
T454	370	850	980	300	910
T455	800	960	190	510	380
T456	510	740	600	520	220
T457	270	730	350	610	390
T458	710	700	200	260	970
T459	880	100	390	820	240
T460	860	380	810	400	870
T461	820	570	180	130	900
T462	870	820	570	980	310
T463	330	140	810	450	280
T464	280	610	400	980	810
T465	150	350	790	820	330
T466	800	500	740	270	770
T467	830	190	630	300	510
T468	150	970	790	880	220
T469	640	980	160	220	140
T470	280	700	840	670	700
T471	570	440	390	260	760
T472	410	940	840	580	580
T473	120	170	200	660	570
T474	300	710	920	550	650
T475	110	200	780	930	640
T476	720	410	620	730	780
T477	270	270	520	920	420
T478	920	270	810	390	410
T479	470	630	720	640	630
T480	640	850	960	450	500
T481	560	990	150	520	680
T482	870	460	530	710	150
T483	480	780	320	340	720
T484	260	930	620	370	440
T485	680	330	620	550	620
T486	830	400	290	690	570
T487	340	760	210	640	910
T488	500	820	770	400	200
T489	230	870	320	930	800
T490	400	490	410	300	820
T491	150	530	620	880	160
T492	520	270	700	280	940
T493	850	560	240	260	200
T494	530	780	170	820	210
T495	290	430	920	520	440
T496	750	660	790	970	910
T497	980	400	210	910	650
T498	220	570	660	860	330
T499	610	940	820	940	630
T500	110	260	190	420	860
T501	220	920	210	510	570
T502	450	610	180	590	920
T503	210	880	480	100	870
T504	640	380	470	210	350
T505	940	140	390	290	620
T506	330	630	930	650	140
T507	220	850	770	440	140
T508	180	620	170	360	160
T509	470	350	900	790	750
T510	290	710	700	180	510
T511	970	490	670	570	300
T512	930	630	940	560	730
