	A1	A2	A3	A4	A5	A6	A7
T255	210	710	710	250	730	710	270
T256	680	360	690	320	470	430	100
T257	540	840	390	310	900	260	110
T258	960	620	470	720	930	480	950
T259	440	640	550	570	410	810	510
T260	300	680	290	140	720	360	510
T261	240	420	840	180	900	120	610
T262	680	220	140	800	460	450	770
T263	570	170	140	660	440	420	310
T264	380	920	280	760	900	540	490
T265	980	100	190	260	910	430	590
T266	470	140	460	300	830	320	750
T267	120	350	510	280	530	500	970
T268	800	890	460	430	380	100	630
T269	950	980	140	440	750	890	340
T270	990	170	410	410	870	530	560
T271	610	790	470	740	350	620	370
T272	230	510	500	400	650	500	890
T273	230	820	550	120	420	990	270
T274	800	760	750	110	370	240	490
T275	450	650	750	980	940	100	500
T276	780	530	120	920	640	170	190
T277	350	340	650	530	580	630	970
T278	590	680	860	110	230	320	310
T279	180	610	720	910	510	460	960
T280	730	430	930	550	380	200	750
T281	970	660	980	330	930	390	660
T282	850	700	170	780	740	500	830
T283	700	520	210	240	130	740	570
T284	330	260	800	870	570	660	740
T285	120	640	590	790	980	470	150
T286	230	900	440	860	710	530	970
T287	210	910	940	770	990	410	390
T288	990	190	190	690	360	170	360
T289	490	610	250	260	630	710	790
T290	930	850	690	740	360	790	490
T291	470	670	250	570	970	770	380
T292	630	280	280	870	250	170	850
T293	840	970	660	890	720	910	100
T294	740	860	740	370	550	710	770
T295	160	460	500	950	300	600	280
T296	400	860	590	270	300	220	100
T297	750	570	920	370	460	620	400
T298	380	520	910	920	550	140	390
T299	580	370	510	960	240	470	790
T300	890	320	700	560	470	360	330
T301	610	290	720	780	740	890	770
T302	100	460	680	180	110	490	210
T303	430	340	560	130	760	530	720
T304	240	150	690	450	460	590	720
T305	330	610	640	770	220	520	250
T306	850	790	960	230	660	360	460
T307	990	420	350	110	290	110	710
T308	150	680	810	620	590	750	320
T309	360	610	490	170	570	520	480
T310	260	200	420	900	550	730	910
T311	320	460	870	630	400	960	760
T312	520	240	420	530	330	160	220
T313	150	780	530	640	780	850	140
T314	930	690	420	280	610	610	820
T315	820	270	430	400	880	510	750
T316	620	160	800	440	120	270	890
T317	460	540	970	630	870	480	590
T318	500	530	160	790	130	670	420
T319	310	140	280	870	920	350	400
T320	920	370	510	390	620	100	970
T321	180	380	300	740	850	560	120
T322	440	730	410	920	510	190	650
T323	770	840	430	480	400	380	560
T324	180	290	860	750	960	990	390
T325	210	500	320	100	670	130	340
T326	760	470	650	320	600	900	610
T327	400	160	400	790	340	330	860
T328	830	330	710	530	510	500	580
T329	700	700	520	320	820	200	320
T330	510	710	140	570	850	950	680
T331	410	600	760	430	240	750	140
T332	190	270	890	580	830	230	140
T333	530	850	240	760	770	210	610
T334	630	360	920	920	970	460	970
T335	570	830	510	730	480	590	680
T336	110	230	360	390	970	400	870
T337	520	700	170	180	550	480	260
T338	790	450	970	710	600	500	980
T339	180	920	630	430	810	860	360
T340	320	350	410	980	670	640	690
T341	990	330	430	660	560	720	480
T342	850	430	910	830	820	840	750
T343	130	890	970	580	420	520	100
T344	680	150	970	860	680	820	540
T345	600	270	790	270	560	980	260
T346	860	860	210	360	280	550	400
T347	980	510	870	570	560	390	260
T348	130	480	830	710	600	950	310
T349	340	760	460	650	870	900	330
T350	900	810	140	760	380	560	730
T351	400	760	770	490	720	520	310
T352	810	920	710	640	440	830	720
T353	520	380	900	700	620	840	650
T354	580	710	670	150	940	160	360
T355	280	160	350	190	900	850	330
T356	920	470	750	520	460	850	530
T357	490	390	490	740	110	210	710
T358	800	380	340	750	730	230	850
T359	830	700	290	530	320	180	170
T360	400	690	310	290	640	600	170
T361	720	390	280	350	120	630	880
T362	290	150	890	950	670	870	870
T363	880	610	910	820	640	860	900
T364	740	350	390	910	750	690	510
T365	610	420	570	830	610	260	270
T366	140	980	700	880	490	150	850
T367	410	250	820	650	990	330	480
T368	330	150	180	130	200	130	300
T369	480	600	260	240	260	450	220
T370	950	200	420	690	810	580	490
T371	970	320	700	100	320	260	110
T372	310	460	880	130	240	940	420
T373	940	190	260	300	580	910	540
T374	570	870	130	900	660	660	980
T375	350	810	620	410	920	500	120
T376	560	410	800	890	880	210	370
T377	210	500	480	290	650	600	580
T378	230	930	990	590	620	410	710
T379	210	640	340	700	780	260	300
T380	810	130	760	510	500	700	150
T381	860	310	150	660	500	920	520
T382	970	220	650	260	710	640	140
T383	180	160	980	680	240	600	820
T384	960	400	410	740	740	670	160
T385	380	750	940	420	990	150	110
T386	950	710	480	100	510	710	700
T387	260	570	500	730	960	820	970
T388	430	800	600	290	700	980	200
T389	170	130	190	260	250	840	630
T390	990	670	510	280	930	830	590
T391	700	480	880	470	410	860	880
T392	270	470	110	720	910	440	370
T393	400	160	460	280	120	390	300
T394	970	910	840	630	130	870	970
T395	480	430	360	180	120	470	400
T396	120	400	610	990	910	810	850
T397	470	660	800	180	740	170	580
T398	390	220	510	550	700	630	970
T399	660	910	990	450	740	110	620
T400	860	770	810	520	600	620	200
T401	830	300	970	350	530	700	950
T402	310	770	290	290	920	570	140
T403	330	890	480	190	270	660	690
T404	150	180	340	500	230	140	180
T405	220	580	950	390	400	960	120
T406	490	770	420	440	170	470	140
T407	360	380	480	440	230	740	520
T408	220	150	920	690	350	390	700
T409	180	140	570	110	750	500	280
T410	450	870	780	930	860	150	930
T411	780	480	420	330	740	460	660
T412	450	540	670	350	270	620	190
T413	980	330	160	490	920	420	460
T414	570	290	320	880	570	890	440
T415	510	330	750	540	290	930	470
T416	320	450	440	800	410	920	190
T417	470	320	470	370	470	130	180
T418	420	410	180	660	280	940	800
T419	340	150	290	790	670	230	640
T420	140	950	800	910	430	230	660
T421	580	260	290	800	950	870	200
T422	360	880	440	940	130	990	470
T423	800	580	810	820	820	800	490
T424	780	920	190	550	810	240	400
T425	290	610	230	580	700	690	650
T426	880	390	530	720	860	530	640
T427	550	890	800	100	140	700	180
T428	630	550	570	870	110	460	470
T429	410	670	950	410	280	250	660
T430	490	970	310	530	770	820	630
T431	930	790	240	220	130	330	760
T432	580	600	680	650	840	170	260
T433	100	550	800	350	880	560	170
T434	200	630	180	830	550	920	570
T435	350	780	630	960	210	510	210
T436	680	320	200	290	800	490	120
T437	430	740	820	540	150	120	520
T438	450	210	380	950	690	120	430
T439	180	550	820	390	700	490	280
T440	700	480	530	750	960	610	540
T441	780	310	220	280	220	120	610
T442	460	710	770	640	690	600	970
T443	820	290	630	200	510	490	100
T444	420	740	420	720	560	510	970
T445	900	370	130	810	220	670	270
T446	100	660	360	460	560	560	220
T447	270	550	560	150	600	140	610
T448	420	990	310	820	560	790	590
T449	530	920	750	380	620	410	990
T450	260	600	340	650	170	510	260
T451	170	820	180	540	230	830	180
T452	280	230	200	570	540	130	330
T453	230	420	110	430	830	260	870
T454	120	380	900	130	940	270	130
T455	990	390	630	930	610	830	810
T456	580	920	700	730	280	970	440
T457	620	380	820	660	140	720	750
T458	280	160	380	980	520	730	220
T459	410	380	230	740	990	800	370
T460	340	420	550	610	400	600	970
T461	310	210	300	960	980	520	180
T462	840	250	120	470	810	290	900
T463	300	210	230	850	540	700	590
T464	500	830	930	430	550	100	920
T465	490	680	660	740	790	300	610
T466	600	120	670	940	340	360	100
T467	640	840	230	650	830	640	540
T468	490	160	150	590	330	290	710
T469	750	980	470	400	840	270	390
T470	600	550	420	410	540	250	760
T471	820	820	560	950	760	970	190
T472	460	710	580	230	500	520	230
T473	300	420	820	400	570	340	520
T474	930	980	890	750	140	790	590
T475	490	240	580	860	170	750	270
T476	240	460	910	360	890	840	300
T477	180	640	840	350	960	210	660
T478	100	360	110	380	220	610	210
T479	120	190	500	280	850	420	580
T480	730	590	450	150	200	920	330
T481	410	330	190	770	700	960	390
T482	480	460	870	330	510	810	550
T483	410	310	180	150	450	230	210
T484	420	450	670	190	320	310	790
T485	570	420	940	600	890	860	830
T486	470	820	600	100	670	650	830
T487	160	850	220	340	670	750	670
T488	290	920	570	110	600	650	870
T489	530	820	850	700	910	710	430
T490	640	150	280	490	810	630	280
T491	390	660	820	320	580	810	940
T492	440	480	500	570	610	920	500
T493	230	660	820	470	750	570	530
T494	340	890	840	570	230	140	240
T495	870	740	400	510	240	530	690
T496	720	990	800	600	540	140	120
T497	600	110	390	400	660	350	450
T498	230	250	830	820	370	440	460
T499	200	130	220	590	260	570	850
T500	740	300	260	540	660	260	450
T501	610	590	950	520	310	920	700
T502	280	630	290	340	240	440	620
T503	480	900	640	730	860	660	720
T504	850	270	780	790	580	300	690
T505	120	580	500	870	130	610	280
T506	450	990	500	240	440	310	810
T507	390	990	470	610	620	620	650
T508	410	700	350	100	910	930	100
T509	910	420	440	540	430	770	950
T510	500	990	130	920	460	500	630
T511	470	430	680	680	960	380	500
T512	810	850	300	850	240	400	750
