	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	A13	A14
T121	330	960	800	330	920	810	940	790	250	520	120	320	180	630
T122	470	470	600	790	340	460	700	710	790	480	410	520	100	980
T123	450	680	830	570	190	490	570	360	220	800	340	630	590	950
T124	520	920	950	130	700	100	500	420	470	720	530	450	280	780
T125	540	750	560	140	950	710	940	700	130	910	760	730	160	990
T126	850	260	180	440	390	860	450	310	910	410	930	150	450	400
T127	390	650	910	890	650	550	240	160	720	660	500	560	920	920
T128	450	740	590	300	780	790	960	340	560	300	300	120	120	340
T129	600	790	540	150	310	950	760	700	520	160	200	870	610	140
T130	860	860	240	850	960	710	410	570	160	630	110	920	330	510
T131	790	980	570	850	130	340	390	460	310	590	710	990	930	360
T132	270	190	440	550	530	380	860	830	170	510	440	880	120	510
T133	470	960	580	570	590	300	850	340	700	280	100	340	950	920
T134	300	790	120	260	550	870	220	930	600	260	190	610	670	460
T135	120	460	270	320	520	310	530	380	100	610	950	370	440	190
T136	270	260	490	720	570	650	390	250	200	800	480	190	190	850
T137	240	840	310	700	870	840	170	240	680	900	690	650	520	740
T138	870	100	410	580	380	950	190	340	720	470	440	220	140	980
T139	460	710	350	790	550	550	830	200	960	980	690	540	990	710
T140	920	720	430	810	640	530	760	960	170	630	240	860	700	670
T141	380	410	980	590	550	480	310	130	420	940	400	110	480	630
T142	250	200	190	680	600	180	990	740	240	600	420	940	600	740
T143	710	370	270	740	770	520	300	160	820	300	570	530	100	310
T144	180	100	140	840	360	800	290	720	520	220	810	510	310	260
T145	270	610	440	240	960	400	890	240	480	190	710	660	270	330
T146	600	810	300	160	530	920	260	850	990	970	850	180	450	440
T147	570	790	830	740	350	950	970	930	360	860	450	140	800	780
T148	110	350	960	490	690	590	180	120	670	980	190	880	820	390
T149	680	840	390	600	750	540	520	450	820	330	690	800	330	880
T150	480	510	230	610	660	610	440	730	420	680	210	520	800	280
T151	970	100	100	680	780	910	910	770	580	390	100	750	680	250
T152	840	980	210	560	410	340	430	480	150	740	930	800	340	210
T153	310	860	140	180	620	370	190	920	560	110	760	810	690	780
T154	730	330	100	940	180	930	760	540	360	510	270	170	350	240
T155	380	770	820	570	100	100	450	590	600	950	630	310	890	790
T156	370	380	540	820	800	750	240	140	640	500	770	640	280	930
T157	330	100	730	190	640	820	190	320	400	450	690	510	900	220
T158	460	960	270	160	970	960	610	850	240	310	410	960	970	900
T159	750	950	300	140	160	770	700	420	580	550	850	710	420	650
T160	310	800	840	450	180	280	410	900	700	380	590	500	290	700
T161	330	230	690	700	830	290	570	310	740	610	840	870	140	750
T162	650	410	380	890	770	960	590	820	620	770	840	520	880	140
T163	800	120	400	690	780	710	450	240	900	820	720	490	550	300
T164	880	370	720	960	130	790	180	620	550	310	930	650	360	780
T165	410	340	300	480	740	370	900	120	550	180	830	350	840	770
T166	500	770	580	940	910	850	550	390	620	320	380	800	220	930
T167	420	540	590	260	790	870	770	450	550	790	600	670	260	790
T168	890	740	360	470	570	730	350	410	960	970	720	420	520	840
T169	700	420	600	390	150	830	430	790	660	220	850	570	550	360
T170	960	890	440	900	450	110	500	560	930	570	990	710	360	100
T171	520	410	480	650	260	310	260	840	490	890	240	210	880	170
T172	810	570	230	870	270	710	560	670	510	890	700	780	350	460
T173	660	210	360	570	420	250	850	470	400	130	280	910	310	420
T174	140	980	540	860	240	350	500	200	460	900	160	330	350	730
T175	780	430	140	670	710	700	260	190	440	710	430	520	560	680
T176	640	100	250	620	920	430	640	660	690	200	480	800	730	960
T177	750	340	950	520	810	920	620	150	690	950	930	850	670	630
T178	910	600	760	260	410	760	260	790	520	590	670	340	470	640
T179	600	870	150	980	770	170	610	690	510	940	460	380	730	730
T180	300	370	410	490	450	550	310	560	100	560	340	560	350	170
T181	530	660	720	920	550	270	830	810	820	460	870	920	660	630
T182	360	250	820	960	480	160	860	490	610	620	600	940	190	530
T183	120	360	280	640	110	290	160	840	420	790	240	380	620	560
T184	360	150	550	800	210	970	480	800	700	580	120	530	700	690
T185	290	390	940	680	960	800	870	340	310	210	930	820	480	180
T186	570	760	480	210	460	200	850	600	950	320	280	540	730	150
T187	810	590	290	350	400	710	400	960	540	980	860	480	850	210
T188	880	890	130	740	810	400	280	350	660	750	910	200	850	900
T189	800	200	820	570	580	320	530	580	850	590	370	410	990	630
T190	270	330	350	400	320	430	470	890	230	470	350	210	600	130
T191	310	160	230	360	560	890	610	750	530	500	930	360	730	970
T192	170	140	360	550	190	710	610	690	400	710	250	770	850	800
