	A1	A2	A3	A4	A5	A6	A7
T336	240	260	530	860	600	630	720
T337	990	980	760	150	690	690	850
T338	570	810	300	900	520	700	510
T339	900	100	560	680	560	760	790
T340	960	490	810	440	870	670	930
T341	860	780	620	290	370	640	710
T342	340	230	340	950	610	510	410
T343	360	800	340	840	860	580	900
T344	140	240	330	550	760	520	300
T345	940	760	230	100	910	760	260
T346	560	350	810	430	150	400	750
T347	250	820	410	680	960	490	190
T348	820	400	500	490	660	120	420
T349	630	570	360	710	700	470	690
T350	660	690	350	780	600	120	450
T351	690	360	330	740	100	280	950
T352	600	280	940	910	190	340	400
T353	870	610	480	480	200	590	680
T354	510	570	220	890	610	680	440
T355	410	940	370	510	570	720	680
T356	890	770	540	430	510	290	270
T357	660	330	790	920	360	870	330
T358	580	830	160	540	240	120	180
T359	150	670	760	630	620	400	940
T360	680	880	590	720	150	980	840
T361	270	360	180	500	710	550	150
T362	340	240	540	100	520	320	950
T363	730	740	410	200	330	660	200
T364	450	140	350	130	560	310	210
T365	340	370	900	170	450	840	830
T366	480	160	690	930	910	480	580
T367	230	230	440	180	860	820	270
T368	760	460	490	820	600	660	260
T369	550	730	190	960	620	470	410
T370	230	850	800	680	770	120	410
T371	490	500	750	210	700	770	410
T372	720	980	870	160	670	990	560
T373	300	150	560	720	690	160	460
T374	950	120	980	680	130	800	170
T375	490	360	760	900	620	480	950
T376	820	920	460	150	450	210	100
T377	130	490	730	250	940	520	240
T378	240	710	660	340	660	470	260
T379	660	230	960	370	400	500	390
T380	350	430	590	870	980	890	870
T381	960	800	120	280	230	490	980
T382	520	720	460	450	660	140	950
T383	140	740	120	190	310	780	350
T384	420	570	530	670	340	470	280
T385	510	270	930	920	730	740	170
T386	380	720	690	250	340	640	430
T387	170	250	990	420	660	730	410
T388	720	860	810	410	570	330	450
T389	710	700	260	830	590	190	750
T390	860	560	860	100	170	800	650
T391	650	700	690	950	420	970	100
T392	880	640	190	540	690	290	220
T393	370	970	770	760	820	770	700
T394	670	960	630	940	730	920	270
T395	460	860	430	220	880	250	880
T396	750	350	650	610	730	830	940
T397	310	640	540	440	560	670	390
T398	440	160	490	330	980	640	880
T399	820	480	960	750	130	200	760
T400	730	850	820	170	350	990	160
T401	330	670	400	510	700	390	820
T402	770	220	260	600	650	690	570
T403	430	700	760	630	640	850	920
T404	600	640	880	820	470	160	720
T405	980	190	920	910	830	110	230
T406	610	620	150	540	770	540	870
T407	810	800	680	530	400	800	100
T408	770	590	330	520	380	710	610
T409	190	770	900	440	340	600	430
T410	640	900	730	960	780	450	100
T411	180	430	290	960	420	800	350
T412	270	870	750	910	960	900	350
T413	550	790	370	440	910	480	210
T414	750	500	140	150	780	450	680
T415	470	460	910	650	670	650	610
T416	200	110	700	390	400	610	290
T417	280	440	230	120	170	500	460
T418	500	670	970	600	550	640	910
T419	910	680	780	850	180	610	330
T420	700	330	730	270	910	300	690
T421	790	860	250	200	850	670	560
T422	950	720	900	940	480	350	940
T423	890	760	570	170	490	610	620
T424	560	590	760	310	640	780	960
T425	880	330	160	630	840	340	760
T426	350	900	450	340	180	240	580
T427	560	600	430	260	110	590	920
T428	930	320	200	180	980	100	550
T429	500	380	240	360	560	100	620
T430	940	760	600	540	390	130	340
T431	460	640	230	600	960	800	690
T432	530	510	400	340	580	420	550
T433	130	290	490	650	210	880	630
T434	510	730	350	570	320	930	410
T435	600	970	730	930	510	460	360
T436	820	490	130	520	640	820	520
T437	510	590	590	620	130	470	850
T438	870	600	460	490	750	170	600
T439	840	680	710	170	710	530	330
T440	780	650	100	340	930	710	320
T441	440	690	530	220	290	370	970
T442	270	220	700	830	940	380	690
T443	390	790	520	360	520	980	430
T444	960	810	770	130	170	680	760
T445	940	110	330	950	130	320	870
T446	740	430	440	270	960	310	860
T447	290	690	990	430	200	920	240
T448	170	810	640	520	720	100	470
T449	440	520	890	900	150	980	120
T450	180	550	740	640	840	320	950
T451	920	610	590	600	670	370	430
T452	610	820	180	710	390	850	150
T453	480	100	390	320	280	540	120
T454	110	150	820	760	480	540	560
T455	270	700	230	500	920	300	730
T456	260	490	780	170	560	840	750
T457	490	820	430	570	560	810	750
T458	250	350	860	660	640	520	290
T459	540	900	650	860	840	730	600
T460	140	990	550	320	200	810	730
T461	840	840	720	880	260	780	810
T462	600	930	710	960	590	250	830
T463	690	670	270	520	740	560	720
T464	470	370	480	100	800	730	770
T465	330	230	120	940	560	330	630
T466	520	380	510	570	500	240	830
T467	390	960	130	250	640	290	300
T468	680	960	140	880	570	140	400
T469	750	290	650	970	700	190	910
T470	900	140	470	180	240	150	650
T471	200	140	500	500	210	260	530
T472	340	210	480	140	490	880	520
T473	320	550	530	580	480	770	840
T474	180	410	200	650	700	320	730
T475	470	380	780	720	470	400	240
T476	100	620	160	830	790	840	480
T477	800	450	220	650	630	350	430
T478	570	870	990	420	590	810	340
T479	720	980	920	430	320	440	190
T480	780	570	370	350	640	660	470
T481	150	880	420	870	330	780	140
T482	440	720	800	170	280	920	700
T483	460	860	830	480	570	750	640
T484	370	500	820	110	350	790	410
T485	610	170	470	100	900	950	650
T486	630	680	810	940	550	680	440
T487	600	310	740	300	200	180	550
T488	460	740	670	140	100	200	130
T489	500	720	460	680	440	940	340
T490	530	510	260	580	990	710	760
T491	890	440	310	380	960	110	780
T492	550	530	920	950	150	130	530
T493	220	140	100	860	290	150	570
T494	490	890	380	650	510	150	990
T495	150	680	640	840	910	800	640
T496	340	300	180	620	780	190	730
T497	310	870	980	400	990	870	830
T498	790	570	350	700	990	880	110
T499	660	890	510	470	510	510	630
T500	130	810	280	990	660	290	350
T501	790	300	460	110	760	940	720
T502	590	280	250	900	520	960	820
T503	750	270	510	690	910	820	330
T504	940	760	500	310	150	770	660
T505	410	940	700	270	300	860	300
T506	180	910	490	780	780	770	270
T507	160	250	290	920	260	440	260
T508	340	700	660	960	300	290	680
T509	720	910	400	840	260	120	350
T510	570	590	650	520	780	960	920
T511	720	180	550	550	960	510	930
T512	390	490	690	590	490	360	900
