	A1	A2	A3	A4	A5	A6	A7
T144	380	900	940	590	860	110	420
T145	160	210	670	630	290	880	520
T146	700	900	960	340	260	240	180
T147	780	840	900	610	820	130	730
T148	500	560	880	400	790	720	600
T149	220	820	860	180	340	820	120
T150	690	950	720	760	840	500	530
T151	410	370	330	720	480	300	380
T152	950	180	710	200	370	930	790
T153	390	750	880	820	940	440	770
T154	270	190	660	550	510	320	410
T155	380	890	400	240	450	200	740
T156	790	650	180	970	790	630	590
T157	110	700	540	260	630	150	600
T158	540	830	260	450	860	140	640
T159	790	490	870	310	410	330	750
T160	100	880	790	410	990	670	310
T161	290	600	690	380	750	930	370
T162	860	340	600	350	120	110	950
T163	220	940	950	880	690	750	820
T164	200	210	120	850	940	380	960
T165	490	100	740	540	620	770	980
T166	740	460	860	960	460	500	360
T167	390	930	820	360	130	410	400
T168	400	640	230	450	310	140	170
T169	910	540	890	140	460	280	550
T170	820	130	810	730	720	160	870
T171	280	360	460	970	930	680	410
T172	920	270	410	110	310	900	880
T173	130	320	270	820	190	350	250
T174	830	800	240	850	230	670	730
T175	120	740	680	320	540	500	850
T176	290	970	270	810	280	790	730
T177	420	890	370	820	550	750	740
T178	550	420	120	550	680	890	540
T179	710	740	420	550	680	320	950
T180	370	510	360	520	830	670	210
T181	970	380	520	900	920	630	260
T182	110	220	770	880	440	710	750
T183	410	330	500	850	440	950	400
T184	130	810	240	960	200	450	230
T185	820	240	980	100	110	770	190
T186	760	410	110	560	940	950	910
T187	730	720	380	640	240	700	690
T188	720	600	310	550	420	910	400
T189	980	110	160	670	660	770	280
T190	460	310	820	320	600	340	370
T191	900	960	130	530	870	880	170
T192	340	840	330	470	910	870	660
T193	280	800	140	670	890	460	210
T194	580	880	260	780	580	660	280
T195	740	480	390	820	430	840	910
T196	860	820	500	150	500	860	360
T197	430	780	300	590	520	960	790
T198	380	100	120	620	800	360	660
T199	670	820	830	580	600	510	920
T200	470	270	910	750	790	790	810
T201	710	520	610	340	630	310	900
T202	840	430	410	940	890	990	590
T203	950	450	820	480	550	510	700
T204	270	470	390	620	630	510	490
T205	920	230	620	680	940	710	410
T206	780	870	780	710	400	660	940
T207	310	550	670	430	330	980	900
T208	890	890	340	560	260	550	930
T209	490	660	860	240	690	290	990
T210	800	290	400	780	130	350	870
T211	260	210	980	220	280	210	280
T212	300	730	740	600	610	690	870
T213	520	670	350	140	420	820	680
T214	440	180	140	690	250	180	970
T215	960	630	920	170	940	600	580
T216	810	340	240	470	510	440	570
T217	470	150	730	690	460	940	400
T218	530	140	550	160	510	310	720
T219	510	680	940	770	940	630	100
T220	340	600	920	940	150	310	180
T221	700	600	320	670	240	700	960
T222	840	350	280	480	330	880	490
T223	590	350	570	180	280	900	310
T224	550	980	840	450	180	620	620
T225	650	360	300	450	860	530	650
T226	780	860	640	190	890	870	370
T227	460	100	650	760	640	110	700
T228	600	200	760	170	800	890	760
T229	380	620	570	480	890	620	670
T230	630	890	820	970	500	760	600
T231	190	560	730	310	530	840	990
T232	830	800	540	420	670	720	870
T233	260	540	710	250	240	240	640
T234	690	540	120	850	740	320	650
T235	340	770	250	830	540	110	630
T236	590	430	640	840	730	680	750
T237	180	530	390	260	550	260	840
T238	610	450	950	530	430	560	120
T239	520	980	550	160	430	180	320
T240	770	710	210	470	940	130	150
T241	820	260	850	310	140	960	470
T242	910	710	530	310	720	770	690
T243	240	140	800	760	930	220	780
T244	870	250	400	820	730	810	330
T245	300	590	860	550	830	580	530
T246	370	810	720	770	790	990	250
T247	130	560	860	590	650	550	710
T248	400	620	670	580	690	640	720
T249	380	600	400	280	410	310	920
T250	160	910	100	630	480	300	600
T251	480	550	820	390	690	550	730
T252	110	180	460	840	650	250	970
T253	670	810	150	700	870	430	480
T254	990	700	420	950	480	330	990
T255	650	840	330	540	100	300	540
T256	240	550	620	170	130	660	240
T257	440	760	520	560	280	370	210
T258	980	570	720	970	390	550	900
T259	820	680	140	160	740	520	630
T260	810	740	730	660	500	760	590
T261	420	150	540	310	270	580	850
T262	110	760	230	870	600	660	600
T263	670	340	180	560	710	490	860
T264	100	710	940	220	860	210	560
T265	930	400	670	330	960	730	960
T266	660	810	720	990	430	350	120
T267	240	530	170	780	320	370	850
T268	820	270	540	310	480	240	900
T269	440	450	200	500	540	380	170
T270	290	430	920	250	160	580	570
T271	700	370	770	340	960	940	360
T272	370	630	950	340	980	280	530
T273	980	210	760	100	530	900	490
T274	270	570	560	610	940	210	730
T275	190	700	260	370	470	510	680
T276	460	260	190	540	640	540	200
T277	130	270	600	800	910	730	240
T278	460	100	330	820	120	720	760
T279	470	530	350	930	940	390	580
T280	590	380	940	590	430	420	620
T281	360	180	520	610	570	620	850
T282	300	210	910	990	810	440	130
T283	720	850	220	840	450	970	700
T284	480	790	100	940	640	220	870
T285	800	360	300	900	390	650	230
T286	930	920	850	760	920	930	440
T287	960	160	540	150	770	450	760
T288	100	360	520	290	980	430	490
T289	890	930	670	310	540	670	920
T290	120	280	870	600	200	410	650
T291	290	850	500	820	900	170	520
T292	200	530	830	250	100	240	530
T293	730	520	520	440	920	220	830
T294	320	430	810	930	750	320	420
T295	750	170	570	360	260	500	860
T296	560	990	520	110	650	370	550
T297	220	270	800	390	890	560	150
T298	460	720	730	560	860	830	630
T299	870	720	750	690	820	970	260
T300	640	190	110	760	460	460	680
T301	580	510	740	380	930	780	250
T302	610	240	650	140	330	760	130
T303	670	540	160	470	380	280	690
T304	400	430	410	580	930	500	870
T305	360	840	900	700	780	870	280
T306	990	780	170	810	940	360	740
T307	490	730	950	660	570	950	790
T308	730	290	760	530	500	490	260
T309	650	200	130	800	380	990	690
T310	540	440	130	640	250	630	570
T311	600	750	180	830	430	770	980
T312	580	860	910	320	620	570	560
T313	650	990	400	100	240	320	860
T314	290	910	450	240	990	870	800
T315	660	950	260	320	560	290	830
T316	560	480	570	440	220	900	730
T317	290	770	780	950	230	910	400
T318	320	640	170	890	120	720	420
T319	430	730	280	810	690	490	560
T320	570	830	310	400	480	220	790
T321	190	980	800	520	850	400	540
T322	740	480	800	200	620	590	930
T323	790	430	720	300	380	610	130
T324	880	740	580	960	110	760	990
T325	110	330	830	440	340	230	820
T326	180	340	470	840	490	640	260
T327	540	900	320	430	550	290	800
T328	380	300	940	160	900	160	770
T329	290	160	340	930	940	250	150
T330	760	430	830	620	200	340	300
T331	810	960	690	320	460	330	940
T332	840	930	660	130	160	900	920
T333	500	390	900	540	940	270	500
T334	460	970	940	860	970	710	670
T335	110	670	960	860	510	700	210
T336	920	660	240	280	590	540	700
T337	310	320	530	320	510	520	320
T338	150	430	530	360	660	440	320
T339	270	450	570	550	640	760	500
T340	560	140	560	620	570	230	890
T341	180	210	760	690	730	550	610
T342	630	480	510	230	920	640	220
T343	240	400	630	230	160	620	370
T344	560	580	700	450	400	190	110
T345	820	370	730	930	730	380	350
T346	200	250	640	510	530	790	530
T347	600	610	450	330	640	210	150
T348	650	150	620	720	650	670	580
T349	370	200	350	700	940	470	680
T350	800	240	680	640	300	900	120
T351	430	230	980	150	660	210	360
T352	540	870	350	120	760	670	180
T353	810	610	170	120	300	730	910
T354	270	610	260	620	230	580	930
T355	220	220	660	560	550	260	720
T356	620	130	520	940	510	210	730
T357	400	150	440	600	110	300	390
T358	580	310	710	730	250	350	580
T359	990	520	550	430	390	400	750
T360	560	880	500	240	850	650	750
T361	100	710	620	540	180	300	560
T362	720	720	510	120	840	840	250
T363	250	520	970	900	970	700	300
T364	230	700	240	360	190	160	130
T365	190	420	620	290	750	460	310
T366	930	310	820	290	910	990	930
T367	730	540	310	900	460	820	780
T368	980	930	270	290	870	790	450
T369	160	940	150	990	470	420	380
T370	290	650	380	640	720	700	180
T371	660	540	780	590	600	210	720
T372	280	780	990	240	550	390	940
T373	110	470	570	420	760	420	110
T374	920	420	480	910	910	420	440
T375	440	610	220	980	770	410	200
T376	320	420	450	560	850	290	720
T377	210	330	390	840	260	990	670
T378	930	790	820	120	930	510	740
T379	410	940	610	270	650	140	700
T380	900	700	500	120	960	840	320
T381	650	960	760	880	750	610	250
T382	930	830	640	690	710	570	340
T383	740	240	120	920	300	260	300
T384	950	150	970	210	890	670	290
T385	370	470	550	110	250	580	450
T386	920	500	730	840	150	670	760
T387	890	850	620	330	420	390	250
T388	230	490	470	910	760	600	760
T389	460	140	670	850	530	510	780
T390	340	950	760	220	830	640	710
T391	580	530	790	480	740	210	390
T392	680	650	800	910	520	160	540
T393	510	660	870	390	530	790	570
T394	520	730	910	640	920	350	460
T395	770	310	470	820	170	390	140
T396	900	850	790	110	490	450	450
T397	590	140	680	660	190	700	280
T398	800	570	550	590	560	910	770
T399	300	540	850	550	840	300	820
T400	540	420	360	630	750	960	530
T401	590	900	490	620	640	390	140
T402	840	880	890	440	180	320	400
T403	430	680	670	180	960	170	870
T404	920	570	470	380	590	970	640
T405	110	870	840	170	980	130	990
T406	150	730	370	850	460	970	340
T407	660	860	430	320	750	910	460
T408	410	900	210	520	870	490	190
T409	480	860	930	530	240	730	230
T410	800	500	460	960	180	260	580
T411	860	350	180	130	270	460	440
T412	350	420	790	660	160	420	630
T413	990	200	760	560	890	280	230
T414	670	850	130	220	500	910	660
T415	350	180	480	470	130	220	630
T416	850	220	300	110	760	510	470
T417	590	310	640	950	450	710	420
T418	860	400	940	480	640	850	300
T419	650	580	270	550	290	440	630
T420	260	180	540	250	470	970	650
T421	340	780	270	230	680	420	140
T422	530	250	990	450	720	250	530
T423	420	120	390	100	540	930	680
T424	110	380	840	180	440	980	220
T425	960	860	860	380	210	190	540
T426	130	380	720	950	300	490	100
T427	400	320	300	950	840	140	950
T428	110	690	160	850	640	530	810
T429	610	930	790	830	240	820	500
T430	140	250	600	620	540	290	990
T431	680	500	830	680	210	840	910
T432	150	580	470	310	640	720	200
T433	780	820	880	120	920	940	840
T434	980	710	740	810	270	420	950
T435	180	260	140	410	590	900	600
T436	900	890	500	410	310	220	430
T437	760	330	210	250	430	150	610
T438	860	470	970	590	180	790	650
T439	820	840	130	330	230	230	390
T440	750	400	930	660	730	460	750
T441	840	250	120	680	690	650	720
T442	370	600	780	350	410	150	630
T443	180	130	860	630	210	920	610
T444	420	440	610	590	760	230	640
T445	570	180	250	680	240	380	720
T446	470	860	780	480	910	600	690
T447	870	390	450	370	800	230	350
T448	620	100	730	470	210	420	820
T449	580	960	740	840	260	850	780
T450	800	730	200	430	350	270	590
T451	990	910	780	530	790	320	370
T452	640	730	920	130	670	930	230
T453	170	430	100	310	530	210	260
T454	220	270	620	220	360	100	220
T455	900	990	150	120	610	150	490
T456	190	960	110	810	110	550	320
T457	710	210	390	590	700	250	780
T458	780	770	590	230	280	730	570
T459	850	970	190	580	140	390	710
T460	190	130	580	690	390	540	130
T461	370	150	590	290	970	160	380
T462	650	990	250	290	260	450	890
T463	890	100	640	590	870	320	130
T464	500	340	720	790	740	570	920
T465	660	470	730	240	390	600	380
T466	150	220	710	650	650	230	260
T467	990	350	510	670	190	170	930
T468	670	220	700	260	710	510	380
T469	710	860	490	200	220	540	550
T470	420	340	680	320	370	320	860
T471	560	660	350	530	520	640	600
T472	590	460	660	800	400	330	250
T473	350	310	770	550	500	350	380
T474	930	950	800	130	440	460	390
T475	320	890	910	900	420	160	370
T476	880	380	400	760	510	390	430
T477	590	430	760	700	590	200	290
T478	550	620	970	990	730	270	950
T479	280	480	870	370	460	280	100
T480	410	740	890	300	240	300	450
T481	460	190	630	970	660	880	770
T482	190	400	250	560	130	740	790
T483	370	460	580	140	630	410	150
T484	470	200	880	980	810	190	470
T485	380	330	910	140	180	490	530
T486	740	550	200	190	630	110	830
T487	890	700	680	320	450	410	430
T488	560	420	380	130	660	970	390
T489	650	180	130	410	510	910	140
T490	410	660	570	250	410	940	770
T491	860	940	630	540	750	660	950
T492	730	580	280	310	580	410	420
T493	830	390	830	680	290	430	210
T494	920	170	560	400	300	150	120
T495	150	240	650	880	290	940	810
T496	810	250	900	800	570	610	450
T497	870	380	570	450	320	440	800
T498	450	150	170	110	340	640	610
T499	940	430	520	480	590	160	320
T500	450	950	860	110	310	160	540
T501	880	240	920	840	710	350	430
T502	800	560	400	590	740	470	160
T503	340	780	370	820	160	290	400
T504	140	760	780	750	570	320	570
T505	490	620	700	870	750	100	270
T506	960	550	160	140	800	420	300
T507	250	520	730	450	460	450	690
T508	700	490	880	370	970	930	280
T509	170	370	170	440	740	750	240
T510	560	100	590	470	910	420	650
T511	710	270	160	590	450	220	950
T512	260	920	440	550	910	250	990
