	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	A13	A14
T44	850	820	890	290	450	470	400	370	260	420	400	790	780	460
T45	160	770	230	870	410	520	650	290	950	340	180	650	710	980
T46	170	330	600	360	560	480	220	110	600	590	170	290	810	960
T47	100	800	130	980	400	580	870	960	750	590	790	670	520	520
T48	620	320	690	390	720	390	900	240	510	910	850	570	230	260
T49	360	900	250	950	650	420	740	960	920	400	550	130	370	520
T50	860	610	160	110	930	200	690	230	730	330	840	590	850	510
T51	150	740	220	100	140	300	440	140	600	590	290	580	710	140
T52	360	760	710	860	630	290	840	130	350	990	650	380	470	600
T53	150	500	630	330	400	120	800	510	490	350	930	470	700	840
T54	440	870	380	920	240	640	500	850	220	580	930	790	390	920
T55	850	630	470	630	900	710	620	890	380	180	370	530	580	340
T56	940	730	870	220	830	890	630	740	880	280	590	850	410	360
T57	270	300	100	840	110	790	120	770	270	960	870	700	690	820
T58	450	950	330	220	580	360	350	590	970	470	110	300	240	450
T59	720	210	340	960	450	290	140	540	300	800	970	320	590	340
T60	740	560	890	260	160	650	740	950	360	570	950	710	210	610
T61	850	650	570	370	470	130	220	760	700	380	790	140	670	990
T62	700	850	140	420	320	340	580	210	510	740	880	430	260	740
T63	430	620	420	330	930	920	310	350	540	420	820	780	830	510
T64	130	630	170	670	350	180	860	190	670	720	440	960	520	250
T65	180	690	430	600	960	310	670	790	960	860	870	330	120	510
T66	990	880	610	460	490	460	670	780	460	320	330	470	300	420
T67	340	470	930	610	140	120	990	970	950	820	470	780	720	690
T68	740	250	140	540	120	140	690	970	300	150	960	300	120	500
T69	580	460	620	640	110	840	390	120	370	220	250	430	390	100
T70	110	110	100	650	310	380	590	600	530	640	750	650	220	890
T71	270	350	430	690	550	530	560	110	380	250	500	960	840	500
T72	510	810	640	640	540	340	570	470	120	110	680	620	310	880
T73	770	390	520	140	690	770	270	970	540	950	590	580	120	920
T74	150	240	460	430	970	660	590	270	350	100	700	270	500	140
T75	920	550	720	910	840	650	520	520	280	920	750	370	520	780
T76	120	410	110	780	740	440	980	110	970	180	440	980	770	440
T77	150	940	660	400	960	210	490	100	570	140	630	460	530	800
T78	590	720	530	870	370	230	800	220	810	140	580	270	530	630
T79	390	320	990	370	270	580	830	710	190	320	980	440	320	960
T80	170	480	760	810	670	180	550	470	150	850	210	630	330	910
T81	500	110	820	130	420	710	800	590	760	710	120	710	780	110
T82	910	760	850	600	240	270	960	380	390	230	760	390	500	190
T83	700	850	800	750	940	880	880	560	240	180	170	380	560	670
T84	520	280	860	680	210	750	570	510	280	120	220	940	720	860
T85	930	680	890	610	900	630	480	780	780	780	810	130	180	600
T86	880	140	500	360	210	790	470	230	860	420	570	370	270	850
T87	510	400	260	140	940	860	850	970	410	370	600	530	720	680
T88	170	990	640	800	300	490	480	360	320	570	470	940	630	580
T89	600	820	440	530	170	180	760	150	600	710	710	750	990	540
T90	500	950	810	990	470	420	320	670	860	590	120	410	410	970
T91	470	690	480	580	770	100	920	260	750	330	930	840	100	930
T92	190	120	290	390	640	780	650	620	580	590	910	930	360	390
T93	220	450	200	490	960	670	210	670	120	760	100	880	190	270
T94	160	100	410	430	700	450	230	250	240	440	240	250	970	880
T95	310	220	670	810	480	300	950	820	970	840	360	210	420	140
T96	700	270	890	120	100	500	470	360	510	350	320	860	450	700
T97	540	260	500	490	150	670	570	430	710	480	380	560	520	260
T98	700	990	890	530	130	270	710	190	750	720	660	750	560	250
T99	340	930	660	280	810	620	790	400	700	120	540	570	710	980
T100	670	570	180	730	980	180	420	730	200	450	950	950	260	520
T101	940	970	980	790	150	430	120	740	460	450	390	910	520	770
T102	240	280	380	410	930	740	820	550	930	230	170	440	640	880
T103	560	820	950	970	750	620	300	830	260	150	820	700	980	160
T104	620	180	790	870	180	260	710	550	680	170	780	470	340	710
T105	560	600	210	180	880	780	810	830	350	560	840	710	230	740
T106	450	890	270	770	970	400	570	950	730	620	800	520	500	310
T107	500	900	990	340	540	600	440	570	480	970	830	130	370	310
T108	140	430	430	660	990	610	250	430	990	630	930	850	960	410
T109	190	250	410	580	820	830	140	510	530	230	480	830	310	350
T110	800	580	450	700	480	850	100	200	220	550	880	190	550	140
T111	920	740	330	390	900	720	860	900	110	420	800	890	240	250
T112	400	990	420	430	330	730	560	920	160	570	680	660	150	580
T113	720	940	590	360	490	110	370	160	110	730	630	130	680	220
T114	120	920	450	960	990	420	410	630	560	820	520	440	520	820
T115	760	760	320	860	110	760	440	250	640	150	840	830	850	240
T116	340	400	850	280	590	590	790	920	710	470	280	120	610	960
T117	680	340	740	970	140	690	720	900	280	680	800	830	700	890
T118	360	690	850	160	150	510	230	750	100	590	890	280	690	230
T119	510	620	320	220	380	920	980	370	720	660	110	600	170	410
T120	900	550	310	910	550	700	810	320	430	780	210	880	650	840
T121	230	800	790	370	180	580	430	550	340	960	470	310	280	970
T122	690	970	180	350	800	280	340	590	110	770	110	870	940	400
T123	130	560	100	590	500	420	610	630	390	730	220	770	760	510
T124	160	740	900	660	740	580	370	270	730	390	360	250	910	880
T125	590	920	710	850	850	540	570	930	150	400	850	460	310	370
T126	420	850	680	250	200	890	920	700	850	500	590	270	110	470
T127	750	180	930	680	670	550	120	940	880	460	870	750	670	580
T128	190	110	590	330	320	820	410	420	270	290	530	900	530	250
T129	660	260	560	310	720	190	640	130	660	920	450	680	700	210
T130	320	870	930	360	220	180	150	790	600	700	810	580	490	390
T131	910	480	600	850	960	230	380	620	980	430	130	930	440	930
T132	540	450	450	710	120	670	790	390	490	550	660	680	870	580
T133	120	930	710	300	800	260	840	870	860	120	530	610	540	470
T134	630	590	200	520	790	500	680	300	800	880	620	420	140	590
T135	110	290	620	530	890	290	820	370	210	890	880	190	810	420
T136	590	440	800	390	720	100	350	120	300	820	200	490	650	170
T137	720	560	880	970	140	660	200	350	690	220	660	680	320	950
T138	270	130	900	490	490	150	870	400	580	710	110	400	310	170
T139	250	260	740	880	520	920	960	290	130	230	130	340	420	910
T140	830	270	940	600	620	180	800	900	150	650	580	740	660	660
T141	490	560	890	110	260	720	740	850	240	860	580	360	310	430
T142	130	740	510	340	840	440	450	830	330	850	860	730	140	340
T143	490	330	750	460	260	550	180	150	760	750	670	680	940	140
T144	990	370	170	480	850	510	640	790	630	460	720	370	110	850
T145	480	610	480	300	730	900	470	350	870	950	720	870	390	670
T146	350	130	720	300	350	730	480	710	210	670	460	190	200	930
T147	970	310	440	460	940	480	540	490	310	780	880	480	490	520
T148	110	580	360	140	930	690	360	380	390	590	550	780	990	410
T149	880	830	390	170	770	660	570	920	390	610	440	310	410	190
T150	310	880	460	450	530	980	690	660	980	690	130	790	990	990
T151	680	320	950	300	440	580	570	160	530	530	940	150	750	630
T152	300	300	130	770	640	960	820	490	800	330	570	300	280	190
T153	660	890	820	820	870	350	130	150	700	660	830	650	760	240
T154	580	390	220	330	340	300	640	330	520	780	350	120	140	920
T155	980	840	700	410	700	720	220	550	770	880	950	410	260	390
T156	530	610	310	550	220	570	770	630	310	860	850	320	720	540
T157	270	400	360	740	990	590	260	240	140	160	250	410	320	170
T158	310	510	790	400	290	350	450	290	420	710	710	920	280	150
T159	760	410	350	930	750	270	280	720	370	170	700	230	600	290
T160	410	850	640	670	570	100	170	990	260	160	310	450	390	170
T161	150	350	990	830	150	380	280	850	670	580	900	470	210	550
T162	160	690	790	540	910	540	780	920	650	280	230	990	720	330
T163	680	200	730	440	600	190	970	690	860	240	480	260	630	960
T164	720	560	240	250	330	600	290	540	790	260	320	490	780	540
T165	490	250	160	690	410	370	170	340	990	190	630	990	740	770
T166	120	950	120	690	420	290	620	470	560	770	990	550	590	140
T167	480	360	470	420	420	940	350	580	930	770	190	730	180	160
T168	470	740	120	750	450	230	490	940	130	580	620	810	820	520
T169	300	720	250	340	150	710	230	620	350	260	150	540	150	570
T170	530	760	850	860	780	440	820	670	240	130	410	420	100	850
T171	990	410	980	820	320	110	400	300	290	820	820	780	600	610
T172	970	920	500	780	370	560	530	420	960	680	790	250	180	390
T173	780	450	940	900	340	290	450	360	810	380	160	810	940	970
T174	980	230	140	530	950	850	110	980	810	370	980	190	280	260
T175	910	220	700	300	890	750	930	700	560	960	170	750	330	190
T176	530	990	370	280	670	900	120	240	750	670	650	680	190	100
T177	510	590	130	910	840	850	650	240	380	870	820	180	700	980
T178	450	540	920	240	180	360	900	200	770	480	900	530	980	910
T179	400	460	780	690	360	260	490	120	460	410	980	600	980	960
T180	710	110	440	670	150	710	270	550	110	150	930	780	990	410
T181	620	290	250	590	780	720	690	830	850	840	640	730	450	390
T182	630	750	250	420	960	370	830	980	940	940	610	770	190	900
T183	600	920	430	730	290	640	860	220	130	190	890	230	600	590
T184	960	250	570	580	410	730	550	680	890	870	860	490	510	770
T185	480	290	300	830	650	650	720	260	200	200	110	520	690	780
T186	100	110	750	770	540	650	180	360	380	320	870	100	500	730
T187	880	210	180	540	650	310	360	800	750	980	460	180	280	250
T188	470	310	530	150	980	840	990	880	460	620	570	530	800	380
T189	120	960	380	100	530	830	280	750	940	310	980	300	730	340
T190	400	260	610	110	340	550	300	870	500	990	190	660	200	960
T191	900	790	240	270	390	630	600	970	630	350	800	890	370	790
T192	170	670	670	800	110	100	620	310	150	510	760	440	300	370
T193	710	450	760	640	850	770	460	350	860	500	620	110	820	670
T194	590	660	230	540	450	440	490	480	970	290	190	300	590	780
T195	660	590	200	490	760	570	410	220	630	870	300	520	350	900
T196	650	520	870	500	140	940	880	950	660	410	270	920	110	110
T197	610	460	890	810	980	980	390	860	450	690	600	840	480	360
T198	620	560	980	320	280	870	220	510	720	110	130	970	950	170
T199	760	200	750	850	620	280	170	250	110	670	120	470	170	960
T200	650	800	260	860	520	470	160	630	620	550	760	680	670	260
T201	940	100	700	570	920	910	930	840	140	290	280	990	170	650
T202	600	280	960	460	310	230	320	310	670	720	890	400	180	290
T203	400	630	410	920	150	970	560	980	340	400	610	400	900	710
T204	590	900	500	390	320	290	680	350	210	780	360	830	590	850
T205	860	850	510	890	770	640	790	400	310	410	380	170	590	870
T206	870	440	170	100	570	600	630	920	510	860	410	590	800	140
T207	560	960	840	290	610	670	570	710	410	370	330	120	150	430
T208	330	440	860	450	670	870	790	150	360	260	190	820	880	490
T209	940	280	140	760	980	870	240	480	320	100	490	940	910	670
T210	620	790	840	630	840	510	320	470	940	810	960	360	350	250
T211	480	750	990	630	920	530	980	520	680	560	700	900	730	350
T212	200	180	430	500	420	220	700	400	750	250	180	360	550	690
T213	350	310	540	940	150	520	240	510	160	220	850	290	380	290
T214	600	390	790	680	190	550	310	180	310	880	670	780	390	190
T215	880	470	750	700	200	820	630	760	270	920	170	740	730	690
T216	460	830	850	680	130	220	250	210	880	100	700	180	650	730
T217	540	360	950	810	430	430	740	170	530	960	810	390	410	540
T218	600	620	670	480	880	530	720	190	850	210	310	340	310	350
T219	810	710	340	850	680	360	260	110	160	890	460	680	990	130
T220	580	420	310	530	620	410	460	900	280	560	160	540	580	620
T221	960	860	890	650	380	320	980	490	430	200	940	770	430	710
T222	890	620	170	880	160	710	590	590	210	280	630	640	890	800
T223	890	260	210	470	970	600	430	300	720	190	550	290	700	680
T224	980	490	900	350	180	600	300	360	670	240	480	680	460	700
T225	880	430	460	330	560	110	170	890	890	620	560	670	580	960
T226	720	410	530	400	930	110	850	710	940	810	970	830	760	620
T227	980	350	530	110	630	750	920	740	180	440	830	520	270	510
T228	450	140	730	100	100	100	350	270	170	790	670	700	220	460
T229	120	220	660	360	490	420	700	350	370	740	530	960	200	130
T230	350	940	380	490	830	110	790	180	570	360	870	410	490	290
T231	100	920	400	690	750	380	710	320	530	430	440	880	720	930
T232	800	310	410	530	520	100	520	550	790	860	530	450	940	260
T233	340	500	670	710	600	960	570	680	140	380	480	510	470	970
T234	840	770	310	940	200	220	200	980	520	950	200	300	570	260
T235	340	770	990	550	850	970	850	310	570	330	790	280	830	240
T236	730	960	810	250	970	580	550	830	230	840	890	700	150	880
T237	930	210	360	560	160	520	920	910	200	930	950	490	160	580
T238	120	720	810	990	780	430	590	980	210	110	150	450	670	890
T239	210	500	370	860	450	740	960	660	520	560	610	940	200	480
T240	640	730	800	890	420	360	490	960	900	680	260	340	820	530
T241	480	770	710	440	670	990	630	250	850	550	420	530	700	900
T242	160	310	290	300	970	150	290	930	420	120	270	920	970	670
T243	270	540	490	120	960	660	620	160	160	820	980	780	620	160
T244	980	170	760	190	170	990	230	680	770	540	300	940	210	380
T245	570	340	430	620	990	450	730	570	610	520	260	530	220	980
T246	620	940	350	580	350	930	710	940	230	200	520	700	550	590
T247	870	380	780	650	160	720	900	390	400	910	970	890	300	460
T248	680	540	880	740	330	750	560	710	570	260	150	140	480	590
T249	980	700	310	190	840	560	520	670	160	690	880	790	730	800
T250	850	840	190	450	240	540	180	760	250	860	210	170	740	260
T251	380	730	500	310	320	150	590	690	230	800	370	970	100	710
T252	710	110	960	920	790	460	360	890	950	600	460	440	290	160
T253	330	680	340	880	500	650	350	230	960	110	750	130	300	940
T254	160	910	650	520	350	330	950	730	820	950	600	290	460	210
T255	230	190	860	620	780	840	810	330	380	430	160	320	660	380
T256	780	110	620	120	420	240	390	970	360	560	990	640	590	230
