	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	A13	A14
T132	610	320	190	950	820	740	580	270	560	720	140	550	860	780
T133	500	390	600	710	190	250	810	620	460	120	620	610	710	410
T134	580	740	880	750	160	810	520	220	700	340	690	630	190	910
T135	580	710	490	860	330	950	710	690	320	980	460	100	210	810
T136	180	680	150	250	510	920	920	150	570	420	460	320	960	810
T137	950	200	330	250	820	630	570	120	470	630	210	540	100	710
T138	290	980	870	470	590	570	410	560	750	700	450	840	620	340
T139	700	150	640	210	240	650	250	910	780	690	560	870	820	140
T140	210	580	870	380	810	490	730	940	440	590	270	370	820	700
T141	620	830	750	290	740	590	540	640	730	360	350	480	920	230
T142	210	140	870	990	700	750	720	700	500	810	690	920	200	140
T143	460	970	720	930	730	530	210	640	370	320	990	600	140	220
T144	250	270	110	150	500	270	820	730	510	680	430	290	340	610
T145	480	220	120	340	130	160	580	100	630	610	360	690	750	460
T146	140	850	860	270	340	800	560	690	200	560	820	770	780	210
T147	780	200	750	170	240	270	690	790	430	670	360	890	540	660
T148	790	590	180	590	320	360	370	100	500	790	610	770	640	740
T149	890	350	550	500	280	630	800	730	870	430	340	630	560	880
T150	260	420	790	600	510	640	440	830	360	270	720	270	950	640
T151	260	730	900	970	420	360	790	960	170	120	140	280	220	340
T152	920	210	890	740	980	690	610	490	370	490	450	140	930	170
T153	110	800	760	340	350	120	530	790	940	570	640	550	340	720
T154	180	160	460	720	990	160	340	560	310	580	850	400	220	740
T155	800	180	420	840	170	660	660	820	220	200	640	560	210	650
T156	650	130	700	170	280	550	410	750	970	350	750	590	640	730
T157	590	300	940	880	590	360	250	530	840	580	160	150	800	130
T158	830	450	270	640	830	180	470	710	660	960	120	510	150	310
T159	460	250	450	140	710	140	590	940	600	460	830	210	350	440
T160	490	800	870	260	560	600	620	310	360	910	540	700	350	750
T161	820	600	100	400	900	250	460	170	380	550	960	710	890	690
T162	780	460	170	570	680	440	750	820	940	100	580	490	570	830
T163	870	240	460	500	980	930	450	420	760	850	350	590	640	720
T164	770	760	810	840	160	440	620	660	530	160	440	600	260	800
T165	210	870	210	540	570	550	390	360	700	240	120	290	380	860
T166	110	320	800	770	420	150	280	440	940	310	810	640	310	400
T167	980	540	940	480	300	400	490	560	560	240	380	250	240	170
T168	100	460	880	410	470	340	400	390	630	810	350	910	470	850
T169	360	820	300	420	840	340	420	930	480	190	330	470	650	140
T170	830	520	420	800	980	370	570	460	880	590	920	180	400	880
T171	880	490	250	770	540	430	930	760	800	150	580	170	760	630
T172	280	370	560	110	230	960	110	370	630	880	750	670	860	370
T173	630	790	490	220	220	250	750	780	690	800	750	420	240	260
T174	110	610	220	500	480	850	180	260	480	590	110	680	940	600
T175	910	310	530	530	570	750	320	820	780	110	580	840	670	830
T176	900	100	150	900	330	590	540	370	870	180	800	260	410	220
T177	510	120	890	530	960	210	720	390	980	950	840	650	470	270
T178	940	300	420	940	360	820	970	730	750	980	960	510	730	280
T179	780	400	730	220	400	820	260	170	360	720	700	220	790	680
T180	190	870	590	400	610	520	820	840	400	830	180	540	760	190
T181	950	710	760	640	700	340	270	300	660	360	670	180	340	290
T182	940	780	670	120	380	140	200	970	630	660	460	290	170	430
T183	790	100	260	940	780	850	830	340	550	430	680	890	540	700
T184	240	710	540	200	740	820	620	470	780	720	770	360	500	510
T185	180	980	990	400	210	440	290	280	340	750	680	530	750	300
T186	620	480	700	580	390	370	240	590	350	760	910	690	590	390
T187	690	950	430	250	350	480	310	720	430	550	150	100	950	230
T188	980	990	340	730	780	400	290	160	550	460	550	290	330	310
T189	610	760	180	980	650	450	150	970	350	530	970	790	390	770
T190	450	860	940	710	810	420	400	460	620	710	880	880	820	930
T191	180	710	920	120	850	300	230	450	580	690	630	640	660	350
T192	700	840	100	380	400	830	710	500	630	760	880	980	540	210
