	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	A13	A14
T88	360	600	820	360	990	180	990	670	980	700	130	310	940	510
T89	120	900	680	600	850	500	360	920	150	800	880	740	530	540
T90	310	470	590	570	370	910	890	780	510	350	800	970	150	890
T91	210	600	100	320	920	740	610	370	900	210	850	920	240	660
T92	180	760	890	200	220	890	670	860	910	560	310	220	340	810
T93	670	400	140	830	270	760	620	760	980	870	940	380	120	990
T94	460	440	670	350	780	550	240	510	850	240	650	370	290	830
T95	740	590	460	730	200	610	910	530	480	740	330	800	950	180
T96	150	180	990	160	890	820	700	410	230	180	570	570	460	980
T97	460	260	420	220	100	350	260	510	780	230	390	710	120	580
T98	200	300	290	410	350	820	840	330	550	770	410	500	360	940
T99	440	490	230	340	510	740	490	400	890	890	960	920	760	450
T100	100	190	650	230	600	140	380	100	730	200	660	520	660	120
T101	920	860	700	980	530	820	240	980	480	160	450	520	710	660
T102	910	470	860	860	890	830	770	370	290	100	670	780	790	620
T103	580	640	980	890	320	600	800	770	830	280	160	650	830	880
T104	620	230	130	430	200	120	730	720	140	300	590	720	270	370
T105	180	770	870	950	420	380	460	740	800	260	820	840	700	420
T106	310	290	410	330	760	300	140	620	980	100	420	650	530	370
T107	560	960	550	770	120	820	620	530	860	750	720	470	830	790
T108	820	920	700	690	690	420	400	200	950	250	280	940	910	600
T109	440	420	910	980	390	650	430	760	500	530	120	910	840	790
T110	930	480	840	710	120	460	350	880	870	290	270	270	100	950
T111	160	740	510	720	880	650	810	170	180	720	810	540	640	230
T112	630	210	980	310	940	490	980	310	800	270	740	340	570	170
T113	470	890	860	870	690	370	890	520	150	570	510	580	910	640
T114	800	260	890	140	200	630	780	310	330	580	530	240	700	900
T115	500	910	900	220	350	740	180	180	920	410	840	110	240	840
T116	780	840	390	790	760	300	410	900	630	530	310	320	870	410
T117	860	500	680	600	890	550	260	160	790	800	900	350	970	810
T118	740	300	330	180	300	960	560	620	390	800	300	420	970	770
T119	110	210	670	200	760	880	370	380	770	620	440	320	570	580
T120	510	950	580	300	230	600	530	410	460	180	140	840	710	780
T121	620	930	160	490	590	310	830	130	110	680	760	810	520	180
T122	450	570	440	240	450	410	980	210	310	270	290	210	500	670
T123	190	470	550	120	900	130	580	770	850	660	580	330	530	200
T124	300	740	370	100	310	480	750	150	420	230	410	900	920	950
T125	690	250	430	960	570	550	890	430	170	910	200	260	430	900
T126	480	190	550	140	890	940	410	880	580	470	420	640	260	390
T127	590	140	260	350	780	300	110	450	350	810	660	410	610	990
T128	910	200	320	760	220	860	530	730	520	220	350	870	100	460
T129	300	830	840	340	870	830	420	160	900	200	450	850	280	390
T130	190	990	390	630	430	480	460	650	480	460	230	930	900	460
T131	990	540	330	150	850	310	260	950	750	630	820	690	490	980
T132	660	840	960	410	460	160	490	300	280	650	390	370	270	990
T133	700	650	240	680	650	810	960	130	790	210	280	360	490	190
T134	410	160	840	230	910	870	510	440	460	670	900	710	810	350
T135	880	390	830	660	630	580	160	840	400	800	830	600	160	590
T136	420	340	130	410	510	330	560	130	870	130	890	640	560	990
T137	810	970	890	500	380	170	660	180	120	540	980	780	350	170
T138	820	790	270	650	120	830	790	580	940	680	290	870	440	550
T139	260	940	170	620	790	510	500	900	140	220	630	120	590	900
T140	200	250	970	330	390	390	910	500	650	840	130	750	200	220
T141	100	140	750	570	800	450	960	170	700	150	360	680	460	470
T142	250	240	660	370	520	730	650	110	920	430	270	560	500	890
T143	980	860	860	240	140	560	410	980	790	540	570	910	910	470
T144	400	950	940	380	960	870	540	830	370	280	790	720	260	380
T145	450	980	940	260	520	620	460	860	610	570	670	810	960	610
T146	850	620	110	270	600	840	570	910	330	400	740	770	550	800
T147	740	980	190	710	180	710	400	520	440	120	910	860	230	700
T148	290	720	480	530	970	260	230	340	820	770	830	630	630	360
T149	480	810	450	940	790	340	840	230	190	390	780	780	720	890
T150	490	850	820	820	660	830	580	250	600	530	850	260	880	890
T151	950	100	800	680	990	940	130	240	710	360	550	350	940	690
T152	410	770	290	390	870	490	510	740	870	490	980	320	500	740
T153	780	770	740	990	310	400	540	140	330	660	570	890	930	520
T154	180	700	400	260	850	370	540	250	400	340	120	530	670	130
T155	500	280	260	820	660	900	340	710	400	980	500	160	970	180
T156	620	710	820	290	170	290	530	940	970	500	140	690	220	380
T157	680	520	900	160	370	590	320	630	570	470	320	170	890	540
T158	100	340	910	370	440	940	350	210	540	390	110	720	590	100
T159	730	460	750	750	610	180	880	220	990	140	570	730	210	630
T160	700	240	960	220	520	180	530	310	630	100	130	690	210	950
T161	940	270	210	990	600	120	530	270	480	370	870	400	610	610
T162	890	750	350	530	260	820	140	990	820	110	910	290	170	950
T163	190	560	530	500	500	420	150	970	940	420	770	460	820	440
T164	380	940	750	100	550	960	730	740	860	250	590	870	410	760
T165	400	120	180	470	500	270	210	930	410	440	730	140	310	770
T166	590	650	390	220	860	610	700	360	290	110	110	260	280	920
T167	310	730	950	260	290	810	400	180	640	390	480	930	960	270
T168	760	240	140	840	100	400	280	770	120	400	520	110	890	360
T169	390	640	900	600	750	200	790	660	190	400	980	850	530	490
T170	140	950	710	520	930	320	590	620	990	660	150	250	350	530
T171	390	500	370	770	180	910	390	460	160	480	250	570	370	140
T172	560	840	990	350	280	790	180	220	420	210	610	990	570	510
T173	300	280	630	250	130	520	690	830	880	370	970	160	730	430
T174	730	630	330	150	660	620	900	880	280	650	260	990	560	770
T175	120	930	520	500	150	670	260	480	750	970	710	960	930	240
T176	950	140	900	120	530	130	600	790	240	840	570	780	480	370
T177	160	320	840	430	770	930	750	220	540	700	520	270	180	340
T178	320	930	620	340	760	320	870	940	400	220	910	940	500	870
T179	260	250	580	110	320	540	720	180	190	490	660	810	580	410
T180	570	610	250	880	840	930	820	700	720	600	920	630	260	110
T181	860	540	310	210	240	310	880	900	490	610	620	330	730	800
T182	390	570	260	480	830	910	310	590	360	860	960	490	400	490
T183	660	770	420	940	630	700	980	350	940	810	900	630	870	550
T184	170	720	150	670	680	930	300	570	600	530	320	970	140	910
T185	650	540	610	330	880	830	220	850	530	900	530	680	120	890
T186	770	350	100	500	870	640	630	860	170	990	170	180	330	990
T187	770	500	350	550	810	430	160	880	570	700	380	130	450	910
T188	530	660	950	320	130	100	280	220	640	400	390	390	180	520
T189	820	100	950	430	380	440	340	900	390	790	780	830	260	260
T190	240	270	600	610	570	380	300	450	620	980	130	490	670	500
T191	440	760	670	990	860	490	470	250	920	850	510	870	960	650
T192	500	450	450	400	340	680	490	480	440	660	460	960	200	210
T193	790	260	740	290	120	250	700	540	870	880	150	120	440	330
T194	930	160	570	780	740	260	380	600	970	900	420	160	860	610
T195	500	280	800	250	110	720	170	320	100	560	910	590	400	810
T196	940	620	830	670	860	930	520	120	130	530	840	940	340	810
T197	700	360	930	960	610	970	890	660	520	880	440	170	270	520
T198	960	870	510	110	680	630	950	270	540	350	630	180	610	950
T199	330	230	550	620	340	410	580	990	230	210	270	380	310	170
T200	240	500	680	820	180	500	550	430	730	230	760	180	150	870
T201	720	980	100	900	550	510	430	270	350	420	740	210	750	570
T202	600	170	980	800	660	620	130	800	880	570	710	460	690	590
T203	530	460	790	450	240	510	190	210	110	590	400	900	370	480
T204	160	910	160	690	540	610	430	890	810	630	630	910	110	390
T205	840	300	600	560	140	820	190	600	490	580	700	590	180	570
T206	100	730	930	160	400	730	920	910	680	850	170	620	880	860
T207	160	320	430	360	540	530	640	650	510	520	390	890	750	380
T208	620	180	180	720	800	920	260	550	230	330	500	430	930	390
T209	380	900	810	230	380	540	360	830	610	300	460	890	950	480
T210	260	650	270	810	900	460	240	850	180	780	830	580	100	180
T211	400	440	450	380	160	640	510	900	270	570	200	850	290	800
T212	800	630	510	760	290	850	340	620	570	510	570	130	790	590
T213	620	920	290	710	830	610	530	700	180	940	510	230	250	440
T214	520	980	900	630	900	740	500	250	180	410	730	300	750	980
T215	300	960	810	850	160	430	820	660	760	440	600	600	650	480
T216	210	990	560	690	500	110	410	630	570	670	280	770	340	990
T217	900	460	590	360	890	340	900	720	980	520	740	390	740	790
T218	910	220	560	760	290	930	760	960	630	980	800	630	110	350
T219	860	850	990	760	920	990	230	790	850	560	670	970	350	630
T220	240	780	400	930	530	660	790	710	280	170	320	630	830	760
T221	850	790	480	840	120	730	440	590	510	200	790	660	880	150
T222	260	450	380	130	790	260	220	760	180	650	420	980	990	230
T223	920	140	460	390	680	980	620	600	770	690	650	130	280	460
T224	340	760	600	180	990	450	590	280	760	380	400	550	940	810
T225	490	350	910	270	740	670	930	680	730	380	490	750	480	510
T226	340	780	670	810	620	600	610	910	100	820	380	420	790	870
T227	980	130	390	210	880	730	730	740	740	480	220	460	370	390
T228	100	770	610	980	920	470	530	480	800	960	270	440	350	520
T229	640	750	740	900	110	600	450	360	840	590	250	890	710	920
T230	270	650	150	240	300	350	400	560	190	230	810	280	780	760
T231	870	770	110	310	300	500	170	250	750	500	500	620	740	700
T232	590	620	980	300	910	580	810	310	370	850	120	640	580	370
T233	200	600	120	120	130	360	850	230	110	450	150	270	570	110
T234	470	260	530	390	440	240	160	940	970	790	910	220	700	910
T235	240	890	970	510	220	540	480	930	470	300	780	940	970	570
T236	920	590	670	910	290	760	240	620	820	440	860	980	460	370
T237	900	520	500	260	770	940	350	510	960	480	330	150	680	620
T238	970	370	490	250	330	700	630	390	880	490	700	810	710	240
T239	820	570	110	650	110	820	890	890	520	710	630	350	610	220
T240	960	450	490	960	460	280	240	420	450	600	700	670	520	330
T241	310	100	730	530	620	180	350	350	660	260	200	770	160	690
T242	230	930	320	330	150	700	210	710	880	550	720	970	770	200
T243	390	160	760	330	130	420	750	720	500	620	560	160	250	670
T244	690	600	380	880	830	640	680	840	380	360	610	380	430	120
T245	270	150	260	360	550	920	330	970	180	640	870	500	180	350
T246	970	380	910	260	640	710	180	570	350	660	190	530	910	390
T247	910	650	640	970	410	330	720	900	120	740	870	930	250	670
T248	800	850	630	520	660	320	480	950	200	970	780	670	160	100
T249	350	140	280	990	990	170	780	890	910	480	100	330	430	560
T250	770	130	960	890	920	330	950	440	910	220	590	530	890	750
T251	670	260	160	920	200	770	720	780	800	230	170	840	550	850
T252	300	510	990	390	430	210	200	710	900	590	880	390	160	680
T253	500	280	730	260	360	820	350	260	820	450	910	370	200	740
T254	980	750	930	200	830	560	750	200	770	540	590	210	670	350
T255	660	430	420	440	790	990	660	470	430	340	440	790	130	860
T256	420	260	690	790	400	180	640	240	410	440	410	350	270	950
T257	760	420	290	520	480	720	980	680	230	730	480	510	810	490
T258	700	410	530	600	570	770	130	380	120	780	340	890	780	770
T259	640	400	300	380	240	720	810	220	800	850	660	630	980	210
T260	850	320	110	380	440	800	550	300	640	980	200	180	250	660
T261	150	410	220	230	110	150	630	730	630	370	790	320	690	890
T262	370	610	930	130	530	580	280	270	530	110	620	950	960	790
T263	200	320	890	210	940	360	210	560	240	690	560	790	590	360
T264	740	210	990	460	760	980	280	970	170	930	150	870	280	200
T265	100	410	210	560	180	200	660	790	580	390	180	640	800	840
T266	320	810	510	410	310	130	340	400	200	860	880	490	120	610
T267	790	400	410	190	210	930	530	590	890	600	750	850	940	210
T268	510	330	240	710	700	780	920	580	910	900	660	210	510	600
T269	800	200	520	310	280	180	470	360	370	640	830	830	780	670
T270	820	720	280	750	530	470	140	200	850	950	680	580	430	590
T271	920	100	470	980	260	190	130	380	320	800	740	100	730	440
T272	860	240	170	510	780	330	460	740	530	780	170	960	830	750
T273	210	410	160	570	680	870	500	470	730	880	120	760	670	800
T274	640	930	440	570	220	540	300	950	500	570	770	740	400	320
T275	980	830	740	810	700	810	610	780	180	860	780	150	680	620
T276	530	350	720	490	940	570	840	690	570	490	180	210	900	870
T277	250	350	370	100	260	470	410	830	550	450	620	100	960	480
T278	750	610	840	640	200	280	420	890	660	590	220	360	880	270
T279	990	560	820	470	130	610	790	400	670	760	220	820	390	310
T280	780	900	350	670	380	960	910	960	620	730	910	570	740	680
T281	280	460	730	290	160	580	400	240	200	840	680	700	770	110
T282	330	850	880	920	170	540	820	800	450	900	270	150	650	390
T283	360	920	210	140	650	850	130	920	420	910	250	490	220	900
T284	880	720	590	600	920	210	420	640	230	740	140	340	180	590
T285	440	660	880	910	460	500	480	430	720	390	420	320	510	670
T286	550	380	210	540	140	940	550	980	370	360	870	860	460	410
T287	440	410	330	150	360	970	130	460	680	120	460	340	820	720
T288	750	480	600	520	840	340	820	960	560	780	990	110	150	200
T289	530	320	930	880	280	860	570	380	480	360	770	670	150	460
T290	590	830	400	580	570	190	470	340	760	480	370	960	950	850
T291	350	320	740	420	990	320	490	210	490	460	300	340	720	810
T292	150	740	350	190	670	220	580	700	380	720	370	870	620	660
T293	340	630	770	250	530	240	630	230	800	560	610	640	410	740
T294	910	890	820	770	940	730	920	820	340	910	810	260	400	970
T295	650	270	910	250	910	240	250	650	730	500	500	680	310	940
T296	910	990	200	150	310	730	440	140	310	370	190	150	930	290
T297	130	130	240	230	240	950	240	980	880	950	150	890	870	390
T298	800	980	450	200	580	980	850	810	500	410	110	940	800	410
T299	750	890	730	720	570	970	750	470	940	570	270	740	360	620
T300	710	890	440	540	250	470	880	450	930	700	840	820	620	800
T301	860	750	300	750	970	620	680	980	800	760	520	860	570	550
T302	290	710	110	670	940	820	950	150	810	810	500	320	650	320
T303	540	310	630	260	150	980	860	470	480	910	370	840	590	370
T304	400	720	220	340	760	180	850	660	370	490	740	840	260	250
T305	480	720	510	600	640	840	810	960	410	690	400	300	860	610
T306	690	910	700	720	280	850	360	390	180	590	870	100	530	580
T307	390	690	560	220	630	550	850	440	470	480	800	150	440	210
T308	400	220	110	760	900	970	150	190	210	340	800	940	430	590
T309	790	770	170	810	280	200	470	820	440	510	730	710	420	800
T310	710	930	930	230	840	470	860	310	110	600	640	250	350	160
T311	750	200	910	760	980	140	210	430	640	270	250	210	360	280
T312	260	760	440	520	210	140	340	160	390	810	250	540	660	670
T313	810	120	440	330	170	850	620	890	650	980	950	710	690	670
T314	970	580	950	310	890	940	430	370	470	180	490	720	240	550
T315	260	680	310	420	910	760	140	810	900	920	610	980	330	110
T316	710	320	590	890	120	670	390	470	810	940	530	630	530	560
T317	110	130	800	940	940	680	750	260	330	690	270	970	370	870
T318	740	780	690	980	400	690	430	460	900	100	580	480	350	580
T319	730	270	700	390	980	920	870	410	240	930	700	180	560	600
T320	450	130	950	310	740	790	170	650	700	720	350	150	240	950
