	A1	A2	A3	A4	A5	A6	A7
T220	330	410	670	350	340	210	200
T221	900	470	340	850	980	730	680
T222	810	410	280	180	700	180	230
T223	950	330	760	120	280	170	390
T224	690	350	430	310	260	590	430
T225	520	610	720	590	890	440	490
T226	260	890	650	910	530	570	350
T227	990	710	960	240	170	270	620
T228	850	130	530	270	940	310	220
T229	690	800	110	580	640	660	230
T230	450	640	740	440	800	670	690
T231	230	700	690	960	590	180	510
T232	850	490	450	710	420	170	780
T233	200	320	150	970	140	760	630
T234	240	400	990	320	360	620	400
T235	480	470	560	300	980	690	300
T236	160	380	250	570	920	330	550
T237	470	130	190	220	680	200	200
T238	500	560	310	770	390	960	140
T239	570	980	660	140	940	500	370
T240	920	940	610	320	800	200	700
T241	300	270	750	890	880	140	280
T242	990	150	730	810	130	120	640
T243	230	550	910	580	920	750	590
T244	680	930	680	580	230	430	880
T245	260	840	170	120	420	770	980
T246	740	840	780	260	320	960	160
T247	120	570	160	980	660	560	300
T248	450	120	190	790	960	920	730
T249	510	570	610	220	240	720	570
T250	830	710	930	230	180	790	490
T251	750	530	800	250	550	840	770
T252	160	910	770	300	270	930	200
T253	530	660	790	120	850	290	540
T254	380	270	240	360	370	630	230
T255	320	610	890	230	120	490	450
T256	680	220	190	120	690	720	300
T257	950	690	510	670	150	360	930
T258	300	520	850	400	550	980	420
T259	240	290	120	290	710	310	990
T260	930	300	190	570	830	200	250
T261	520	130	640	580	450	830	230
T262	130	750	840	460	850	480	850
T263	230	460	130	420	680	430	250
T264	850	920	460	360	590	290	750
T265	800	520	840	820	930	600	690
T266	910	260	620	130	100	880	380
T267	410	350	240	990	800	510	310
T268	290	170	700	310	850	510	160
T269	890	260	120	390	950	100	610
T270	830	420	650	110	120	980	200
T271	880	280	210	250	940	780	600
T272	660	490	700	200	730	620	370
T273	430	140	190	240	270	590	270
T274	710	220	700	130	100	630	220
T275	760	390	750	450	830	330	750
T276	270	510	450	340	200	380	980
T277	320	510	220	680	560	400	170
T278	900	340	220	530	630	130	960
T279	770	400	920	910	630	320	260
T280	150	720	880	520	620	830	100
T281	580	980	370	120	540	690	750
T282	190	540	950	110	140	600	140
T283	720	110	390	700	630	980	300
T284	620	800	900	260	480	780	910
T285	770	520	270	140	970	400	120
T286	430	690	140	790	540	600	100
T287	120	780	480	890	610	780	570
T288	140	790	640	570	380	100	370
T289	180	290	300	830	710	600	620
T290	530	790	580	690	530	820	420
T291	890	680	500	550	860	310	920
T292	370	340	800	100	720	450	940
T293	980	450	720	380	780	490	450
T294	920	630	700	190	720	400	220
T295	630	550	280	900	120	920	910
T296	440	790	820	220	410	530	320
T297	460	390	740	410	820	990	840
T298	900	940	690	100	140	100	750
T299	650	800	730	210	330	170	900
T300	550	820	330	600	590	750	750
T301	310	190	520	810	990	520	580
T302	650	110	140	810	540	370	450
T303	680	130	860	360	540	340	450
T304	280	390	500	760	150	390	880
T305	220	290	580	110	650	290	580
T306	490	840	750	260	350	730	380
T307	660	250	960	620	100	240	510
T308	900	330	580	940	420	730	550
T309	870	410	630	620	580	800	700
T310	580	130	910	240	770	290	160
T311	210	740	210	690	180	600	250
T312	850	170	550	980	280	200	460
T313	260	760	750	300	810	330	980
T314	310	380	780	930	540	480	230
T315	400	830	540	670	710	250	840
T316	780	330	930	820	770	150	110
T317	970	780	850	250	840	930	710
T318	470	390	700	860	210	410	220
T319	130	490	920	520	830	140	410
T320	410	720	970	790	280	680	770
T321	290	690	950	240	450	870	910
T322	630	280	360	950	170	990	870
T323	310	590	760	190	360	190	310
T324	910	880	380	180	320	850	320
T325	480	880	580	910	830	720	440
T326	600	970	110	500	810	660	120
T327	770	240	970	980	350	130	720
T328	940	760	160	450	480	360	180
T329	960	310	180	750	920	700	830
T330	280	890	160	860	380	690	610
T331	770	840	120	580	230	890	570
T332	760	930	310	220	870	300	410
T333	530	630	930	450	860	420	170
T334	660	370	440	110	480	190	260
T335	490	780	390	400	390	410	240
T336	720	410	520	720	830	390	900
T337	970	650	880	180	970	940	810
T338	900	910	450	120	800	820	510
T339	620	300	430	340	990	900	450
T340	250	980	380	510	150	680	390
T341	410	890	820	610	150	930	820
T342	320	350	480	410	560	400	700
T343	910	500	970	810	320	500	950
T344	940	770	870	340	960	350	200
T345	670	570	710	360	420	370	890
T346	820	640	110	910	120	940	890
T347	430	460	640	140	690	580	510
T348	690	740	390	570	920	400	200
T349	540	580	890	440	760	840	950
T350	600	500	850	260	740	790	790
T351	630	980	800	880	550	640	530
T352	320	600	760	490	170	200	480
T353	180	340	850	980	660	990	150
T354	990	220	380	790	270	110	250
T355	150	440	570	410	900	750	330
T356	180	520	730	780	680	880	830
T357	560	800	290	500	400	470	240
T358	210	110	460	320	160	930	580
T359	220	190	120	590	790	280	560
T360	430	690	230	330	490	570	810
T361	720	160	120	800	230	400	990
T362	140	180	820	130	230	640	530
T363	590	260	290	930	100	670	980
T364	710	720	300	950	720	400	200
T365	200	560	540	870	830	970	290
T366	310	370	620	380	610	350	970
T367	390	190	250	810	490	740	260
T368	190	240	960	550	240	450	940
T369	960	510	310	300	410	220	610
T370	310	230	750	170	920	550	740
T371	770	930	650	420	660	220	400
T372	460	720	740	500	280	180	410
T373	570	780	650	810	270	150	370
T374	230	520	340	560	510	780	520
T375	560	860	230	900	960	810	790
T376	180	590	170	170	740	650	580
T377	920	960	610	480	180	910	940
T378	180	470	790	120	850	900	730
T379	210	260	110	710	710	850	670
T380	780	510	860	840	830	160	250
T381	480	510	960	520	290	600	970
T382	120	110	190	790	390	180	920
T383	130	120	210	160	370	120	700
T384	310	160	340	840	600	430	380
T385	120	380	310	750	800	850	750
T386	480	310	900	990	450	880	810
T387	630	820	100	220	450	340	440
T388	650	760	610	920	870	480	330
T389	110	690	300	270	550	120	290
T390	210	690	840	250	870	550	130
T391	980	620	400	640	490	150	370
T392	280	380	190	100	410	770	370
T393	570	420	770	790	970	320	740
T394	120	630	910	160	350	100	630
T395	460	160	230	390	550	780	950
T396	830	450	580	950	280	360	650
T397	980	370	890	930	610	300	700
T398	220	330	380	300	650	810	540
T399	480	490	950	110	830	360	510
T400	740	390	810	470	980	250	860
T401	680	610	110	530	990	160	330
T402	310	920	110	270	440	140	750
T403	950	610	420	420	530	210	790
T404	220	440	510	500	790	930	790
T405	280	160	540	190	220	900	810
T406	760	180	880	280	310	780	720
T407	250	150	730	700	210	480	270
T408	120	640	560	270	550	790	480
T409	370	330	120	850	980	400	460
T410	770	180	950	510	910	380	270
T411	180	230	830	580	160	520	260
T412	720	180	940	690	380	530	250
T413	170	210	340	570	250	270	110
T414	400	820	400	770	690	480	120
T415	490	330	220	630	600	970	240
T416	790	710	850	280	320	360	110
T417	630	660	520	930	880	460	160
T418	250	580	200	490	570	780	240
T419	730	210	320	800	840	430	890
T420	740	370	210	140	580	190	630
T421	490	790	850	540	200	250	820
T422	810	740	890	990	830	210	410
T423	340	280	210	670	880	300	530
T424	100	390	340	620	610	180	110
T425	890	190	770	710	510	650	890
T426	770	260	100	530	330	550	690
T427	150	210	540	950	410	540	370
T428	110	280	410	150	950	230	620
T429	390	250	740	590	270	860	420
T430	500	200	990	950	310	580	370
T431	860	800	660	900	830	420	190
T432	630	840	470	180	480	360	250
T433	120	770	750	710	770	610	790
T434	120	160	560	360	260	150	630
T435	570	880	810	790	950	720	600
T436	310	630	480	860	430	180	600
T437	520	560	600	250	140	340	570
T438	500	350	280	370	990	760	420
T439	310	760	890	100	350	730	290
T440	380	800	720	900	400	650	950
T441	730	440	430	300	320	170	800
T442	590	250	540	920	830	160	390
T443	620	240	860	500	280	980	790
T444	730	420	470	990	380	940	220
T445	330	720	170	820	730	110	460
T446	100	600	610	260	770	850	380
T447	680	170	780	560	170	470	430
T448	910	800	880	460	660	770	760
T449	920	570	570	760	270	970	220
T450	220	940	170	620	990	640	670
T451	770	580	260	390	380	640	300
T452	550	790	590	360	430	120	230
T453	810	260	110	680	700	670	630
T454	780	900	850	300	950	480	130
T455	620	190	640	430	140	180	620
T456	540	110	960	460	970	890	680
T457	700	260	420	110	940	920	850
T458	980	850	800	600	680	260	330
T459	150	470	550	470	650	680	860
T460	320	890	900	870	960	300	580
T461	560	720	780	460	580	630	420
T462	880	670	810	350	460	620	410
T463	890	690	620	830	130	640	170
T464	710	730	100	330	180	200	520
T465	190	700	660	980	780	330	680
T466	400	350	580	480	650	160	670
T467	690	530	290	470	380	760	320
T468	560	890	570	820	430	990	960
T469	340	130	550	560	150	630	170
T470	430	740	280	660	890	280	950
T471	550	620	330	380	330	230	580
T472	200	760	160	590	280	460	450
T473	480	520	720	530	440	650	620
T474	930	280	700	780	190	260	830
T475	710	810	690	600	440	280	390
T476	240	260	610	740	830	540	370
T477	780	290	590	150	150	480	140
T478	170	430	490	930	300	680	270
T479	300	240	550	840	740	440	980
T480	380	870	970	950	260	180	170
T481	940	100	520	830	560	100	170
T482	850	480	420	110	160	970	810
T483	840	710	530	260	480	830	420
T484	960	130	210	490	310	640	190
T485	260	720	440	210	270	740	820
T486	910	520	870	840	770	700	860
T487	800	140	760	540	480	390	630
T488	160	320	190	480	310	310	100
T489	450	710	250	630	900	200	700
T490	820	160	750	100	550	790	110
T491	700	300	400	320	750	900	200
T492	120	740	810	140	530	660	750
T493	250	710	310	300	830	240	830
T494	180	190	780	250	820	990	390
T495	540	430	200	410	780	920	640
T496	530	570	150	360	500	550	210
T497	650	280	270	380	370	160	840
T498	490	110	330	160	200	340	200
T499	970	790	150	860	460	410	130
T500	570	830	100	530	700	220	660
T501	190	580	790	310	600	840	180
T502	480	800	430	130	460	640	870
T503	440	190	970	280	270	350	960
T504	850	530	670	910	310	400	980
T505	730	950	800	310	950	540	450
T506	270	600	380	660	630	690	810
T507	990	930	770	290	510	100	710
T508	620	620	430	350	630	720	420
T509	600	310	780	540	500	120	350
T510	110	440	420	470	130	790	750
T511	440	400	270	780	620	400	450
T512	980	960	640	750	650	380	170
