	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	A13	A14
T90	980	910	750	890	590	310	750	880	700	900	640	940	290	890
T91	960	160	590	570	340	660	210	770	480	620	780	660	960	400
T92	980	360	840	160	160	530	310	280	960	160	150	160	140	710
T93	470	230	740	130	360	610	710	370	250	830	890	900	590	600
T94	280	410	840	770	620	910	830	900	900	730	380	200	170	230
T95	350	970	100	170	670	730	950	370	280	670	400	190	600	130
T96	110	160	780	960	840	640	870	310	220	760	310	560	250	710
T97	390	270	640	920	400	880	650	740	630	710	690	990	660	240
T98	590	120	970	290	360	620	760	950	480	730	910	920	240	720
T99	350	250	150	670	470	510	340	510	990	820	150	990	390	670
T100	510	790	300	710	980	370	130	190	660	280	530	500	410	800
T101	900	570	120	650	250	380	730	410	230	700	240	100	840	140
T102	650	510	550	960	130	520	920	110	520	380	550	440	830	660
T103	220	280	580	830	500	370	660	150	760	200	330	260	340	820
T104	790	260	970	630	210	960	470	380	960	570	760	780	560	350
T105	790	930	410	520	440	630	850	390	710	340	660	980	100	900
T106	740	210	750	250	330	820	420	540	370	640	200	540	370	610
T107	440	150	440	460	360	500	480	710	560	870	610	300	280	880
T108	170	290	420	310	250	690	940	430	920	670	600	800	190	640
T109	940	780	220	950	870	950	830	370	980	580	180	140	680	380
T110	790	940	170	340	320	360	110	830	660	580	980	490	640	320
T111	640	360	320	580	410	470	570	480	330	470	530	520	820	390
T112	270	170	930	370	880	790	680	980	930	370	840	470	410	140
T113	830	650	720	300	200	130	840	870	500	570	990	120	600	290
T114	740	270	720	380	880	130	900	940	780	250	570	860	480	390
T115	950	960	520	350	600	290	920	520	200	730	260	390	300	950
T116	740	260	320	370	270	420	360	260	270	690	950	310	410	450
T117	820	980	980	620	660	480	980	820	450	550	560	300	750	690
T118	680	640	220	250	230	950	120	230	980	230	980	510	140	220
T119	770	680	980	930	540	310	960	520	850	650	880	800	400	490
T120	480	880	870	830	640	290	570	650	910	180	960	160	720	870
T121	660	920	770	280	740	510	910	870	490	550	110	640	920	660
T122	270	840	700	750	640	110	390	750	830	980	690	710	810	420
T123	470	380	610	990	120	570	600	640	420	880	530	930	180	160
T124	780	160	330	360	220	710	740	390	580	180	540	280	790	430
T125	160	420	930	380	810	610	920	470	800	250	780	360	620	340
T126	460	350	980	520	700	640	910	300	210	410	500	440	340	920
T127	180	240	880	370	430	830	810	920	490	360	140	500	140	340
T128	270	150	170	280	440	300	580	880	680	850	830	380	550	530
T129	430	260	420	380	800	600	160	700	570	880	640	990	660	270
T130	620	460	340	130	790	120	260	420	370	620	950	340	590	990
T131	510	180	870	460	990	520	300	920	880	680	530	280	810	270
T132	810	250	470	150	470	190	140	190	620	390	100	590	540	500
T133	440	440	640	270	380	740	660	370	600	480	830	930	790	710
T134	890	680	290	560	590	660	420	250	410	520	710	110	660	780
T135	480	840	350	930	570	630	740	390	380	960	400	380	300	530
T136	430	490	390	220	700	130	270	800	720	930	830	460	130	390
T137	730	450	840	880	730	810	850	190	330	500	850	400	130	860
T138	220	470	600	910	640	730	570	890	900	270	710	530	640	510
T139	720	270	450	760	750	230	690	490	660	290	560	400	940	260
T140	310	690	780	170	210	920	900	380	890	970	600	340	300	550
T141	240	470	270	300	460	550	150	680	650	270	390	800	160	740
T142	160	640	240	830	300	210	240	410	840	130	570	580	940	960
T143	900	360	290	740	280	910	390	860	260	350	900	820	480	440
T144	380	280	290	460	360	620	620	950	200	310	870	650	580	870
T145	210	720	510	930	510	540	280	100	280	280	270	310	830	760
T146	470	940	990	260	960	240	810	460	450	790	630	480	640	280
T147	370	540	790	990	790	420	320	390	100	130	610	250	480	970
T148	510	520	770	450	480	210	590	270	360	420	380	510	450	920
T149	580	750	790	260	960	630	550	270	860	210	990	580	980	190
T150	710	120	910	580	700	750	780	810	210	260	500	550	790	700
T151	820	900	740	610	220	540	300	690	710	890	400	470	250	830
T152	800	940	540	520	900	740	170	600	650	310	680	600	370	110
T153	600	310	940	550	540	800	860	910	550	260	250	100	470	540
T154	180	940	490	460	520	620	310	740	230	410	390	850	250	790
T155	700	340	540	740	370	490	160	420	980	630	150	540	460	670
T156	130	410	940	460	840	630	940	790	120	630	270	490	110	610
T157	370	690	660	850	110	250	180	620	700	990	180	150	830	240
T158	560	860	460	560	810	360	510	510	880	870	760	390	590	890
T159	650	280	530	450	770	670	200	400	880	220	160	740	460	200
T160	290	500	970	650	530	560	390	290	170	950	390	110	270	880
T161	430	670	470	370	900	100	760	190	930	960	150	470	340	850
T162	360	650	690	490	770	800	120	220	890	310	470	650	730	570
T163	850	230	280	910	800	450	870	110	960	700	980	210	470	310
T164	750	850	270	810	680	710	680	280	480	730	460	380	990	690
T165	120	980	750	730	710	940	840	420	590	400	360	760	850	260
T166	910	790	750	720	710	990	580	290	350	470	640	180	170	250
T167	940	860	400	800	110	330	170	850	140	500	130	560	870	460
T168	900	340	690	260	390	570	900	680	930	110	340	630	290	920
T169	390	930	640	280	840	400	200	240	350	210	970	660	640	860
T170	720	970	970	800	940	370	770	300	660	550	850	790	270	500
T171	370	930	530	930	500	770	100	980	830	620	550	890	790	240
T172	800	180	380	230	860	480	850	400	910	500	890	460	740	860
T173	950	490	660	420	350	840	340	810	130	850	320	250	630	610
T174	910	770	800	950	150	840	970	320	180	160	490	390	500	990
T175	930	680	910	290	490	130	460	940	690	940	690	680	960	250
T176	620	600	420	420	680	240	520	490	170	500	830	120	920	720
T177	170	630	840	840	910	580	580	250	720	450	230	340	310	780
T178	400	130	620	700	290	630	940	260	600	340	360	590	950	120
T179	440	640	560	400	380	790	200	740	410	970	610	830	310	720
T180	510	310	470	230	320	180	680	510	330	640	390	550	450	390
T181	430	820	400	270	610	260	680	800	800	240	600	150	420	670
T182	750	370	820	570	950	870	490	390	820	670	950	460	390	260
T183	130	560	370	950	820	780	570	260	320	530	200	360	100	730
T184	660	530	710	980	780	130	310	850	880	760	640	760	370	850
T185	420	310	720	240	170	290	810	970	570	490	390	690	410	560
T186	770	580	920	340	990	130	740	790	100	760	180	660	890	500
T187	810	720	110	950	400	680	820	720	320	530	670	370	830	620
T188	940	820	720	160	580	600	270	820	960	310	680	540	870	300
T189	960	300	340	100	780	600	230	980	900	800	190	520	540	760
T190	840	700	560	450	570	180	450	980	760	780	410	400	810	530
T191	570	930	190	220	700	310	160	780	200	730	410	120	340	940
T192	240	980	120	550	590	950	670	910	410	750	870	190	560	940
