	A1	A2	A3	A4	A5
T290	120	370	820	810	160
T291	990	720	900	420	680
T292	180	670	550	500	860
T293	700	770	680	590	900
T294	650	970	710	100	620
T295	970	900	150	110	660
T296	910	390	240	190	500
T297	830	460	850	870	510
T298	430	390	580	170	590
T299	420	380	790	140	980
T300	940	800	490	670	450
T301	340	170	500	690	910
T302	380	180	290	240	390
T303	380	450	520	770	170
T304	850	750	640	810	130
T305	830	460	670	290	370
T306	990	550	340	680	850
T307	960	520	610	450	940
T308	250	430	870	330	380
T309	220	970	580	810	640
T310	490	250	180	410	730
T311	300	120	690	900	980
T312	720	690	930	520	280
T313	710	550	320	840	230
T314	650	590	140	650	530
T315	450	110	470	960	740
T316	510	660	730	950	160
T317	890	530	360	740	710
T318	250	310	330	810	650
T319	970	370	330	380	110
T320	140	990	910	300	940
T321	430	840	850	770	300
T322	280	940	130	340	500
T323	940	660	940	520	980
T324	760	140	590	360	640
T325	960	130	260	180	420
T326	250	630	830	660	930
T327	940	630	540	400	400
T328	960	220	550	300	850
T329	570	380	310	430	820
T330	720	590	280	370	390
T331	900	250	870	590	410
T332	540	230	450	880	100
T333	160	640	650	430	660
T334	870	840	490	610	840
T335	630	550	880	910	950
T336	510	750	480	370	130
T337	710	880	440	870	510
T338	270	760	670	600	240
T339	450	860	830	800	490
T340	190	730	700	180	810
T341	570	410	930	320	390
T342	870	980	520	800	910
T343	650	440	590	500	130
T344	220	170	240	470	790
T345	250	180	770	400	600
T346	410	310	330	700	290
T347	260	370	280	340	820
T348	670	310	390	780	320
T349	780	770	380	850	200
T350	150	480	610	510	570
T351	190	530	740	490	580
T352	830	450	720	180	940
T353	320	800	310	380	440
T354	640	660	250	330	960
T355	640	980	360	870	530
T356	960	860	680	210	700
T357	520	930	810	490	410
T358	720	780	510	520	200
T359	880	670	470	600	850
T360	980	170	570	310	700
T361	560	160	270	580	930
T362	920	130	410	200	280
T363	900	870	150	330	580
T364	990	980	130	170	700
T365	850	720	700	460	100
T366	620	930	340	230	110
T367	120	140	740	720	570
T368	130	620	200	690	670
T369	710	270	490	580	200
T370	730	190	780	420	620
T371	770	360	920	650	810
T372	810	950	300	730	680
T373	970	930	590	660	790
T374	110	120	480	590	820
T375	810	970	460	680	620
T376	700	950	710	810	140
T377	990	350	430	720	540
T378	720	680	520	850	780
T379	110	900	510	780	490
T380	120	290	250	880	400
T381	740	680	490	230	360
T382	980	460	530	820	420
T383	900	620	710	900	630
T384	760	380	260	990	380
T385	770	380	470	340	860
T386	500	360	900	520	750
T387	190	410	130	820	360
T388	800	100	730	210	700
T389	770	950	930	980	480
T390	970	970	170	930	130
T391	170	420	940	400	740
T392	520	200	980	370	990
T393	120	640	970	600	490
T394	260	430	130	190	160
T395	210	300	300	110	240
T396	620	460	560	290	880
T397	130	600	910	850	540
T398	640	470	220	900	930
T399	180	100	290	670	980
T400	310	700	940	830	370
T401	400	270	300	710	850
T402	480	470	790	580	740
T403	640	380	620	960	100
T404	700	430	510	680	570
T405	640	290	310	800	330
T406	910	810	320	120	220
T407	860	430	950	300	350
T408	290	310	190	400	450
T409	300	100	930	410	300
T410	950	460	180	920	240
T411	970	700	890	580	480
T412	700	220	260	690	350
T413	410	750	610	740	470
T414	130	130	450	100	860
T415	640	370	960	270	510
T416	640	790	690	330	360
T417	780	710	170	790	320
T418	790	980	940	420	940
T419	430	130	410	370	810
T420	890	940	230	640	130
T421	610	340	620	280	620
T422	660	450	820	150	490
T423	770	560	540	590	920
T424	250	480	320	550	460
T425	390	570	990	780	360
T426	560	230	270	560	160
T427	490	710	140	210	850
T428	630	820	600	610	860
T429	570	650	430	910	740
T430	900	720	430	270	550
T431	240	260	420	850	920
T432	810	490	580	290	420
T433	740	150	750	270	590
T434	640	470	510	800	600
T435	410	800	720	140	840
T436	530	350	360	950	700
T437	160	160	220	130	920
T438	560	830	870	600	900
T439	430	380	330	800	800
T440	420	170	560	370	800
T441	980	280	170	470	780
T442	290	520	720	120	800
T443	860	860	710	360	310
T444	890	330	150	810	560
T445	770	890	620	320	820
T446	760	960	110	650	280
T447	360	390	970	200	610
T448	970	510	330	380	280
T449	340	470	460	760	710
T450	300	460	360	970	500
T451	470	920	830	770	300
T452	540	410	370	720	420
T453	270	170	840	530	100
T454	200	590	740	920	160
T455	710	470	750	570	820
T456	210	150	770	270	390
T457	510	440	830	310	180
T458	260	850	190	280	920
T459	980	350	310	950	410
T460	460	270	390	480	820
T461	710	160	230	870	630
T462	390	110	960	910	410
T463	800	770	820	670	100
T464	130	560	370	780	390
T465	610	850	740	460	410
T466	880	290	630	420	560
T467	880	970	150	760	110
T468	790	440	110	520	970
T469	350	180	430	460	240
T470	610	750	450	380	630
T471	130	700	580	410	900
T472	670	130	160	930	670
T473	420	510	880	880	230
T474	920	100	880	900	130
T475	330	570	630	830	190
T476	760	900	660	840	910
T477	900	120	720	340	460
T478	990	970	890	400	660
T479	660	720	960	860	480
T480	620	740	430	140	880
T481	890	460	730	530	140
T482	160	480	960	550	180
T483	830	660	900	290	290
T484	640	290	870	290	400
T485	650	290	650	910	500
T486	880	460	380	520	300
T487	880	650	410	570	230
T488	330	160	260	220	900
T489	930	290	560	810	110
T490	880	760	310	700	150
T491	390	140	680	970	180
T492	800	780	950	950	180
T493	700	460	670	350	200
T494	770	800	470	720	990
T495	980	260	520	430	200
T496	190	520	560	510	310
T497	600	460	170	860	450
T498	220	260	890	400	950
T499	840	300	160	520	440
T500	980	180	300	150	880
T501	840	510	750	440	370
T502	130	340	840	380	440
T503	670	830	630	200	470
T504	310	760	170	220	630
T505	790	280	180	910	490
T506	690	870	300	750	850
T507	570	450	220	860	300
T508	120	160	860	530	210
T509	130	680	810	530	510
T510	680	650	140	350	260
T511	140	380	830	980	580
T512	100	890	140	890	860
