	A1	A2	A3	A4	A5	A6	A7	A8	A9
T358	310	400	830	830	550	560	790	470	960
T359	470	170	860	540	570	970	260	250	530
T360	570	650	100	710	500	490	160	450	830
T361	940	740	810	330	210	920	780	970	220
T362	750	460	260	850	180	800	480	270	730
T363	660	750	250	780	210	860	980	210	240
T364	890	690	870	200	710	480	230	630	530
T365	120	480	300	450	610	460	490	160	480
T366	710	980	890	500	850	630	750	160	750
T367	800	990	460	940	860	940	660	230	530
T368	960	730	330	600	870	910	950	480	310
T369	740	400	350	740	170	210	100	840	650
T370	670	370	930	470	540	800	510	910	920
T371	530	900	100	780	660	570	560	880	340
T372	230	520	980	690	310	670	470	470	510
T373	640	110	120	150	600	440	220	960	450
T374	280	450	190	320	720	360	800	690	120
T375	590	400	110	540	900	670	360	660	760
T376	790	240	610	220	820	790	990	240	270
T377	600	330	990	110	670	520	710	470	770
T378	290	430	260	420	750	410	730	310	920
T379	920	220	390	640	550	800	460	290	200
T380	550	240	890	890	510	980	300	680	450
T381	960	190	280	680	380	850	110	990	730
T382	550	690	580	650	110	840	520	110	810
T383	730	590	450	660	390	780	530	850	620
T384	260	250	250	280	230	370	220	370	840
T385	120	540	820	160	650	250	110	410	900
T386	960	470	800	640	980	200	520	670	750
T387	760	500	930	650	900	370	180	930	790
T388	470	930	500	860	510	890	670	200	180
T389	480	420	450	570	340	950	160	140	740
T390	200	340	360	160	180	600	370	640	280
T391	270	660	520	670	320	740	180	680	630
T392	900	630	530	130	820	860	450	260	110
T393	880	940	170	110	570	350	970	630	640
T394	840	700	930	980	480	400	500	160	790
T395	200	240	180	860	130	120	200	300	590
T396	290	580	180	410	870	320	210	540	280
T397	310	720	930	230	500	160	180	120	600
T398	790	220	770	150	410	100	420	250	660
T399	420	750	810	370	420	260	680	520	140
T400	460	690	870	610	830	510	300	690	770
T401	460	120	100	330	590	290	960	500	670
T402	390	160	880	250	640	620	880	680	420
T403	450	640	520	700	810	670	560	890	610
T404	170	220	220	210	580	150	460	390	750
T405	540	310	360	800	240	780	560	980	850
T406	260	420	220	670	650	420	220	790	100
T407	360	750	760	200	220	600	450	630	900
T408	710	870	790	860	300	520	420	490	700
T409	640	700	900	950	910	660	410	970	250
T410	420	800	200	840	930	680	430	260	890
T411	910	270	590	150	330	230	150	360	990
T412	700	690	200	570	560	210	920	920	110
T413	490	740	560	310	320	910	870	290	100
T414	230	690	650	320	690	840	840	640	110
T415	340	260	940	170	480	870	350	820	390
T416	760	200	700	730	410	950	280	740	620
T417	610	280	270	840	290	720	520	650	250
T418	860	250	910	650	910	800	740	760	950
T419	880	230	720	370	120	380	740	540	600
T420	140	490	100	450	390	750	700	990	520
T421	450	140	960	500	480	360	630	450	930
T422	350	740	190	130	490	700	710	610	330
T423	200	970	240	800	220	880	920	100	210
T424	320	270	580	680	420	160	500	230	470
T425	490	360	490	490	640	200	380	400	250
T426	760	820	780	440	110	770	150	790	460
T427	590	170	310	230	650	770	320	710	370
T428	540	560	210	510	150	660	370	380	290
T429	900	950	660	370	100	700	300	720	380
T430	360	100	960	520	980	970	530	880	470
T431	550	520	400	490	780	170	970	450	520
T432	440	280	860	910	400	460	480	260	820
T433	950	980	370	830	780	640	490	850	260
T434	140	190	820	620	770	470	500	240	320
T435	820	800	200	450	760	400	840	220	920
T436	500	720	320	660	920	270	790	660	940
T437	700	860	520	890	750	290	870	930	550
T438	990	290	700	590	330	560	870	880	330
T439	860	430	490	530	340	210	300	430	240
T440	640	530	360	400	960	300	240	670	130
T441	600	860	960	770	800	190	130	220	280
T442	310	620	200	790	360	430	460	490	630
T443	230	630	380	130	960	390	770	290	100
T444	140	400	810	610	970	300	840	110	150
T445	410	240	990	980	550	840	920	830	900
T446	440	980	790	380	550	740	400	750	420
T447	450	440	180	830	920	770	360	150	510
T448	420	960	450	640	340	240	550	620	570
T449	430	960	300	920	130	420	620	980	210
T450	130	280	150	310	420	610	560	710	360
T451	840	320	740	370	280	750	410	860	600
T452	890	150	830	460	770	180	210	880	330
T453	750	540	310	430	490	200	210	800	910
T454	430	380	980	450	960	530	760	600	880
T455	690	840	100	870	290	100	240	580	710
T456	450	180	580	170	510	810	100	110	500
T457	630	530	300	230	190	430	980	310	260
T458	560	820	200	130	270	800	530	170	210
T459	870	820	500	340	340	930	320	370	370
T460	170	590	980	110	110	560	760	160	410
T461	780	640	730	820	150	740	240	610	130
T462	870	830	230	250	420	860	580	530	230
T463	120	660	460	480	970	430	220	150	450
T464	500	850	130	350	320	770	420	350	460
T465	800	400	150	850	620	740	440	590	230
T466	930	790	750	460	520	230	820	750	470
T467	580	200	580	200	850	350	640	770	710
T468	850	680	550	360	380	660	710	500	140
T469	440	880	100	950	780	340	690	150	320
T470	680	960	170	720	800	300	990	460	180
T471	120	750	420	620	550	330	370	130	260
T472	170	830	330	190	470	680	250	490	280
T473	230	330	380	850	430	180	900	490	880
T474	410	110	440	940	660	310	730	520	810
T475	980	750	550	360	870	660	400	480	150
T476	320	770	530	700	580	380	520	470	550
T477	690	290	540	350	480	580	770	140	170
T478	120	320	830	720	580	270	290	100	380
T479	810	700	470	360	540	670	230	760	790
T480	130	110	410	630	100	220	960	150	410
T481	410	390	720	680	180	490	740	730	830
T482	340	890	910	550	510	590	870	980	530
T483	620	440	510	760	580	150	150	510	990
T484	860	360	260	820	370	360	930	880	120
T485	340	980	250	470	730	610	260	380	810
T486	880	390	280	580	680	100	110	320	820
T487	770	950	370	660	640	940	870	460	880
T488	970	580	360	990	570	340	910	690	710
T489	550	240	870	680	300	950	650	130	630
T490	620	640	900	550	100	900	910	760	470
T491	530	260	850	200	220	180	110	370	490
T492	160	120	500	160	980	510	370	310	670
T493	900	710	190	620	880	810	940	780	950
T494	360	930	970	710	140	250	950	100	150
T495	830	320	800	420	910	120	570	670	640
T496	660	750	750	720	160	120	460	720	100
T497	610	940	780	860	230	600	140	310	390
T498	230	320	350	120	260	600	320	560	140
T499	200	850	210	950	580	660	900	880	390
T500	680	440	360	470	620	210	900	880	380
T501	580	530	340	750	430	140	570	430	520
T502	480	580	820	990	740	930	420	100	960
T503	210	190	190	880	160	630	800	190	320
T504	140	860	570	320	830	390	610	860	190
T505	170	610	710	720	650	690	560	530	530
T506	620	610	790	520	520	150	930	770	980
T507	920	730	320	180	370	320	970	760	960
T508	800	310	600	320	420	830	690	340	210
T509	430	760	750	880	880	750	740	720	950
T510	680	700	940	140	530	460	820	470	600
T511	990	450	620	370	780	670	780	450	960
T512	980	170	870	160	900	960	880	470	370
