	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	A13	A14
T145	250	740	960	300	980	930	470	420	280	610	300	890	350	100
T146	480	340	240	810	430	730	330	530	260	790	330	450	990	210
T147	200	460	670	590	920	120	980	760	730	630	210	810	200	140
T148	480	330	120	900	950	690	280	560	740	770	380	410	600	920
T149	610	240	590	920	410	810	580	450	260	410	400	700	170	210
T150	790	180	420	780	590	780	800	620	690	630	680	580	140	450
T151	310	340	520	430	570	650	300	600	130	900	550	300	790	530
T152	670	550	650	260	560	790	320	560	680	210	210	630	510	370
T153	830	150	180	360	810	910	430	860	880	390	950	220	440	330
T154	550	290	980	400	430	370	700	610	980	580	390	550	760	620
T155	260	860	200	730	470	560	210	160	120	610	200	390	110	230
T156	500	670	630	290	380	810	420	800	740	630	720	990	420	240
T157	970	840	810	970	260	210	320	610	680	950	700	750	250	410
T158	710	220	450	380	600	480	900	560	820	100	190	450	950	470
T159	920	500	580	590	390	380	200	240	780	220	710	680	770	830
T160	420	790	590	290	310	790	820	840	290	230	450	610	300	680
T161	270	100	690	600	200	680	290	820	830	320	100	110	920	220
T162	170	720	590	960	310	690	330	270	490	590	310	220	340	720
T163	490	430	990	720	600	390	900	720	530	340	760	350	310	840
T164	200	440	750	600	430	990	160	590	310	920	530	770	220	640
T165	240	190	660	560	610	440	360	920	370	680	870	320	710	520
T166	600	350	140	480	560	920	830	990	490	630	970	810	280	270
T167	450	360	420	800	760	240	330	620	730	420	320	600	460	720
T168	600	110	610	320	940	840	580	660	570	170	750	890	580	140
T169	150	380	540	200	240	440	170	580	140	240	970	230	400	810
T170	120	460	300	450	490	450	990	490	490	950	430	240	430	650
T171	330	220	640	580	810	480	300	180	270	810	570	940	170	290
T172	290	840	520	170	930	240	440	260	890	450	590	810	120	150
T173	470	800	810	690	840	520	360	710	280	120	710	540	610	920
T174	370	680	600	880	150	440	320	290	580	490	400	490	900	830
T175	260	650	480	920	940	230	170	550	610	700	620	130	360	340
T176	580	820	580	880	650	860	930	220	420	880	800	700	360	260
T177	500	130	100	930	950	900	300	640	270	400	150	990	370	130
T178	740	700	250	670	680	540	760	770	320	200	190	970	970	500
T179	730	710	400	320	540	460	410	390	130	240	740	840	180	950
T180	290	620	410	110	190	410	660	710	470	810	180	610	470	620
T181	430	720	270	810	360	330	600	960	430	780	650	190	780	720
T182	950	780	590	630	220	860	130	270	400	330	580	920	140	680
T183	720	200	480	290	830	670	700	110	570	870	890	200	490	750
T184	470	220	610	360	860	910	830	460	950	640	850	970	720	270
T185	970	470	330	680	860	940	830	570	550	960	630	830	140	930
T186	570	300	530	740	770	560	250	670	140	980	630	980	690	770
T187	780	950	520	260	960	960	240	300	490	760	540	580	470	320
T188	700	840	470	970	520	860	190	220	790	960	450	850	420	780
T189	730	190	180	230	600	710	780	310	210	860	830	700	790	890
T190	340	770	220	760	850	770	130	520	310	190	620	660	630	340
T191	290	460	780	850	700	610	220	450	110	390	980	250	330	590
T192	200	770	990	580	500	950	480	710	800	880	970	470	300	670
T193	780	900	770	960	410	510	180	700	730	350	270	770	830	140
T194	430	100	620	370	310	570	340	710	230	500	740	140	100	890
T195	250	320	880	670	700	150	310	210	210	890	920	640	620	790
T196	390	780	240	210	670	720	130	820	380	670	800	860	800	980
T197	680	220	580	510	480	890	540	510	410	140	510	150	550	100
T198	710	590	330	600	600	430	300	750	520	930	830	840	820	660
T199	200	150	460	840	430	200	310	990	350	870	130	380	490	470
T200	400	790	220	140	470	100	770	320	660	720	170	770	870	180
T201	230	470	880	470	430	670	720	160	230	580	150	890	820	630
T202	410	250	990	910	700	680	440	290	510	880	690	250	710	540
T203	450	790	230	210	750	600	430	920	160	990	950	130	800	800
T204	120	350	920	830	140	790	170	200	990	650	730	830	570	990
T205	970	960	770	980	890	450	510	640	120	500	320	520	700	670
T206	250	480	710	380	450	890	240	410	860	990	460	870	250	660
T207	240	610	340	400	940	320	940	200	630	240	780	250	710	170
T208	740	230	920	440	920	430	610	630	870	240	210	320	770	180
T209	900	380	200	210	960	480	300	840	510	250	460	650	940	140
T210	750	350	850	460	210	250	870	910	910	170	630	620	400	670
T211	400	320	990	580	360	190	210	320	650	520	120	650	450	860
T212	170	230	690	600	350	710	240	890	490	570	310	320	210	840
T213	930	120	250	420	250	480	370	640	720	720	810	330	490	400
T214	120	710	440	230	420	880	150	330	820	230	480	440	400	330
T215	130	920	210	890	230	670	640	690	600	840	860	910	340	130
T216	110	600	920	510	190	550	460	580	380	310	440	580	120	780
T217	410	830	250	420	120	240	280	340	880	350	560	400	410	850
T218	520	800	490	600	890	260	220	950	440	470	790	130	830	630
T219	890	240	800	590	850	310	420	680	470	940	380	110	290	690
T220	490	710	410	900	580	810	440	770	350	860	790	720	430	970
T221	650	520	840	150	950	150	580	470	420	520	110	800	610	700
T222	470	800	910	930	470	430	880	730	100	290	140	720	180	250
T223	650	300	830	280	610	300	100	100	690	100	590	940	750	690
T224	570	410	420	960	630	560	340	990	690	860	620	280	930	800
T225	160	850	440	320	690	780	570	200	860	940	400	690	790	800
T226	160	600	630	810	350	270	320	530	220	630	200	540	190	260
T227	170	450	800	260	300	710	960	800	110	180	660	680	350	350
T228	700	790	930	630	710	890	160	590	540	820	250	470	490	350
T229	890	340	920	450	940	800	780	250	510	500	840	150	950	820
T230	940	790	970	550	740	220	620	450	160	890	330	290	590	440
T231	950	870	620	210	700	310	620	910	190	470	190	150	290	990
T232	250	500	920	130	120	670	660	650	380	970	660	480	930	870
T233	830	550	850	280	570	260	820	630	440	450	510	370	760	500
T234	560	250	340	770	780	790	500	700	320	620	350	820	730	930
T235	350	210	240	940	930	140	430	790	520	300	180	210	580	980
T236	120	970	130	450	150	360	850	610	230	560	140	600	690	590
T237	100	180	550	900	140	210	620	870	430	980	750	670	990	240
T238	680	170	530	180	180	920	440	340	110	460	600	560	460	470
T239	800	270	700	480	850	960	140	790	220	500	320	510	320	910
T240	160	480	680	530	450	840	730	700	560	300	540	710	280	830
T241	720	760	110	590	280	630	820	870	360	960	650	640	600	610
T242	540	760	790	160	260	890	470	140	380	820	150	740	410	220
T243	170	670	240	400	290	470	240	790	400	820	590	940	550	470
T244	760	680	310	160	770	570	900	320	180	430	470	860	990	230
T245	370	360	370	840	780	310	600	900	610	910	400	590	730	710
T246	770	710	740	620	810	480	660	330	940	310	560	310	160	880
T247	500	240	980	170	180	510	310	420	480	360	600	680	310	840
T248	470	230	130	790	640	570	860	710	930	480	840	170	500	510
T249	400	440	340	170	870	550	350	620	470	480	150	690	320	820
T250	130	960	440	410	960	970	480	780	510	430	650	310	620	410
T251	980	150	650	220	940	280	120	650	270	560	820	970	220	520
T252	940	960	940	860	760	420	120	990	450	210	860	220	310	690
T253	700	550	230	320	640	200	210	530	900	960	840	510	300	620
T254	680	340	740	610	780	230	860	170	780	100	640	320	110	550
T255	670	510	430	560	110	650	260	660	630	510	670	790	810	890
T256	120	550	700	330	910	700	890	470	970	670	690	470	360	660
