	A1	A2	A3	A4	A5
T363	550	280	590	420	360
T364	100	500	230	950	650
T365	610	920	110	360	790
T366	190	410	380	140	540
T367	670	680	510	520	970
T368	520	740	170	760	300
T369	570	150	430	490	400
T370	790	380	150	960	270
T371	630	280	980	250	370
T372	990	700	380	760	490
T373	860	480	570	130	240
T374	750	520	890	190	990
T375	720	200	820	840	110
T376	150	460	540	420	670
T377	600	770	850	280	960
T378	350	160	340	950	120
T379	370	180	140	570	940
T380	810	510	270	610	990
T381	910	410	730	770	490
T382	620	920	790	760	610
T383	570	440	420	350	960
T384	830	930	700	730	370
T385	890	420	480	970	480
T386	280	910	440	490	130
T387	890	440	720	400	140
T388	820	940	390	590	400
T389	560	600	170	730	410
T390	240	820	810	530	280
T391	640	410	170	600	430
T392	630	590	170	830	240
T393	430	580	170	130	400
T394	970	830	510	780	940
T395	130	320	520	600	530
T396	170	420	270	190	800
T397	570	480	460	970	970
T398	210	510	150	860	170
T399	850	830	420	940	620
T400	340	300	220	460	590
T401	160	410	310	390	450
T402	760	560	160	110	470
T403	630	490	640	920	710
T404	640	240	730	120	480
T405	630	450	620	750	210
T406	590	540	330	360	820
T407	880	730	850	920	170
T408	280	840	610	580	320
T409	720	470	590	760	530
T410	490	940	610	960	260
T411	410	220	810	790	150
T412	220	330	820	920	280
T413	120	870	770	610	300
T414	400	430	430	350	140
T415	470	890	280	770	140
T416	590	980	830	930	320
T417	270	710	630	970	610
T418	790	600	160	720	500
T419	330	650	560	510	670
T420	500	820	970	760	850
T421	570	970	260	760	240
T422	300	530	410	890	480
T423	820	170	310	660	970
T424	220	900	680	980	760
T425	550	320	470	160	670
T426	930	860	400	410	960
T427	420	820	980	910	750
T428	690	250	510	910	720
T429	270	790	530	460	990
T430	520	890	110	120	350
T431	250	670	870	680	630
T432	650	400	910	650	360
T433	150	920	640	440	610
T434	550	320	880	340	470
T435	200	930	260	150	850
T436	240	500	890	290	860
T437	740	880	440	980	920
T438	820	300	720	320	400
T439	160	530	100	540	900
T440	550	160	220	450	650
T441	530	450	810	890	830
T442	980	150	220	740	460
T443	940	690	910	290	280
T444	960	490	960	120	570
T445	410	460	200	100	600
T446	630	560	150	720	140
T447	770	340	120	900	340
T448	660	970	430	260	330
T449	320	920	620	610	930
T450	550	140	570	750	680
T451	130	800	520	200	120
T452	210	490	630	300	230
T453	460	280	540	720	860
T454	260	640	160	490	730
T455	530	270	520	980	290
T456	310	160	850	190	750
T457	890	960	260	300	480
T458	840	690	130	950	870
T459	990	270	280	190	190
T460	340	890	970	190	390
T461	560	950	970	930	270
T462	210	930	720	960	150
T463	640	380	510	630	230
T464	320	200	790	430	270
T465	160	770	230	350	170
T466	150	540	600	130	960
T467	670	250	160	380	790
T468	560	660	130	620	630
T469	600	730	610	520	520
T470	180	200	820	870	860
T471	510	300	950	720	830
T472	120	520	970	760	630
T473	830	210	600	740	400
T474	920	740	620	750	380
T475	240	250	520	450	370
T476	670	200	450	130	320
T477	130	830	780	300	640
T478	400	800	270	940	310
T479	160	220	850	720	490
T480	240	630	290	450	610
T481	240	960	590	740	320
T482	360	900	620	350	260
T483	550	260	890	120	790
T484	580	160	480	760	470
T485	610	830	100	720	960
T486	320	170	710	390	670
T487	380	620	430	240	230
T488	200	120	360	850	670
T489	450	940	700	930	790
T490	200	590	250	770	410
T491	630	840	680	130	320
T492	270	600	720	170	140
T493	740	680	780	970	130
T494	870	670	790	960	550
T495	580	130	930	180	890
T496	810	980	640	280	520
T497	690	570	320	780	750
T498	530	670	230	920	550
T499	280	820	320	810	760
T500	320	410	740	650	320
T501	200	420	100	450	610
T502	480	320	530	730	400
T503	200	880	790	540	760
T504	830	760	260	230	580
T505	110	550	470	300	830
T506	550	700	940	330	650
T507	130	230	590	400	390
T508	170	550	390	620	290
T509	750	820	760	820	290
T510	580	500	100	210	880
T511	260	870	720	670	330
T512	590	410	110	480	920
