	A1	A2	A3	A4	A5	A6	A7
T236	880	470	250	810	380	820	870
T237	550	840	330	300	570	290	200
T238	690	260	230	330	690	330	950
T239	160	260	110	730	970	260	490
T240	340	720	150	420	540	510	890
T241	870	130	140	470	330	760	500
T242	130	670	570	690	950	510	570
T243	970	240	520	160	140	830	110
T244	110	630	620	120	750	550	350
T245	470	650	870	430	760	580	960
T246	210	550	900	370	680	350	730
T247	900	920	950	420	280	150	220
T248	320	580	140	490	280	440	650
T249	220	760	280	370	850	970	820
T250	820	440	440	120	150	310	230
T251	310	850	320	910	900	680	770
T252	400	990	250	510	980	150	130
T253	800	360	740	120	970	590	120
T254	130	810	700	380	230	880	470
T255	950	950	730	800	620	460	190
T256	980	520	200	290	480	300	970
T257	380	890	920	820	840	860	430
T258	890	730	300	540	550	120	380
T259	840	310	480	680	470	470	590
T260	800	470	750	480	540	210	260
T261	540	670	980	820	460	690	410
T262	650	650	630	320	190	490	410
T263	240	880	730	500	400	750	500
T264	110	130	930	230	760	180	170
T265	660	900	810	790	800	440	850
T266	330	390	860	310	910	330	750
T267	740	650	270	570	490	750	940
T268	130	820	640	530	760	630	830
T269	520	850	150	630	520	490	120
T270	490	320	800	950	440	900	260
T271	520	740	620	910	530	280	330
T272	300	190	610	790	550	210	650
T273	890	980	730	270	140	610	640
T274	530	800	540	430	280	820	870
T275	280	380	920	220	890	650	160
T276	100	210	440	790	910	580	900
T277	820	950	330	980	920	960	560
T278	360	520	190	870	260	270	840
T279	570	420	700	610	280	190	270
T280	840	890	360	650	590	510	130
T281	940	240	510	600	870	440	790
T282	750	540	580	500	950	950	740
T283	760	300	940	250	760	420	760
T284	200	180	900	810	900	270	510
T285	980	360	780	290	750	220	550
T286	870	270	240	510	260	990	850
T287	210	540	960	500	970	930	770
T288	870	970	770	630	190	960	110
T289	690	210	700	970	140	740	960
T290	490	210	500	920	180	450	200
T291	400	230	110	640	930	920	830
T292	190	410	290	910	940	350	870
T293	480	960	140	560	250	950	410
T294	610	760	580	730	350	190	340
T295	370	590	440	950	930	170	400
T296	130	840	260	700	630	500	470
T297	950	710	100	220	900	550	670
T298	620	700	270	430	140	770	310
T299	460	240	170	830	210	140	300
T300	210	400	370	340	710	100	580
T301	470	750	630	760	320	230	730
T302	940	970	570	840	380	120	130
T303	260	580	710	110	620	720	250
T304	490	320	270	600	860	170	950
T305	910	490	660	460	720	560	390
T306	250	500	710	270	430	780	480
T307	530	510	240	270	620	160	370
T308	160	130	470	890	230	140	650
T309	560	420	710	320	330	780	640
T310	110	330	310	400	540	400	320
T311	740	280	130	310	600	850	880
T312	710	970	800	320	190	750	220
T313	840	130	500	760	300	760	960
T314	390	960	640	270	930	750	980
T315	980	270	500	460	210	510	950
T316	650	940	990	190	660	410	130
T317	580	690	240	830	420	490	290
T318	970	120	970	210	450	650	760
T319	770	820	290	480	830	400	870
T320	110	230	780	620	450	840	250
T321	530	170	180	170	890	110	100
T322	600	490	640	240	820	140	350
T323	950	500	690	240	950	250	640
T324	810	920	420	430	630	580	210
T325	520	530	140	410	840	460	570
T326	100	820	610	690	480	430	800
T327	840	500	590	590	410	430	420
T328	950	530	490	450	220	220	340
T329	690	520	710	950	950	290	280
T330	220	150	920	530	870	940	130
T331	680	490	360	630	260	810	710
T332	920	400	610	210	770	240	410
T333	630	190	570	950	350	930	760
T334	760	890	920	910	410	500	540
T335	460	540	510	880	100	150	140
T336	690	550	340	220	270	400	580
T337	970	430	730	320	390	280	110
T338	740	410	930	820	440	650	840
T339	480	940	740	310	480	440	220
T340	510	190	560	980	620	120	810
T341	190	490	610	100	760	570	400
T342	880	590	680	610	270	800	170
T343	260	450	120	530	790	550	510
T344	590	620	950	250	850	800	550
T345	190	120	490	610	770	630	710
T346	700	510	100	630	600	260	790
T347	910	610	910	650	470	190	150
T348	290	820	570	780	930	510	620
T349	990	170	490	550	290	910	560
T350	600	590	210	860	140	440	700
T351	120	100	800	600	970	890	900
T352	840	930	490	700	310	580	120
T353	630	480	770	290	800	570	670
T354	340	910	170	250	570	300	690
T355	640	930	260	150	910	980	330
T356	560	920	670	290	470	780	340
T357	950	190	550	160	610	970	150
T358	290	370	500	430	780	580	530
T359	340	930	960	240	560	340	460
T360	100	320	760	270	160	160	320
T361	700	650	880	320	550	290	170
T362	670	620	500	700	740	990	280
T363	870	980	960	960	110	670	710
T364	610	240	460	630	720	140	270
T365	770	280	560	240	130	690	650
T366	330	910	280	350	940	990	200
T367	890	300	390	720	820	270	270
T368	890	630	900	610	550	190	160
T369	980	820	950	360	430	330	840
T370	220	830	100	980	160	240	370
T371	410	910	620	450	200	150	910
T372	940	530	460	330	320	890	740
T373	280	490	150	450	550	180	110
T374	750	870	670	940	320	440	620
T375	520	810	780	480	540	500	300
T376	740	580	290	180	270	840	180
T377	290	930	880	290	700	700	750
T378	960	280	430	870	140	500	990
T379	290	850	960	420	990	330	170
T380	860	610	920	690	330	520	760
T381	880	670	610	940	320	730	130
T382	480	320	840	360	560	470	780
T383	450	810	920	530	520	110	790
T384	380	160	330	700	160	350	870
T385	440	590	230	590	640	800	350
T386	260	430	180	300	650	750	670
T387	420	530	290	700	250	400	190
T388	850	100	770	620	530	930	790
T389	990	450	230	390	610	780	750
T390	100	820	360	490	660	440	440
T391	240	660	100	910	910	150	500
T392	860	380	370	830	580	790	200
T393	970	810	800	610	340	630	240
T394	820	330	400	190	900	520	290
T395	890	140	560	310	850	630	450
T396	260	350	940	820	100	230	770
T397	640	400	790	110	100	450	630
T398	430	380	990	380	250	550	240
T399	480	970	500	320	280	160	600
T400	310	830	180	500	710	330	790
T401	480	710	590	900	160	520	390
T402	880	780	300	570	790	410	830
T403	910	900	760	110	650	360	530
T404	180	160	910	550	680	700	220
T405	830	650	850	940	850	410	950
T406	270	950	660	250	300	680	960
T407	180	430	260	280	390	310	870
T408	700	120	530	480	940	870	280
T409	600	440	630	810	670	360	860
T410	890	570	140	260	330	960	390
T411	650	300	760	230	880	890	160
T412	870	280	400	690	130	860	210
T413	550	230	550	170	790	520	260
T414	730	220	340	510	770	920	270
T415	600	100	470	150	580	170	160
T416	290	100	850	940	930	740	170
T417	970	680	740	670	760	160	500
T418	780	230	560	700	560	520	180
T419	740	810	460	130	760	420	670
T420	460	930	800	980	370	940	940
T421	190	730	240	550	300	990	950
T422	150	960	600	370	320	290	780
T423	590	180	570	320	460	540	690
T424	840	470	950	610	470	150	370
T425	630	460	230	940	250	220	280
T426	230	960	500	620	430	380	760
T427	420	700	980	700	970	490	880
T428	120	280	340	350	820	920	170
T429	830	510	770	150	940	310	630
T430	550	470	160	100	880	900	270
T431	570	530	930	130	750	540	210
T432	850	570	630	510	230	440	860
T433	420	380	120	960	760	520	140
T434	720	620	570	160	320	370	330
T435	570	800	820	450	210	350	220
T436	380	150	380	250	220	100	670
T437	790	110	640	190	220	650	800
T438	730	310	570	470	710	880	890
T439	370	960	780	140	410	330	640
T440	550	200	680	590	420	390	310
T441	510	990	440	620	130	710	380
T442	770	110	220	320	250	270	600
T443	780	750	240	160	270	980	430
T444	340	910	640	170	290	230	120
T445	420	380	240	500	750	230	620
T446	310	240	710	370	250	320	500
T447	200	490	900	320	730	440	440
T448	800	440	400	110	320	320	650
T449	190	220	170	660	800	280	640
T450	170	390	980	210	820	510	460
T451	790	720	420	550	820	110	910
T452	490	410	370	800	750	600	440
T453	150	800	300	670	920	160	730
T454	920	350	370	840	190	260	560
T455	350	110	240	430	130	440	440
T456	100	210	850	350	740	220	410
T457	740	940	260	890	100	230	280
T458	710	920	710	970	770	230	760
T459	880	810	570	280	580	100	150
T460	380	390	530	450	270	210	820
T461	440	210	930	190	850	550	240
T462	270	510	820	900	370	540	590
T463	340	730	200	130	680	120	360
T464	670	490	370	820	220	570	440
T465	750	670	650	970	580	170	750
T466	350	570	790	730	920	630	700
T467	410	300	380	340	790	790	760
T468	290	360	250	400	930	790	350
T469	360	840	700	740	510	450	420
T470	820	350	250	120	100	990	850
T471	940	550	820	560	300	390	180
T472	580	630	160	620	200	420	840
T473	380	360	870	880	410	160	570
T474	400	140	260	720	900	850	370
T475	650	330	100	450	260	710	260
T476	650	250	810	590	420	950	480
T477	770	280	810	170	200	350	680
T478	200	190	670	370	850	770	350
T479	410	340	860	600	280	160	100
T480	380	540	250	210	920	820	180
T481	370	250	940	400	280	950	540
T482	660	560	640	560	920	260	830
T483	470	220	990	430	820	960	640
T484	400	560	570	170	840	260	610
T485	580	850	280	240	220	670	630
T486	190	910	460	900	510	420	730
T487	500	240	540	490	110	470	580
T488	530	110	780	700	630	840	450
T489	750	130	580	910	650	260	260
T490	900	650	410	380	870	640	610
T491	730	890	670	600	250	660	290
T492	180	100	990	240	810	250	410
T493	330	870	340	700	180	710	220
T494	480	870	570	350	860	600	710
T495	300	420	960	240	140	880	550
T496	730	660	940	770	430	110	700
T497	710	820	620	840	630	420	450
T498	500	820	730	950	120	330	450
T499	120	330	730	840	240	820	760
T500	910	240	800	210	760	770	730
T501	160	230	310	650	960	280	440
T502	480	770	150	960	390	430	880
T503	690	270	950	550	860	220	570
T504	530	260	100	630	690	330	290
T505	790	310	820	370	120	920	470
T506	870	760	900	440	800	950	830
T507	290	400	140	610	990	930	810
T508	520	900	980	650	470	250	600
T509	110	940	570	510	970	970	440
T510	710	600	790	220	230	130	160
T511	220	620	660	850	840	590	500
T512	180	150	330	270	640	300	460
