	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	A13	A14
T80	340	100	330	990	160	700	120	180	700	330	790	410	300	870
T81	820	580	940	240	470	500	900	600	440	870	240	270	470	680
T82	310	480	110	750	260	300	670	960	540	270	950	610	100	610
T83	350	680	990	820	470	220	890	250	840	230	980	390	900	340
T84	320	690	160	980	690	380	820	680	410	780	920	470	280	980
T85	210	810	680	880	290	520	470	760	860	550	650	790	780	460
T86	180	190	770	800	490	340	320	440	470	140	710	730	630	110
T87	350	540	650	600	260	750	460	370	710	770	660	970	230	930
T88	980	480	790	690	960	670	920	490	960	410	520	860	200	570
T89	170	180	380	980	500	330	620	570	350	790	350	850	190	130
T90	910	780	760	930	420	890	540	390	840	770	610	940	280	360
T91	550	480	130	490	160	400	850	330	670	480	510	140	830	950
T92	530	110	470	480	340	500	380	130	350	420	750	200	920	420
T93	670	460	830	750	920	400	720	570	620	790	820	450	390	310
T94	440	320	540	840	510	640	730	870	740	550	750	570	840	960
T95	620	880	190	260	580	370	610	300	940	690	200	580	730	870
T96	350	160	860	550	170	970	350	830	460	620	200	420	940	550
T97	960	590	200	680	220	320	220	260	310	610	810	620	700	750
T98	480	160	590	660	780	210	260	290	350	200	720	170	350	150
T99	240	660	280	520	920	440	560	740	800	680	130	260	790	450
T100	720	380	270	540	960	400	840	970	980	490	510	260	940	800
T101	950	690	280	270	360	520	970	660	380	760	160	850	730	330
T102	690	710	720	550	860	740	120	220	110	690	850	370	280	930
T103	970	340	390	190	400	240	840	240	960	390	690	290	620	400
T104	810	460	650	360	240	220	840	850	180	980	980	400	260	930
T105	740	340	590	690	890	700	680	800	530	960	340	800	890	280
T106	660	920	190	830	520	110	730	300	960	900	520	560	150	890
T107	540	370	510	160	710	710	440	710	290	180	810	220	600	330
T108	270	610	550	940	880	860	240	570	790	890	640	540	460	220
T109	140	540	510	150	730	540	170	970	940	650	900	420	440	820
T110	430	640	860	820	330	580	970	170	220	960	770	410	970	980
T111	210	890	160	160	360	860	680	980	610	300	690	830	170	170
T112	690	820	910	870	610	930	410	590	590	100	210	850	490	430
T113	210	270	510	250	350	200	320	570	570	580	880	320	430	700
T114	570	860	210	510	280	670	530	360	540	560	560	760	420	920
T115	140	220	260	890	150	180	280	580	820	700	750	840	380	330
T116	220	280	360	250	500	710	450	210	950	380	280	740	720	750
T117	630	520	720	720	980	360	120	600	740	850	360	620	920	340
T118	920	540	240	170	660	340	830	750	390	180	130	350	710	280
T119	100	500	170	170	100	640	450	140	930	850	390	120	340	800
T120	760	850	580	660	720	440	660	560	270	970	150	100	550	900
T121	260	850	550	580	170	520	160	470	170	580	790	610	990	600
T122	390	700	570	170	960	260	270	160	700	180	570	740	100	940
T123	250	810	460	990	480	710	920	640	280	860	480	490	290	480
T124	290	620	370	650	700	550	320	850	520	290	810	580	780	540
T125	570	180	750	440	410	180	490	920	880	970	390	460	520	860
T126	320	300	360	510	810	170	710	400	640	590	180	890	850	200
T127	390	150	850	730	880	950	540	140	630	520	890	950	130	240
T128	900	940	560	520	110	430	440	860	910	620	490	400	230	980
T129	700	900	620	940	490	120	250	230	580	490	350	600	560	900
T130	580	810	880	960	860	580	150	620	180	100	320	580	140	820
T131	810	660	610	410	590	140	780	110	290	840	420	190	150	840
T132	810	920	780	540	250	490	490	240	110	220	420	530	680	260
T133	140	620	100	820	190	950	120	110	100	940	830	370	880	110
T134	890	470	790	930	450	790	460	260	760	430	390	470	360	770
T135	660	180	540	750	600	690	530	440	750	700	600	650	470	250
T136	870	500	970	580	230	250	250	640	960	790	740	960	190	420
T137	950	330	480	550	640	600	630	850	780	160	260	990	900	160
T138	230	650	130	140	540	830	760	110	850	920	620	650	540	610
T139	550	590	140	260	950	360	280	920	860	250	510	280	240	390
T140	290	320	310	860	620	150	760	400	660	150	440	840	250	500
T141	250	130	330	980	270	560	220	260	540	860	420	810	640	860
T142	130	790	610	160	950	740	540	650	930	160	980	980	670	790
T143	510	200	720	500	800	680	260	780	900	360	330	850	780	950
T144	100	320	300	140	580	740	320	990	120	490	230	760	160	810
T145	210	470	340	270	500	340	990	380	940	820	360	740	930	620
T146	480	950	170	600	620	870	210	440	530	570	550	450	530	380
T147	430	230	370	150	390	880	710	320	230	650	950	970	740	200
T148	140	160	120	520	830	350	760	990	290	320	660	950	650	590
T149	810	870	840	660	420	200	600	400	830	440	690	480	600	290
T150	360	570	370	820	140	350	240	850	100	650	180	450	840	320
T151	220	100	930	240	400	720	370	120	110	910	800	990	130	520
T152	350	400	360	550	620	450	520	950	530	420	330	890	910	200
T153	560	880	430	340	320	270	530	900	780	690	220	870	180	350
T154	560	790	100	690	100	440	330	950	920	980	990	870	880	270
T155	180	350	440	180	360	880	800	930	440	330	730	160	450	270
T156	950	450	770	230	430	940	620	710	850	940	900	590	310	930
T157	850	300	240	180	360	410	470	270	220	220	190	240	880	150
T158	130	760	580	690	610	160	660	720	730	880	890	950	200	300
T159	760	490	330	100	160	520	880	300	990	200	720	930	540	420
T160	810	760	790	660	900	350	730	460	570	800	870	270	930	700
T161	630	960	420	390	900	800	860	100	880	340	910	410	450	300
T162	160	220	300	930	450	230	340	680	630	660	840	920	920	960
T163	130	540	990	560	450	690	680	560	140	450	880	520	850	400
T164	190	280	780	900	160	470	500	660	420	240	640	900	240	140
T165	700	130	200	610	240	800	380	490	580	310	870	200	170	310
T166	770	730	110	890	760	840	950	430	570	950	140	590	560	400
T167	300	320	880	980	720	620	880	760	970	660	360	700	730	370
T168	250	120	630	250	600	800	850	110	450	140	120	510	450	180
T169	800	320	510	750	200	940	340	550	190	410	300	310	840	920
T170	640	570	100	210	430	160	880	620	630	810	400	400	720	590
T171	890	540	770	910	900	930	890	250	420	570	530	850	450	560
T172	430	650	780	440	300	750	900	790	980	160	740	650	240	900
T173	120	430	750	380	960	810	960	460	240	730	720	840	830	570
T174	330	190	940	310	510	530	150	130	690	780	170	320	760	700
T175	410	250	310	340	370	250	630	650	660	530	590	720	680	480
T176	830	120	630	820	130	640	470	630	170	100	180	440	350	960
T177	730	220	880	210	350	120	960	780	250	710	330	460	820	510
T178	560	620	510	690	510	130	790	300	460	880	290	740	690	650
T179	910	770	660	110	300	340	860	770	360	410	830	220	390	460
T180	410	890	780	320	470	730	440	490	290	100	930	290	880	490
T181	420	500	710	630	550	180	730	220	190	320	220	430	510	200
T182	940	950	450	910	940	720	350	440	440	980	530	120	100	890
T183	470	510	990	680	650	720	200	730	350	910	410	980	280	890
T184	900	420	600	830	330	670	670	370	660	330	330	710	790	630
T185	700	320	630	990	100	560	340	940	750	680	100	930	950	110
T186	530	700	690	310	880	230	150	470	990	890	470	770	720	200
T187	910	680	560	170	900	800	670	660	630	670	310	110	950	200
T188	830	860	890	500	930	680	850	850	760	900	940	510	990	440
T189	130	700	290	520	970	460	980	440	150	430	890	310	910	130
T190	750	410	220	640	530	680	610	240	390	350	310	110	460	560
T191	890	700	140	750	620	410	110	240	300	850	210	600	350	740
T192	230	130	200	170	460	180	370	950	930	100	830	130	530	270
