	A1	A2	A3	A4	A5
T246	700	150	770	410	280
T247	170	390	580	180	950
T248	570	100	850	240	150
T249	190	540	950	730	990
T250	610	690	440	540	860
T251	170	780	310	670	720
T252	290	250	880	990	290
T253	150	500	640	260	310
T254	200	440	770	790	440
T255	430	140	840	910	550
T256	860	390	300	940	750
T257	540	210	360	390	550
T258	900	940	680	590	250
T259	190	780	960	230	870
T260	730	170	990	760	430
T261	320	450	230	120	610
T262	530	690	800	320	480
T263	410	530	710	290	760
T264	910	610	100	290	410
T265	940	520	200	310	480
T266	800	950	370	120	300
T267	210	890	950	900	850
T268	590	630	120	400	530
T269	850	410	940	650	540
T270	900	950	660	160	950
T271	990	870	930	890	140
T272	310	150	920	370	230
T273	500	920	550	260	230
T274	950	470	620	750	720
T275	300	410	440	320	780
T276	820	990	830	990	330
T277	970	170	880	300	830
T278	690	840	890	110	470
T279	980	240	150	570	630
T280	580	270	250	330	140
T281	410	830	140	650	710
T282	910	760	750	300	820
T283	890	580	880	970	640
T284	420	290	980	820	730
T285	940	430	440	500	270
T286	420	350	140	800	600
T287	300	860	100	130	630
T288	460	380	140	790	530
T289	350	150	830	580	230
T290	450	310	560	280	890
T291	690	460	160	880	260
T292	730	370	470	590	990
T293	840	430	510	890	240
T294	140	170	440	230	860
T295	960	200	590	190	300
T296	630	250	280	530	770
T297	440	580	840	700	420
T298	110	310	450	480	790
T299	370	460	900	180	100
T300	370	460	160	550	620
T301	640	560	710	240	130
T302	320	630	690	380	580
T303	640	810	250	710	640
T304	980	720	930	410	300
T305	730	550	460	160	420
T306	280	780	140	150	750
T307	570	360	730	560	370
T308	350	180	410	920	610
T309	520	720	270	920	620
T310	750	880	240	480	440
T311	380	410	650	170	560
T312	510	330	790	900	940
T313	670	770	540	850	230
T314	590	990	820	290	850
T315	860	950	260	880	240
T316	340	960	800	640	510
T317	120	650	690	110	570
T318	520	870	790	780	290
T319	330	750	340	790	180
T320	920	830	730	520	270
T321	720	220	150	310	580
T322	410	970	410	750	490
T323	760	810	410	300	900
T324	840	250	160	990	430
T325	820	340	640	840	560
T326	890	130	440	550	500
T327	830	890	570	150	260
T328	860	700	180	200	130
T329	410	240	650	580	710
T330	540	210	150	720	360
T331	110	320	460	840	760
T332	620	490	190	510	760
T333	740	820	370	200	530
T334	910	830	360	700	780
T335	280	610	780	590	810
T336	150	830	920	420	990
T337	920	210	590	320	400
T338	880	610	820	860	500
T339	290	800	560	650	740
T340	510	790	860	320	820
T341	210	640	860	370	290
T342	690	680	340	910	230
T343	660	120	760	710	530
T344	820	950	110	780	930
T345	230	620	870	730	750
T346	730	600	850	960	900
T347	670	630	760	840	650
T348	230	210	570	420	940
T349	990	540	540	690	420
T350	710	200	120	440	550
T351	440	300	400	180	200
T352	780	980	940	820	340
T353	830	550	730	920	570
T354	960	650	390	570	290
T355	720	790	870	670	220
T356	830	750	100	970	220
T357	900	670	170	950	780
T358	890	630	210	600	990
T359	710	660	410	880	870
T360	330	570	530	680	300
T361	650	960	390	150	180
T362	200	240	760	600	720
T363	100	180	140	980	620
T364	270	430	130	810	930
T365	590	550	910	180	950
T366	380	540	720	160	450
T367	170	950	240	790	600
T368	660	510	400	950	190
T369	320	310	760	360	610
T370	980	900	930	730	300
T371	860	410	430	440	890
T372	140	900	590	770	300
T373	730	510	500	700	390
T374	430	390	650	590	760
T375	200	200	480	310	500
T376	960	820	410	880	790
T377	550	220	190	970	990
T378	820	800	720	560	250
T379	800	260	990	920	810
T380	990	190	850	570	810
T381	260	790	330	480	360
T382	320	930	320	670	790
T383	650	610	700	150	650
T384	100	830	570	300	520
T385	670	270	430	550	690
T386	680	400	830	770	170
T387	410	350	670	150	120
T388	620	920	860	420	120
T389	140	520	910	270	590
T390	640	630	690	740	210
T391	720	800	550	820	200
T392	400	830	820	850	150
T393	160	130	310	430	680
T394	610	860	800	430	380
T395	990	100	160	890	570
T396	230	330	630	510	500
T397	750	980	190	580	840
T398	180	720	680	380	480
T399	190	250	470	100	970
T400	520	280	130	900	430
T401	490	270	410	280	940
T402	190	840	590	230	620
T403	440	720	880	160	510
T404	950	460	990	580	910
T405	640	830	700	750	920
T406	770	120	780	350	690
T407	130	100	320	240	890
T408	450	240	740	270	360
T409	220	460	960	650	750
T410	250	630	910	710	440
T411	530	690	280	140	700
T412	320	690	820	770	470
T413	350	640	670	150	640
T414	500	220	400	420	390
T415	520	780	940	180	320
T416	660	680	820	290	890
T417	650	950	710	780	600
T418	800	290	660	340	200
T419	450	110	500	150	680
T420	310	470	800	910	670
T421	750	170	930	420	890
T422	210	760	590	470	530
T423	720	580	220	570	330
T424	350	710	240	510	700
T425	520	470	290	860	570
T426	310	990	840	420	730
T427	270	150	280	380	330
T428	270	880	700	870	220
T429	310	250	120	780	650
T430	380	830	880	380	390
T431	490	410	150	800	280
T432	770	460	390	710	850
T433	490	450	840	290	760
T434	850	280	870	990	980
T435	460	820	960	480	590
T436	500	880	480	900	490
T437	330	510	280	560	830
T438	290	280	830	230	150
T439	570	910	380	740	930
T440	850	300	990	100	340
T441	920	620	940	980	120
T442	710	490	570	800	220
T443	380	700	540	800	210
T444	330	790	980	110	170
T445	590	810	190	400	390
T446	830	340	610	670	140
T447	670	430	270	630	360
T448	310	440	510	730	250
T449	420	130	560	420	130
T450	830	920	170	630	280
T451	970	840	780	240	890
T452	820	500	580	670	490
T453	570	740	950	590	800
T454	930	500	690	740	850
T455	690	410	610	900	130
T456	580	390	970	550	600
T457	460	380	260	330	340
T458	440	760	980	640	380
T459	180	790	440	160	490
T460	530	900	810	420	770
T461	380	700	690	490	640
T462	410	600	200	590	880
T463	670	800	950	380	690
T464	360	730	440	400	910
T465	460	260	310	380	560
T466	940	190	510	870	300
T467	360	230	460	800	650
T468	400	520	250	820	410
T469	490	460	530	740	750
T470	720	510	160	550	120
T471	310	320	220	300	870
T472	620	290	410	330	700
T473	900	590	900	260	760
T474	890	100	980	500	490
T475	260	430	730	680	210
T476	620	670	380	740	870
T477	340	310	410	310	410
T478	320	980	590	150	940
T479	310	880	340	370	290
T480	930	520	950	350	900
T481	840	650	440	310	580
T482	700	480	970	270	100
T483	210	130	550	190	750
T484	990	520	640	560	910
T485	330	180	930	680	700
T486	220	490	610	900	800
T487	590	690	790	390	760
T488	260	980	550	380	590
T489	760	170	800	480	400
T490	300	850	900	300	450
T491	110	500	560	550	770
T492	200	820	530	430	980
T493	820	850	420	210	950
T494	150	360	540	370	240
T495	810	110	430	420	340
T496	990	140	300	350	640
T497	700	950	860	510	950
T498	600	140	160	360	600
T499	510	420	930	660	490
T500	870	480	440	180	270
T501	840	190	350	140	700
T502	350	650	620	980	790
T503	430	800	140	890	550
T504	130	150	710	720	510
T505	730	420	220	320	880
T506	150	330	910	990	130
T507	990	390	130	760	950
T508	460	620	370	310	390
T509	290	980	590	300	360
T510	520	970	910	240	690
T511	260	710	940	860	570
T512	530	270	390	790	610
