	A1	A2	A3	A4	A5
T104	870	550	250	120	450
T105	900	170	810	270	110
T106	290	530	680	770	170
T107	590	670	170	260	990
T108	170	180	660	930	430
T109	630	610	590	510	400
T110	200	520	160	560	130
T111	530	330	550	410	940
T112	190	950	250	550	710
T113	340	610	140	530	920
T114	650	380	710	410	490
T115	110	670	710	580	250
T116	500	930	520	710	630
T117	830	740	840	510	650
T118	600	620	200	870	590
T119	910	590	320	730	510
T120	150	980	930	210	870
T121	480	120	550	240	760
T122	690	720	970	730	950
T123	880	750	330	490	420
T124	590	950	690	220	110
T125	600	910	580	260	110
T126	440	380	370	890	500
T127	790	420	890	500	110
T128	180	260	540	780	150
T129	310	680	190	600	300
T130	480	930	240	770	730
T131	480	720	310	900	660
T132	780	300	250	280	910
T133	270	230	450	740	760
T134	810	450	500	870	370
T135	470	830	360	850	180
T136	510	170	310	260	730
T137	300	210	740	980	380
T138	610	280	200	390	300
T139	370	960	290	200	360
T140	790	730	610	630	390
T141	770	980	190	450	890
T142	470	240	920	880	250
T143	690	930	360	320	630
T144	420	110	960	670	680
T145	260	200	380	910	580
T146	490	720	100	200	530
T147	420	350	760	190	100
T148	230	430	670	970	390
T149	760	810	710	720	840
T150	990	790	430	650	330
T151	460	680	720	660	470
T152	820	200	280	220	370
T153	690	330	760	830	640
T154	610	550	900	240	190
T155	730	200	640	170	890
T156	530	890	810	400	850
T157	970	620	930	930	930
T158	600	400	730	830	820
T159	150	460	330	810	950
T160	670	130	440	170	260
T161	480	890	190	240	990
T162	710	110	160	270	860
T163	550	130	650	790	380
T164	840	290	540	960	790
T165	930	930	150	740	720
T166	290	550	750	210	150
T167	100	800	790	270	120
T168	680	820	110	860	590
T169	830	130	390	320	700
T170	670	770	170	520	320
T171	360	600	200	810	720
T172	210	250	730	150	160
T173	810	630	670	880	190
T174	500	340	460	200	980
T175	810	610	850	120	990
T176	200	410	420	960	430
T177	930	640	540	730	510
T178	340	870	690	500	670
T179	970	260	490	260	530
T180	750	920	820	530	880
T181	560	660	890	270	160
T182	820	100	250	290	990
T183	980	640	900	230	700
T184	140	300	130	550	980
T185	250	540	950	320	660
T186	920	600	220	520	620
T187	430	940	650	700	110
T188	630	620	870	210	620
T189	300	230	490	240	600
T190	760	140	270	270	560
T191	970	630	410	460	760
T192	540	710	980	770	690
T193	480	840	180	520	150
T194	280	190	560	840	590
T195	740	870	680	460	470
T196	540	120	870	810	600
T197	670	640	800	620	660
T198	380	810	260	150	960
T199	440	330	170	440	440
T200	440	300	850	650	720
T201	320	360	760	370	250
T202	770	730	200	530	360
T203	490	410	500	330	910
T204	740	800	790	880	100
T205	120	690	940	470	450
T206	930	450	920	920	950
T207	630	660	600	720	800
T208	830	770	850	570	110
T209	270	590	580	980	380
T210	860	640	320	100	210
T211	720	940	630	480	830
T212	530	810	420	740	170
T213	280	670	140	490	990
T214	830	440	520	620	300
T215	930	140	730	880	530
T216	240	240	240	830	190
T217	670	510	750	550	980
T218	770	530	120	620	710
T219	480	850	420	180	200
T220	600	410	720	620	920
T221	370	300	370	900	300
T222	590	950	340	950	870
T223	160	550	970	120	180
T224	830	110	370	800	640
T225	550	330	430	840	230
T226	460	540	410	540	830
T227	340	400	420	630	600
T228	970	220	520	330	140
T229	490	680	310	190	150
T230	300	410	750	840	960
T231	560	910	450	880	190
T232	300	640	370	210	980
T233	880	530	130	770	910
T234	460	570	710	270	630
T235	350	990	480	170	680
T236	160	170	870	190	520
T237	880	100	600	350	310
T238	170	430	390	790	870
T239	990	740	150	840	920
T240	270	710	230	430	760
T241	680	790	100	640	610
T242	510	480	960	850	800
T243	270	200	720	120	140
T244	750	170	970	120	400
T245	930	320	600	870	160
T246	230	300	550	270	550
T247	830	390	800	870	630
T248	140	530	950	990	300
T249	370	770	700	560	560
T250	400	800	630	700	460
T251	120	240	570	860	180
T252	270	270	710	550	460
T253	360	430	410	440	330
T254	640	910	450	690	960
T255	900	470	520	300	260
T256	730	980	240	760	200
T257	820	370	570	920	830
T258	370	220	330	630	250
T259	380	860	290	650	360
T260	670	480	510	460	910
T261	330	720	760	960	220
T262	740	490	610	330	560
T263	730	650	190	950	880
T264	790	540	320	210	130
T265	990	190	980	760	470
T266	190	600	210	470	350
T267	890	770	810	490	830
T268	930	470	390	690	280
T269	820	200	730	190	750
T270	260	230	350	440	970
T271	700	780	520	730	760
T272	720	490	310	140	340
T273	150	610	130	380	390
T274	610	790	200	760	180
T275	320	790	370	280	580
T276	560	510	160	220	620
T277	440	220	370	640	480
T278	310	680	650	110	350
T279	820	440	710	990	360
T280	170	970	860	190	480
T281	660	570	550	120	160
T282	840	160	400	960	550
T283	100	350	250	660	590
T284	380	480	660	300	630
T285	190	900	480	650	450
T286	330	880	710	710	470
T287	720	570	570	680	310
T288	590	590	690	150	200
T289	570	190	890	700	390
T290	990	230	880	990	660
T291	670	410	160	840	270
T292	410	670	340	890	840
T293	720	900	880	660	990
T294	170	660	610	610	280
T295	300	880	530	940	350
T296	760	610	600	130	450
T297	410	900	730	710	590
T298	600	450	200	560	650
T299	560	960	600	620	100
T300	520	370	750	370	160
T301	880	570	550	390	240
T302	450	310	580	510	580
T303	210	520	750	830	330
T304	740	650	440	960	630
T305	420	820	480	630	190
T306	740	100	710	770	340
T307	890	680	140	790	930
T308	180	200	530	350	760
T309	560	530	630	210	680
T310	970	500	660	900	680
T311	690	810	940	290	720
T312	380	630	940	320	240
T313	680	430	420	690	120
T314	510	220	130	750	820
T315	310	390	550	320	620
T316	320	840	640	450	810
T317	860	150	980	220	300
T318	800	100	420	450	350
T319	280	890	730	430	470
T320	790	730	310	600	550
T321	730	440	630	300	420
T322	550	630	240	230	690
T323	770	450	800	590	490
T324	850	150	590	620	710
T325	430	430	540	170	200
T326	970	650	890	340	220
T327	580	680	140	730	110
T328	850	750	840	290	550
T329	410	290	310	360	880
T330	530	890	620	250	750
T331	770	180	810	610	560
T332	660	750	650	380	870
T333	240	200	410	690	210
T334	140	220	630	450	430
T335	950	270	540	180	250
T336	830	520	790	730	420
T337	370	240	370	330	530
T338	110	240	480	930	370
T339	130	380	500	740	790
T340	150	170	830	660	210
T341	770	320	830	390	460
T342	870	580	260	640	260
T343	310	520	580	910	970
T344	930	840	720	570	700
T345	430	590	600	570	440
T346	520	910	320	170	310
T347	220	700	100	920	940
T348	150	200	690	380	660
T349	850	200	820	920	210
T350	650	720	590	510	490
T351	170	370	750	640	900
T352	870	700	200	360	690
T353	110	440	400	680	210
T354	420	560	370	340	890
T355	280	690	170	410	100
T356	170	340	140	960	920
T357	750	940	990	600	120
T358	580	740	750	890	930
T359	760	640	770	130	240
T360	540	760	410	670	940
T361	150	760	440	610	650
T362	600	780	970	210	630
T363	850	120	250	610	510
T364	960	870	600	250	180
T365	280	420	490	630	890
T366	810	330	980	240	200
T367	530	840	540	150	370
T368	250	280	910	290	150
T369	730	610	550	860	470
T370	800	660	770	940	920
T371	850	370	370	260	810
T372	800	570	210	230	790
T373	630	680	670	760	430
T374	290	940	340	810	640
T375	870	370	980	680	580
T376	140	680	240	440	360
T377	880	850	420	470	760
T378	510	430	590	300	810
T379	210	270	150	530	470
T380	740	600	650	950	200
T381	280	200	560	740	340
T382	480	970	420	650	810
T383	460	620	990	350	890
T384	980	360	980	640	480
T385	750	730	790	570	100
T386	840	200	410	680	870
T387	970	370	390	320	340
T388	240	820	100	710	960
T389	840	410	550	870	290
T390	610	350	340	210	630
T391	670	790	190	730	950
T392	550	190	580	190	140
T393	650	230	630	550	930
T394	620	510	160	690	650
T395	450	540	870	930	290
T396	730	530	770	510	910
T397	330	830	740	360	140
T398	820	120	600	930	950
T399	720	550	540	300	950
T400	510	790	840	860	200
T401	780	300	410	700	990
T402	440	480	550	190	110
T403	180	350	550	420	630
T404	870	600	280	550	250
T405	360	650	640	270	150
T406	490	310	110	750	670
T407	120	370	870	670	850
T408	440	550	110	800	980
T409	210	590	650	930	640
T410	930	210	310	460	530
T411	860	410	850	790	280
T412	910	160	300	760	470
T413	510	900	280	600	560
T414	730	460	250	190	850
T415	750	950	730	820	980
T416	370	820	730	490	410
T417	500	670	400	100	430
T418	650	580	580	180	250
T419	690	640	770	500	560
T420	740	250	420	200	320
T421	760	630	230	140	810
T422	400	870	630	560	150
T423	540	130	710	910	590
T424	170	160	490	570	240
T425	240	930	640	210	480
T426	890	400	860	370	970
T427	650	930	930	940	640
T428	920	190	700	480	300
T429	730	130	390	380	170
T430	690	510	770	880	920
T431	850	750	580	580	750
T432	720	530	960	640	700
T433	240	820	320	970	180
T434	710	800	930	100	920
T435	760	730	990	340	820
T436	150	710	180	490	820
T437	500	700	580	910	170
T438	220	160	500	380	540
T439	420	850	400	240	340
T440	470	390	650	180	490
T441	660	350	400	430	200
T442	310	180	760	280	590
T443	110	340	480	190	800
T444	810	280	210	200	180
T445	380	740	930	500	170
T446	620	470	620	580	100
T447	510	960	430	940	750
T448	240	810	910	740	780
T449	790	240	730	360	630
T450	780	460	610	680	390
T451	930	730	690	450	770
T452	700	800	670	710	740
T453	580	680	790	660	380
T454	460	490	730	840	750
T455	270	530	970	980	990
T456	680	980	890	810	970
T457	890	140	290	230	420
T458	280	110	330	630	370
T459	480	430	810	980	620
T460	630	270	380	770	710
T461	870	830	310	300	400
T462	480	860	400	830	130
T463	300	180	950	820	740
T464	230	750	570	210	690
T465	580	290	310	760	500
T466	530	250	380	280	290
T467	590	700	990	940	930
T468	440	350	880	810	730
T469	560	350	630	960	110
T470	670	360	290	250	450
T471	800	890	620	480	790
T472	550	680	200	670	870
T473	940	610	130	650	830
T474	630	890	590	230	520
T475	510	720	850	190	840
T476	260	520	320	310	580
T477	680	710	790	750	100
T478	440	770	660	770	840
T479	840	190	860	320	660
T480	960	860	290	510	630
T481	120	100	330	680	120
T482	980	470	110	980	500
T483	900	650	230	350	580
T484	150	230	340	520	440
T485	860	120	460	490	350
T486	350	910	770	270	840
T487	490	270	530	410	990
T488	680	800	410	920	710
T489	830	580	570	810	240
T490	910	980	840	270	400
T491	210	840	630	800	900
T492	980	310	980	140	740
T493	150	390	470	870	610
T494	870	380	440	730	720
T495	320	980	920	710	190
T496	500	710	960	380	800
T497	810	170	430	760	810
T498	720	530	940	310	840
T499	670	510	310	480	800
T500	330	850	320	140	380
T501	160	120	830	470	460
T502	780	300	950	790	200
T503	930	900	930	560	340
T504	860	530	810	150	270
T505	290	490	220	240	250
T506	130	290	580	470	740
T507	750	690	340	570	180
T508	910	740	780	180	530
T509	260	230	860	710	200
T510	620	540	950	400	230
T511	890	250	970	450	390
T512	150	350	110	510	900
