	A1	A2	A3	A4	A5	A6	A7	A8	A9
T92	600	350	830	670	300	630	210	290	670
T93	250	980	490	110	910	600	650	530	650
T94	350	610	410	540	760	230	160	560	420
T95	620	470	800	360	510	650	130	170	690
T96	240	440	510	830	880	880	840	420	840
T97	770	790	870	700	510	400	200	790	380
T98	560	480	900	410	860	200	720	990	880
T99	430	600	560	500	840	450	750	340	330
T100	280	670	560	570	250	520	530	910	870
T101	420	930	340	780	820	990	990	610	950
T102	670	560	930	400	470	420	610	950	710
T103	980	770	900	850	600	620	140	430	210
T104	480	140	310	120	150	840	730	830	710
T105	460	640	990	150	910	380	700	410	700
T106	510	760	920	640	120	300	430	290	500
T107	250	720	500	800	770	410	550	170	900
T108	810	970	930	190	270	260	720	290	120
T109	160	170	930	150	520	510	470	830	440
T110	510	530	690	890	100	340	920	740	140
T111	740	750	370	540	320	220	890	380	540
T112	980	410	500	220	500	810	500	640	190
T113	110	560	780	540	210	220	130	690	360
T114	810	330	630	980	210	240	580	410	330
T115	900	460	980	260	440	240	680	930	710
T116	470	450	720	810	920	480	200	940	560
T117	250	890	270	730	740	600	690	830	820
T118	770	840	820	210	370	660	120	150	250
T119	880	950	810	440	830	920	170	110	620
T120	440	470	120	360	860	720	640	730	500
T121	290	420	920	410	670	140	800	450	990
T122	150	750	670	840	470	550	350	650	260
T123	110	110	920	650	390	200	220	170	120
T124	330	100	850	460	420	140	880	500	170
T125	150	780	760	310	270	950	340	850	660
T126	200	810	770	890	720	840	490	130	350
T127	420	100	700	820	390	460	810	490	390
T128	530	260	950	460	710	480	730	400	720
T129	570	360	600	950	410	660	310	350	500
T130	630	570	830	750	330	670	540	670	930
T131	100	920	650	450	760	380	710	960	260
T132	260	790	240	390	320	480	350	530	110
T133	700	460	480	840	150	490	490	400	150
T134	450	210	910	820	900	330	680	720	430
T135	220	300	620	730	800	440	210	510	830
T136	420	870	380	520	790	640	660	250	270
T137	860	960	940	820	220	550	970	330	140
T138	300	470	810	100	190	240	420	590	280
T139	890	280	150	200	220	580	220	520	160
T140	730	460	420	770	910	290	340	680	380
T141	990	840	140	430	210	550	740	580	920
T142	650	980	380	480	100	230	870	870	160
T143	820	750	170	840	110	680	190	460	490
T144	360	240	450	180	730	990	190	100	100
T145	460	180	330	210	710	780	620	230	700
T146	220	780	140	310	630	220	270	780	440
T147	460	960	440	350	850	470	340	280	650
T148	410	260	360	920	450	610	170	750	850
T149	180	390	650	130	500	660	540	920	180
T150	260	460	760	410	980	330	740	900	130
T151	760	750	390	450	560	960	500	680	590
T152	160	120	690	420	290	940	740	550	800
T153	650	690	780	670	320	280	330	130	550
T154	720	950	230	710	800	670	430	160	880
T155	230	200	540	240	300	760	780	710	100
T156	480	630	420	880	310	360	140	950	770
T157	920	630	790	900	530	850	510	580	720
T158	190	530	260	360	240	600	420	590	400
T159	780	200	900	500	220	270	340	420	260
T160	870	290	100	530	950	680	850	370	980
T161	430	820	330	120	750	880	120	130	760
T162	120	750	510	110	880	960	130	450	900
T163	250	390	390	550	860	830	190	310	290
T164	940	460	110	330	270	820	940	380	160
T165	930	430	790	800	200	320	140	350	460
T166	920	330	230	460	350	970	620	850	570
T167	490	760	470	210	380	140	250	390	130
T168	930	640	350	130	790	880	810	500	110
T169	280	960	610	330	970	690	710	100	110
T170	530	710	930	870	820	940	270	720	630
T171	370	390	820	640	510	340	150	390	890
T172	530	450	940	550	840	300	900	550	270
T173	190	360	930	440	480	350	830	760	580
T174	190	790	140	340	630	270	810	500	110
T175	270	710	340	280	230	690	900	780	950
T176	940	940	950	680	760	640	940	780	610
T177	390	800	830	870	950	890	550	790	610
T178	600	270	710	120	280	430	550	510	310
T179	560	430	270	600	480	270	960	840	190
T180	250	320	390	420	960	220	990	690	900
T181	280	580	210	480	950	440	140	590	820
T182	690	160	890	300	650	980	720	810	570
T183	310	640	450	820	640	610	810	940	460
T184	820	240	710	360	600	200	940	500	920
T185	930	520	940	140	130	950	480	350	620
T186	940	690	430	390	940	190	310	950	190
T187	110	430	400	530	650	940	250	620	500
T188	960	990	460	330	160	410	260	730	520
T189	490	520	880	590	880	330	640	770	330
T190	170	190	900	810	400	100	370	700	990
T191	590	850	720	530	810	670	820	950	720
T192	590	220	340	230	560	580	980	760	350
T193	600	120	170	940	320	820	100	720	680
T194	550	700	570	650	600	310	230	700	950
T195	660	250	720	540	980	640	130	500	710
T196	940	730	270	380	330	600	300	350	150
T197	350	940	190	800	100	230	830	240	860
T198	630	150	860	520	450	500	950	420	160
T199	310	870	240	640	960	640	860	600	230
T200	430	210	490	370	360	300	800	750	260
T201	680	720	790	360	580	680	330	730	660
T202	730	590	190	770	390	120	610	540	530
T203	370	700	170	880	120	440	560	700	940
T204	950	810	450	830	140	390	370	140	770
T205	410	400	640	420	280	410	760	240	680
T206	940	470	100	360	740	630	630	780	380
T207	330	650	400	110	450	710	910	390	920
T208	390	390	360	210	310	480	460	920	890
T209	910	940	510	770	480	360	470	960	390
T210	780	690	820	240	160	270	190	370	460
T211	960	610	860	170	220	640	360	440	820
T212	340	540	120	660	100	960	660	820	350
T213	300	850	550	580	870	890	670	440	300
T214	680	820	650	610	670	400	410	790	790
T215	650	360	450	150	940	740	620	250	310
T216	190	750	800	280	910	240	580	420	150
T217	330	830	140	730	690	640	800	910	850
T218	480	740	350	260	300	290	160	580	500
T219	950	130	440	960	150	400	630	620	180
T220	100	770	470	830	240	570	600	220	830
T221	630	710	270	910	630	470	560	270	970
T222	330	790	370	180	380	990	670	300	180
T223	360	440	490	270	100	990	740	640	370
T224	290	150	880	480	360	490	650	930	940
T225	640	850	540	350	240	150	500	420	550
T226	930	900	470	540	850	420	550	570	420
T227	990	600	370	360	540	480	110	890	150
T228	710	440	210	610	390	610	900	540	240
T229	640	520	110	920	310	770	550	160	840
T230	220	880	680	360	340	330	430	250	680
T231	900	550	740	450	220	590	860	330	400
T232	630	120	430	900	890	230	710	170	420
T233	940	390	420	470	840	100	970	960	480
T234	620	530	490	890	590	520	580	430	370
T235	150	500	970	570	100	190	990	390	360
T236	640	250	200	130	930	370	170	300	860
T237	210	420	690	540	130	580	590	170	150
T238	630	640	380	570	420	300	890	180	340
T239	870	240	160	250	640	510	790	280	870
T240	980	230	360	970	790	200	940	410	200
T241	400	400	680	970	750	340	760	970	880
T242	720	590	810	670	600	550	920	360	200
T243	450	740	140	730	870	510	940	350	280
T244	840	860	450	940	650	930	780	230	590
T245	800	630	860	430	830	280	350	950	760
T246	330	580	470	340	670	800	430	340	110
T247	160	520	180	830	540	830	740	730	620
T248	410	730	570	320	780	320	650	580	520
T249	240	690	980	970	840	560	900	840	830
T250	660	340	650	780	650	610	660	840	150
T251	460	550	540	930	680	260	410	400	610
T252	440	870	310	860	320	130	740	960	500
T253	470	920	820	120	560	710	460	870	880
T254	570	760	250	530	830	130	750	370	670
T255	140	560	690	110	890	970	840	490	440
T256	460	650	120	850	190	270	840	530	770
T257	200	590	200	320	710	180	190	420	770
T258	730	190	770	950	280	910	350	720	240
T259	250	140	850	630	650	640	270	730	240
T260	850	610	410	260	650	420	150	170	260
T261	790	830	340	120	600	760	250	390	200
T262	360	840	910	300	610	610	860	910	380
T263	830	330	320	190	170	200	220	120	730
T264	280	600	470	290	410	730	490	680	640
T265	990	730	450	990	110	320	980	490	620
T266	450	410	150	690	160	220	140	660	720
T267	630	240	600	570	820	710	180	100	200
T268	190	300	130	900	550	860	640	150	970
T269	340	770	250	180	100	670	340	510	580
T270	850	100	650	520	960	820	120	110	530
T271	160	660	260	540	520	170	510	170	360
T272	230	670	300	470	790	580	520	430	840
T273	740	930	570	360	680	630	100	920	890
T274	520	870	800	800	400	280	770	820	700
T275	350	980	450	660	160	480	190	940	260
T276	680	600	550	370	160	140	210	590	170
T277	710	620	210	570	730	190	600	820	360
T278	480	630	900	530	920	980	140	280	910
T279	370	230	120	210	580	210	210	240	360
T280	790	240	870	770	170	740	100	260	390
T281	210	650	570	150	470	400	420	400	240
T282	120	820	700	510	310	340	960	620	240
T283	490	700	210	490	330	500	490	120	950
T284	270	150	940	130	880	290	140	230	290
T285	460	910	790	530	160	760	680	380	100
T286	540	380	790	200	600	320	810	980	590
T287	450	150	690	410	460	980	860	610	650
T288	970	240	560	480	320	660	760	400	930
T289	560	560	960	450	650	280	350	750	550
T290	360	490	210	230	890	750	140	470	740
T291	350	460	960	130	990	210	980	930	450
T292	920	690	400	890	260	630	760	100	840
T293	120	480	660	900	930	820	900	100	330
T294	300	500	240	620	240	270	830	460	830
T295	910	360	110	430	880	650	110	190	340
T296	110	730	810	470	360	990	890	290	870
T297	950	900	260	700	520	110	290	580	700
T298	460	320	900	550	520	840	950	550	950
T299	890	740	370	950	480	630	730	580	320
T300	590	880	510	260	480	860	620	140	640
T301	820	660	250	730	670	640	340	190	690
T302	240	290	340	530	260	930	530	860	130
T303	490	140	810	440	220	980	770	460	640
T304	730	790	330	400	830	550	910	120	200
T305	410	410	630	110	770	380	860	920	230
T306	580	490	390	740	320	650	390	390	360
T307	650	480	490	740	660	560	740	830	500
T308	750	170	590	810	160	400	350	110	510
T309	630	160	910	720	980	970	170	580	710
T310	680	950	230	360	400	950	240	950	140
T311	840	770	720	990	460	430	110	100	360
T312	210	960	420	270	900	400	970	140	630
T313	430	260	220	840	270	800	100	920	800
T314	960	550	180	940	930	210	550	370	260
T315	680	500	860	470	820	490	400	870	190
T316	690	960	720	300	440	220	480	610	360
T317	660	130	410	610	660	330	250	440	840
T318	160	300	800	160	990	570	360	590	180
T319	210	680	920	970	180	900	110	970	740
T320	880	770	610	420	650	800	610	880	290
T321	160	170	290	740	900	260	450	100	250
T322	100	160	790	250	520	470	600	550	240
T323	130	110	780	590	370	450	980	230	410
T324	850	360	550	390	510	600	550	810	440
T325	750	990	720	560	360	230	130	740	160
T326	330	470	460	810	940	570	960	440	910
T327	240	120	690	800	250	160	460	990	610
T328	150	580	410	230	970	850	710	880	750
T329	140	570	300	950	810	790	450	960	400
T330	550	720	520	270	620	250	710	500	780
T331	770	380	330	170	300	790	610	230	170
T332	290	450	800	550	370	350	830	740	670
T333	350	460	110	480	130	100	460	840	890
T334	800	380	440	520	910	980	690	340	840
T335	550	350	560	840	480	270	810	320	600
T336	670	840	720	150	660	560	340	250	650
T337	860	900	370	730	380	650	270	770	550
T338	190	670	530	580	650	730	750	470	350
T339	520	980	230	650	770	570	170	440	190
T340	420	460	650	820	110	840	210	310	500
T341	540	300	660	980	640	530	940	110	970
T342	930	640	320	630	320	260	430	190	240
T343	230	890	890	700	510	650	840	810	390
T344	270	510	130	930	570	670	910	440	810
T345	770	790	960	720	760	330	690	980	480
T346	130	590	550	840	610	980	500	560	400
T347	940	670	740	440	560	160	170	460	280
T348	820	300	960	200	340	770	150	510	390
T349	360	230	510	530	980	590	750	540	120
T350	360	220	740	350	400	890	580	410	230
T351	150	660	330	690	600	930	880	330	320
T352	470	790	410	820	120	160	140	580	430
T353	900	660	480	500	220	840	740	260	380
T354	440	790	360	860	770	210	270	360	690
T355	970	970	330	520	990	530	550	560	480
T356	800	350	480	860	600	820	240	370	930
T357	140	780	540	120	900	160	240	210	790
T358	150	420	370	650	270	750	540	860	490
T359	100	250	330	450	330	800	900	450	590
T360	430	860	960	510	760	100	270	350	190
T361	140	900	100	100	830	760	250	810	630
T362	270	320	400	850	330	980	530	230	510
T363	180	110	160	790	690	920	260	810	560
T364	910	950	980	800	660	610	550	830	780
T365	660	510	600	440	650	410	380	900	950
T366	230	240	830	880	120	770	210	430	510
T367	570	720	850	350	650	450	580	280	330
T368	560	530	410	360	990	370	340	170	990
T369	930	890	800	850	900	850	370	410	540
T370	940	350	730	870	300	210	850	190	200
T371	680	640	190	150	950	890	720	260	280
T372	430	110	990	190	810	140	210	780	220
T373	860	240	490	490	590	530	780	560	830
T374	570	750	510	860	580	380	490	300	390
T375	650	800	120	820	570	680	400	820	920
T376	400	410	490	840	190	960	250	120	140
T377	760	290	540	560	130	910	270	830	220
T378	570	770	600	880	200	280	530	200	410
T379	440	280	240	980	960	800	700	880	360
T380	920	500	570	440	230	440	230	690	330
T381	980	140	600	220	370	110	810	120	310
T382	710	870	830	600	630	940	710	740	170
T383	990	990	440	560	650	790	290	190	620
T384	300	880	870	470	640	830	460	270	870
T385	340	800	750	710	310	190	430	140	410
T386	800	820	430	610	210	300	160	970	570
T387	940	880	900	500	800	180	930	240	320
T388	950	710	700	840	370	710	160	720	640
T389	630	430	910	470	910	180	850	110	750
T390	690	650	600	460	990	420	630	230	130
T391	490	800	100	310	430	970	920	820	820
T392	470	410	580	390	420	240	870	130	930
T393	780	320	160	780	900	640	210	520	790
T394	660	270	250	470	850	500	610	350	770
T395	480	570	150	320	200	190	710	790	580
T396	310	690	990	740	790	500	220	680	240
T397	530	300	250	540	690	430	770	300	570
T398	530	630	270	870	360	230	830	350	260
T399	220	260	500	830	290	690	250	320	270
T400	320	590	850	660	390	210	300	590	420
T401	350	900	120	450	900	310	940	830	830
T402	410	720	520	780	710	250	590	580	320
T403	710	940	560	140	890	840	630	610	610
T404	270	460	900	100	270	950	930	230	960
T405	890	820	510	670	150	720	700	990	400
T406	760	960	890	980	480	960	180	200	110
T407	240	450	510	110	560	350	570	670	310
T408	860	390	540	470	640	590	120	510	490
T409	320	310	210	220	560	870	960	580	730
T410	690	100	150	550	520	450	330	180	850
T411	430	640	810	970	600	550	190	260	580
T412	580	580	420	860	960	400	770	770	490
T413	710	860	950	490	290	380	950	660	910
T414	500	500	910	610	330	750	510	710	190
T415	920	620	950	730	720	200	520	330	720
T416	790	450	470	530	820	300	330	640	670
T417	850	540	780	250	570	340	280	830	930
T418	740	640	540	470	120	720	870	880	530
T419	220	470	690	840	420	450	710	800	370
T420	690	810	830	930	940	190	420	440	300
T421	730	330	830	590	960	270	890	800	720
T422	410	150	660	180	470	840	660	840	590
T423	980	490	110	860	720	350	970	790	360
T424	600	180	390	510	940	300	150	560	770
T425	110	630	420	190	920	500	760	310	760
T426	750	650	850	980	780	110	190	840	220
T427	150	420	110	720	760	570	660	780	600
T428	750	420	130	820	860	730	260	910	300
T429	850	110	630	150	400	410	270	450	210
T430	120	450	430	610	980	910	210	690	150
T431	800	360	990	100	330	580	110	460	410
T432	970	620	910	970	950	580	810	960	530
T433	970	690	290	950	440	880	420	910	250
T434	150	680	840	410	370	770	420	480	350
T435	140	880	450	240	290	500	450	570	640
T436	590	710	240	330	800	950	670	600	500
T437	510	920	630	830	100	550	460	310	880
T438	230	520	560	730	110	950	780	220	950
T439	100	260	300	370	610	550	500	820	400
T440	710	930	110	790	550	680	690	270	470
T441	390	750	250	300	580	590	430	920	130
T442	220	310	100	460	790	400	370	960	900
T443	310	810	520	160	420	710	800	160	440
T444	410	380	240	660	990	350	220	390	370
T445	800	920	930	620	560	840	200	150	250
T446	330	500	250	760	970	440	900	740	680
T447	790	820	740	380	980	390	680	810	260
T448	250	260	730	860	820	620	680	200	780
T449	350	690	950	750	890	430	800	700	890
T450	300	300	150	910	200	450	220	510	920
T451	390	180	600	790	470	870	500	660	800
T452	100	810	650	700	920	360	930	610	680
T453	350	580	930	810	670	720	670	200	350
T454	790	250	490	110	180	500	700	350	490
T455	140	540	370	610	600	840	140	180	890
T456	330	600	390	290	950	170	560	620	900
T457	150	140	600	910	260	810	860	100	740
T458	540	350	750	360	210	270	240	540	980
T459	510	510	700	540	990	860	780	150	890
T460	210	890	900	870	310	480	420	690	220
T461	290	370	990	790	190	670	740	290	940
T462	350	240	420	450	680	130	950	410	340
T463	470	770	440	680	590	370	460	840	960
T464	650	970	680	510	940	140	950	570	900
T465	230	660	710	730	800	860	860	780	250
T466	850	900	790	350	310	900	260	400	450
T467	280	490	610	440	440	940	600	660	900
T468	410	230	410	580	640	680	850	520	270
T469	710	860	860	540	640	340	150	610	650
T470	840	360	410	150	760	280	950	430	210
T471	440	460	820	330	900	180	300	670	760
T472	470	900	280	900	800	490	370	770	380
T473	490	840	940	710	970	600	520	920	780
T474	750	210	690	770	660	190	230	330	630
T475	360	160	390	330	180	670	280	960	890
T476	210	950	400	350	120	940	510	490	510
T477	120	330	870	330	740	880	580	280	390
T478	940	640	710	750	180	670	980	820	880
T479	120	800	440	270	390	780	930	360	300
T480	640	770	880	350	310	840	190	430	220
T481	200	700	600	420	510	410	150	950	810
T482	390	410	430	780	670	170	320	940	790
T483	350	430	550	990	660	460	800	420	430
T484	800	540	670	870	780	430	860	730	960
T485	380	560	280	450	780	280	920	630	150
T486	330	300	960	500	880	530	320	970	500
T487	890	980	870	610	200	420	760	830	550
T488	170	130	920	690	690	630	720	580	790
T489	530	240	190	130	870	790	770	670	540
T490	520	120	540	360	110	560	540	620	990
T491	850	490	800	580	180	990	980	700	630
T492	460	460	190	410	380	440	260	810	650
T493	570	120	980	870	790	900	560	500	640
T494	170	840	260	650	580	790	320	540	510
T495	930	760	400	960	170	280	720	880	230
T496	660	860	520	940	800	140	350	150	940
T497	130	660	780	630	120	480	280	130	400
T498	470	490	560	320	870	400	940	620	540
T499	360	720	730	380	250	660	570	990	540
T500	570	560	780	620	550	590	450	700	800
T501	270	970	340	380	410	330	990	270	730
T502	820	460	750	920	570	130	510	540	390
T503	940	690	180	810	690	980	270	770	730
T504	600	660	480	390	730	330	140	280	850
T505	470	330	460	530	390	670	580	930	320
T506	730	860	870	510	750	250	910	550	640
T507	930	900	570	660	180	310	540	810	930
T508	660	210	760	610	940	400	940	390	550
T509	540	200	360	970	830	640	760	610	220
T510	360	280	490	680	730	680	640	220	920
T511	260	480	890	940	420	110	460	440	660
T512	670	670	640	570	140	950	210	180	250
