	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	A13	A14
T142	170	460	680	400	100	690	600	380	530	950	850	930	990	110
T143	380	140	960	310	930	490	330	780	960	410	750	100	720	100
T144	590	980	400	200	770	430	220	300	580	360	100	400	740	460
T145	830	800	100	240	260	910	700	900	500	240	500	430	820	200
T146	270	810	420	810	830	830	270	900	490	180	360	260	340	960
T147	710	260	880	910	700	360	380	670	410	190	580	410	870	180
T148	320	240	460	250	940	810	880	120	680	450	270	270	190	790
T149	660	750	950	880	660	340	800	400	760	760	840	510	890	970
T150	580	960	510	880	710	770	570	470	440	860	840	520	360	460
T151	880	930	350	710	700	500	350	440	270	850	160	430	910	350
T152	970	850	430	320	850	710	370	800	470	860	650	750	690	650
T153	860	740	230	910	830	870	230	910	950	390	130	990	250	660
T154	660	970	480	800	990	310	190	700	770	160	210	880	410	580
T155	790	470	120	440	920	870	590	190	430	770	530	190	430	500
T156	880	450	540	790	420	190	460	170	220	510	470	850	240	570
T157	240	550	700	950	970	730	580	810	530	200	620	530	940	650
T158	370	200	440	620	690	990	930	750	200	320	350	220	340	730
T159	170	370	420	520	120	400	510	750	470	310	160	990	950	830
T160	770	670	540	550	450	530	270	210	500	290	420	620	750	650
T161	770	940	850	170	110	270	540	410	350	190	260	650	230	540
T162	480	280	840	140	430	240	810	310	550	500	580	830	560	710
T163	190	820	980	330	470	100	440	820	520	240	840	530	840	440
T164	870	210	800	660	320	640	710	240	120	660	420	130	780	270
T165	660	300	550	690	410	490	890	640	540	650	740	610	670	580
T166	710	290	260	700	620	760	410	120	360	830	880	510	430	960
T167	870	500	510	700	920	340	230	570	900	770	830	430	260	740
T168	620	630	690	720	720	770	470	500	330	720	960	630	410	820
T169	270	960	110	310	520	330	630	840	290	400	580	140	470	880
T170	820	910	410	610	660	530	660	720	760	150	170	350	190	110
T171	110	500	960	960	740	310	680	780	650	300	900	900	420	780
T172	670	810	310	780	280	100	700	110	970	200	330	440	480	970
T173	530	270	760	900	820	170	150	880	680	530	870	400	140	170
T174	360	700	490	590	960	350	180	250	430	620	850	520	600	430
T175	280	880	410	440	870	690	610	590	110	350	200	780	300	960
T176	300	770	900	950	520	160	190	610	170	810	720	990	380	990
T177	290	140	690	690	230	240	510	420	870	980	240	120	900	200
T178	930	360	170	110	830	780	960	100	840	500	730	730	920	470
T179	630	510	550	340	490	840	840	730	340	600	860	990	630	790
T180	140	240	300	140	730	310	250	390	520	550	880	850	180	220
T181	210	290	760	340	640	450	460	410	140	750	740	130	410	270
T182	820	420	410	540	300	410	180	320	530	260	580	820	440	190
T183	380	360	670	730	780	550	410	530	840	630	980	330	490	170
T184	320	220	770	930	280	200	250	480	530	440	300	840	670	350
T185	830	550	190	850	700	210	380	970	810	220	780	280	330	720
T186	230	170	960	650	110	180	870	690	460	960	890	580	640	470
T187	400	690	980	260	560	120	910	240	210	550	900	960	780	460
T188	640	960	130	740	140	280	470	650	780	150	260	660	930	580
T189	970	850	190	280	870	660	810	920	780	670	790	430	150	290
T190	840	780	250	820	740	230	820	160	980	610	140	120	150	740
T191	940	770	270	940	610	480	470	220	840	250	430	900	130	730
T192	410	820	620	400	360	580	820	960	400	310	640	600	780	120
