	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	A13	A14
T110	540	660	120	850	990	610	500	970	760	100	560	510	260	370
T111	250	990	580	580	490	700	370	790	670	740	980	810	400	450
T112	810	690	590	930	980	640	740	300	480	100	260	500	830	130
T113	290	650	380	140	170	830	510	160	610	270	230	700	110	740
T114	530	830	970	830	710	940	680	510	600	740	340	430	240	730
T115	160	240	700	640	790	630	830	110	210	570	510	160	950	780
T116	530	630	950	490	630	520	460	660	570	680	260	760	430	810
T117	200	970	660	250	170	770	860	670	130	380	900	240	780	830
T118	640	450	640	350	110	230	380	880	240	700	460	840	940	250
T119	650	660	290	600	640	390	230	410	960	910	300	790	600	410
T120	710	200	230	650	130	940	680	200	640	750	560	370	610	340
T121	440	880	390	100	700	810	680	890	570	490	700	510	950	370
T122	750	610	760	710	460	300	490	710	810	160	200	660	820	470
T123	990	830	150	990	450	790	950	380	810	540	220	950	580	700
T124	320	550	930	750	350	860	510	860	490	660	880	650	630	250
T125	450	550	670	510	790	950	940	950	710	180	400	210	150	150
T126	480	140	660	360	780	110	160	190	420	340	490	300	530	440
T127	370	760	830	980	700	410	960	880	250	220	780	890	880	870
T128	720	640	570	170	340	680	810	180	530	860	710	820	170	950
T129	130	320	340	610	550	630	990	400	950	700	580	120	310	600
T130	400	300	430	490	190	730	300	280	480	490	290	190	180	470
T131	280	940	980	380	220	410	840	820	420	960	200	670	350	570
T132	950	580	560	980	810	460	650	920	820	430	130	890	640	520
T133	120	150	920	130	100	690	380	500	680	220	690	520	110	880
T134	900	960	650	350	830	530	260	770	970	330	530	420	740	930
T135	840	690	820	720	800	470	650	620	850	400	820	350	850	550
T136	800	780	190	570	200	980	760	120	130	610	280	330	470	130
T137	810	680	470	730	200	190	530	990	370	890	750	370	110	300
T138	730	720	290	220	450	890	160	410	200	640	910	200	450	290
T139	380	290	860	770	520	780	420	420	530	410	510	380	150	490
T140	480	610	870	100	590	100	370	340	450	130	190	620	280	420
T141	830	380	220	900	320	620	400	790	620	520	780	930	480	960
T142	430	530	440	380	370	150	740	280	200	510	340	490	520	520
T143	750	760	770	700	690	760	330	970	600	120	780	730	160	270
T144	680	710	690	720	120	840	960	390	190	200	930	650	230	140
T145	960	480	550	940	440	550	140	350	750	870	730	620	490	890
T146	770	830	100	800	280	320	940	920	240	780	200	620	180	650
T147	320	690	700	680	630	940	590	890	720	480	480	730	380	480
T148	220	150	610	940	920	840	210	560	570	390	950	840	160	590
T149	950	290	450	820	670	120	630	230	370	180	800	560	600	180
T150	860	250	160	330	800	300	730	120	320	460	360	140	390	780
T151	280	120	470	740	580	110	760	900	730	330	220	120	250	800
T152	850	990	270	870	230	720	380	140	190	730	270	220	620	460
T153	380	610	220	440	740	340	710	500	850	580	700	600	990	520
T154	330	170	690	780	760	310	900	120	530	410	520	930	380	880
T155	510	280	870	590	530	440	470	580	410	180	510	420	650	240
T156	620	200	960	490	150	620	430	110	300	910	500	260	520	880
T157	380	840	340	940	310	100	390	600	220	210	220	450	830	930
T158	870	660	340	940	410	130	830	130	300	760	800	430	340	250
T159	310	400	430	580	560	530	230	950	900	570	670	960	520	580
T160	150	180	760	920	390	810	350	750	510	800	380	440	220	450
T161	420	610	100	770	460	460	280	710	810	970	690	110	250	790
T162	620	570	630	960	100	160	200	340	340	980	440	990	530	640
T163	430	800	340	220	160	800	950	420	660	280	310	740	810	310
T164	690	440	460	650	360	880	230	610	780	880	330	320	800	950
T165	410	850	750	390	480	530	340	600	810	760	610	740	130	850
T166	810	460	280	730	400	220	300	630	420	830	480	880	610	740
T167	970	880	370	470	890	150	960	910	870	620	870	280	310	670
T168	330	950	910	810	210	380	480	550	960	910	470	150	490	860
T169	300	340	680	830	750	320	920	530	970	190	280	220	750	290
T170	580	120	680	680	200	510	410	820	430	640	410	310	950	630
T171	410	690	540	390	860	520	470	830	440	220	130	130	770	260
T172	900	990	910	830	520	530	850	910	700	520	620	240	930	140
T173	280	920	590	400	460	580	860	730	130	550	970	330	530	350
T174	930	570	770	350	900	400	570	480	990	470	830	970	710	420
T175	460	280	410	480	370	590	100	180	630	770	710	810	840	600
T176	900	130	450	520	980	460	270	310	880	510	440	290	230	780
T177	750	810	200	270	170	990	680	640	890	850	840	250	950	570
T178	760	640	830	910	570	450	430	860	650	540	900	650	540	440
T179	880	590	260	290	220	730	810	650	250	260	700	770	790	280
T180	690	610	820	110	280	190	370	340	940	900	310	290	280	280
T181	830	270	410	760	720	290	140	280	300	330	200	830	840	550
T182	500	620	470	670	900	960	280	850	890	940	390	410	790	690
T183	720	300	850	360	670	900	900	710	250	680	730	640	350	570
T184	500	510	200	800	180	920	800	680	820	690	520	910	370	270
T185	430	460	580	380	910	940	390	280	850	570	160	660	200	700
T186	680	760	870	510	170	630	510	590	320	530	970	560	370	520
T187	960	660	240	120	400	490	560	970	930	620	260	590	890	810
T188	700	790	710	300	740	800	170	240	240	620	590	930	460	920
T189	680	370	820	620	580	570	560	840	780	680	620	600	560	720
T190	610	330	930	730	740	960	860	210	260	640	990	350	880	590
T191	750	960	400	920	980	510	590	820	960	200	220	530	410	670
T192	870	670	550	570	190	830	590	780	360	840	160	990	630	700
T193	450	410	770	340	100	320	510	470	620	920	580	950	240	350
T194	920	290	110	230	720	480	390	760	370	840	580	640	580	720
T195	150	210	340	910	800	840	530	890	980	320	340	420	340	130
T196	720	310	470	660	550	700	610	840	690	100	160	120	640	550
T197	850	910	430	250	810	550	750	560	100	220	460	610	960	660
T198	470	130	850	800	640	140	540	780	470	840	330	350	360	650
T199	970	390	470	360	490	210	240	920	840	280	330	160	610	350
T200	870	450	810	240	290	580	770	610	940	640	960	180	520	800
T201	960	320	140	950	280	410	270	780	630	880	480	340	240	510
T202	540	520	970	460	860	820	380	730	440	900	400	710	740	120
T203	930	980	660	290	320	440	320	670	600	280	360	800	100	890
T204	680	480	970	490	280	180	510	380	110	360	900	220	900	580
T205	380	450	820	720	810	450	710	780	860	730	750	990	280	550
T206	980	990	370	910	990	190	160	920	290	740	550	700	680	270
T207	630	280	500	110	340	860	470	420	580	310	530	280	560	650
T208	230	330	520	240	530	820	930	730	420	750	150	250	300	640
T209	980	350	750	520	150	180	450	250	630	330	770	640	980	810
T210	940	510	350	880	260	160	750	910	780	490	540	630	920	550
T211	290	760	760	470	230	640	690	370	830	700	250	470	580	130
T212	650	840	270	670	880	480	990	770	410	670	350	950	150	960
T213	360	480	570	320	980	290	820	380	290	580	520	300	370	650
T214	620	800	860	160	540	130	520	910	420	490	180	500	480	830
T215	910	490	340	970	890	120	640	290	970	720	900	370	840	350
T216	530	600	800	670	300	970	360	840	720	580	520	760	390	180
T217	750	290	910	490	240	340	960	560	990	100	750	890	850	170
T218	660	100	160	470	340	680	330	950	490	910	530	510	550	170
T219	860	240	330	340	970	930	200	320	640	240	940	960	870	600
T220	540	280	240	990	830	780	390	960	550	510	560	560	350	600
T221	840	820	780	180	770	670	780	880	940	650	840	390	640	700
T222	880	690	280	610	400	980	930	850	910	460	320	780	990	630
T223	930	400	920	530	570	390	820	150	550	560	610	670	490	740
T224	250	450	290	390	760	680	810	560	430	650	980	630	910	240
T225	290	900	660	720	810	300	350	500	820	520	530	590	920	900
T226	370	170	830	140	250	950	480	520	590	410	300	110	440	780
T227	930	240	520	510	620	420	640	700	960	890	560	120	350	920
T228	570	320	410	870	820	320	850	930	350	830	470	300	190	580
T229	250	560	800	160	710	390	610	410	970	550	630	450	860	180
T230	200	810	890	670	400	600	850	520	710	830	400	120	390	730
T231	750	740	540	570	310	940	750	730	420	540	180	620	280	570
T232	670	430	190	360	430	350	430	240	710	920	580	900	180	470
T233	310	610	230	800	180	460	150	570	590	250	670	760	470	600
T234	840	720	530	520	920	950	380	430	950	490	140	970	460	380
T235	960	960	800	500	240	200	870	480	970	930	190	100	970	490
T236	110	160	890	770	940	940	970	280	640	450	490	340	890	500
T237	140	870	230	370	210	920	360	360	610	690	580	950	300	920
T238	440	460	980	990	960	210	400	950	530	870	250	880	770	690
T239	880	870	310	670	520	340	740	140	340	650	410	490	650	710
T240	330	970	180	950	920	800	700	390	390	540	710	270	850	380
T241	140	780	840	130	290	810	840	100	390	900	180	380	360	390
T242	990	590	560	650	940	930	290	480	890	630	690	930	910	780
T243	740	880	190	380	200	550	710	200	160	230	690	960	970	980
T244	540	300	440	790	730	330	200	510	390	370	730	540	810	470
T245	670	140	530	460	900	570	190	830	550	530	150	130	790	910
T246	820	750	340	840	500	780	220	400	610	730	570	230	160	140
T247	500	910	570	960	120	490	670	140	960	770	940	110	680	410
T248	230	660	310	950	370	210	740	470	630	340	450	660	860	390
T249	850	960	110	170	430	490	820	520	910	750	940	450	640	280
T250	890	990	540	420	930	690	200	730	850	690	510	980	670	580
T251	500	730	120	930	890	320	690	470	210	510	900	200	610	110
T252	770	120	540	110	420	340	560	460	900	150	420	290	140	970
T253	980	960	180	940	550	300	650	100	740	160	330	640	540	160
T254	870	520	170	880	280	190	780	340	720	970	890	260	230	430
T255	410	290	730	390	110	160	990	330	330	290	870	500	340	290
T256	680	250	690	800	330	370	930	880	740	170	230	230	210	890
T257	740	730	490	860	580	440	790	990	840	480	810	620	550	500
T258	710	510	870	710	330	830	280	190	260	860	420	530	450	840
T259	890	960	380	280	970	520	780	590	260	240	280	820	490	500
T260	630	900	850	100	370	910	970	150	740	510	690	190	430	500
T261	490	220	270	250	700	100	530	510	530	660	750	710	510	470
T262	820	520	760	450	850	300	150	750	370	180	670	500	970	870
T263	320	230	230	610	360	450	350	840	520	470	160	140	800	650
T264	850	220	290	610	730	470	820	130	410	370	500	110	160	920
T265	360	760	110	490	930	580	880	470	220	470	720	290	390	910
T266	350	490	920	980	530	810	390	660	140	980	540	180	980	380
T267	320	150	610	260	760	950	390	900	520	200	390	100	150	680
T268	430	460	380	240	300	110	960	920	520	850	920	990	770	210
T269	570	940	350	880	220	100	330	670	560	740	320	880	710	270
T270	550	310	670	980	950	440	150	200	910	150	140	910	680	130
T271	120	600	610	490	930	460	100	460	430	420	200	800	630	240
T272	390	130	800	360	320	830	720	550	260	590	280	290	340	630
T273	280	730	720	590	140	420	280	100	730	290	520	830	710	590
T274	860	360	660	980	110	810	990	280	660	530	350	120	770	240
T275	970	690	670	220	960	260	980	860	280	580	250	740	930	140
T276	610	210	610	590	990	700	150	740	560	170	810	510	910	410
T277	900	640	980	420	620	850	860	160	250	120	600	630	780	430
T278	670	120	710	710	620	340	940	530	300	470	380	410	840	610
T279	900	880	930	580	190	710	450	770	890	550	530	570	290	840
T280	340	180	250	750	490	930	400	550	260	760	730	390	670	420
T281	890	250	960	760	510	220	250	850	580	680	130	630	830	450
T282	810	660	890	550	850	160	710	640	840	390	520	990	390	600
T283	990	450	640	340	100	920	380	900	910	440	520	930	920	700
T284	160	610	930	530	540	150	270	570	190	210	100	500	690	680
T285	470	680	100	430	600	760	760	280	880	720	640	500	880	960
T286	690	550	350	420	890	350	290	610	410	850	490	500	730	480
T287	450	430	630	830	820	390	680	330	160	860	120	820	160	840
T288	620	620	220	680	970	130	750	270	370	210	800	440	720	900
T289	480	980	110	730	190	850	800	720	990	360	850	740	650	390
T290	910	870	210	620	960	340	270	380	370	930	950	680	330	410
T291	120	970	770	650	100	740	670	880	700	190	560	570	100	910
T292	840	710	200	450	190	480	550	340	690	860	940	760	420	160
T293	280	110	570	350	680	730	640	560	860	400	160	840	440	310
T294	290	450	140	600	420	310	970	390	850	720	640	640	470	340
T295	390	350	630	740	940	830	500	910	200	490	540	450	190	730
T296	260	360	120	680	420	550	410	330	680	830	500	100	570	400
T297	390	290	390	190	570	380	720	760	420	440	900	320	170	140
T298	870	430	580	640	720	640	500	900	270	460	210	280	670	470
T299	450	420	230	180	650	320	730	140	230	680	560	610	540	220
T300	150	990	330	540	530	280	650	770	820	450	250	710	540	300
T301	860	680	530	850	270	950	770	950	820	930	720	560	750	140
T302	600	540	160	110	430	480	290	380	100	780	160	410	840	490
T303	830	600	930	810	290	210	660	850	170	610	370	870	120	560
T304	980	930	890	690	220	440	560	520	290	710	520	870	680	490
T305	360	350	660	630	140	100	820	510	470	370	520	810	800	230
T306	930	420	970	920	430	750	280	360	860	580	230	370	270	680
T307	220	760	430	740	700	770	900	770	910	180	380	110	240	880
T308	180	540	790	140	350	770	510	790	460	640	450	530	430	190
T309	990	590	800	390	920	740	360	290	880	860	920	550	670	330
T310	710	330	250	610	380	890	180	370	680	510	630	870	150	960
T311	430	700	320	290	690	570	560	330	300	420	390	240	200	760
T312	890	880	930	760	330	540	210	210	590	130	850	710	220	740
T313	500	830	180	590	160	640	580	940	470	660	490	560	150	270
T314	610	450	710	560	140	170	370	620	820	290	340	130	970	640
T315	850	810	900	710	220	590	190	100	150	440	150	120	950	870
T316	810	830	910	890	600	470	220	760	420	610	470	700	470	690
T317	470	680	270	630	750	710	580	130	950	310	950	650	320	840
T318	390	120	620	860	350	660	560	510	550	280	930	170	430	980
T319	610	290	300	970	990	740	760	320	940	320	420	280	230	130
T320	210	220	640	290	780	730	470	380	780	920	350	110	780	280
